"miRNA1","miRNA2","TF1","hgnc_symbol_tf1","TF2","hgnc_symbol_tf2","Target","hgnc_symbol_target","ModeOfRegulation1","ModeOfRegulation2","TwoVar_mirna1_tf1","TwoVar_mirna1_target","TwoVar_mirna2_tf2","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-200b-3p","hsa-mir-96-5p",2113,"ETS1",2308,"FOXO1",285,"ANGPT2",1,1,0,0.034,0,0.03,0,0
"hsa-mir-200b-3p","hsa-mir-96-5p",2113,"ETS1",3091,"HIF1A",285,"ANGPT2",1,1,0,0.034,0.001,0.03,0,0
"hsa-mir-200b-3p","hsa-mir-96-5p",2308,"FOXO1",2113,"ETS1",285,"ANGPT2",1,1,0,0.034,0,0.03,0,0
"hsa-mir-129-5p","hsa-mir-130b-3p",4790,"NFKB1",2099,"ESR1",595,"CCND1",1,1,0,0.438,0,0.057,0.001,0.0467660828561805
"hsa-mir-129-5p","hsa-mir-130b-3p",2099,"ESR1",4790,"NFKB1",595,"CCND1",1,1,0,0.438,0,0.057,0.001,0.0467660828561805
"hsa-mir-129-5p","hsa-mir-130b-3p",2099,"ESR1",6774,"STAT3",595,"CCND1",1,1,0,0.438,0,0.057,0.001,0.0467660828561805
"hsa-mir-570-3p","hsa-mir-744-3p",7003,"TEAD1",1997,"ELF1",831,"CAST",1,1,0.005,0.185,0.005,0.041,5e-04,0.029853472371533
"hsa-mir-9-3p","hsa-mir-9-5p",3659,"IRF1",4790,"NFKB1",958,"CD40",1,1,0,0.012,0,0.031,5e-04,0.029853472371533
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",3659,"IRF1",958,"CD40",1,1,0,0.012,5e-04,0.031,5e-04,0.029853472371533
"hsa-mir-200b-3p","hsa-mir-429",9314,"KLF4",2113,"ETS1",1026,"CDKN1A",1,1,0.002,0.0175,0,0.215,5e-04,0.029853472371533
"hsa-mir-200b-3p","hsa-mir-429",9314,"KLF4",3091,"HIF1A",1026,"CDKN1A",1,1,0.002,0.0175,0.0065,0.215,5e-04,0.029853472371533
"hsa-mir-10b-3p","hsa-mir-429",2113,"ETS1",3091,"HIF1A",1026,"CDKN1A",1,1,0.004,0.659,0.007,0.1955,5e-04,0.029853472371533
"hsa-mir-3934-5p","hsa-mir-9-5p",2099,"ESR1",2308,"FOXO1",1026,"CDKN1A",1,1,0,0.155,0,0.139,0,0
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",3091,"HIF1A",1026,"CDKN1A",1,1,0,0.0175,0.0065,0.215,5e-04,0.029853472371533
"hsa-mir-3934-5p","hsa-mir-9-5p",2113,"ETS1",2308,"FOXO1",1026,"CDKN1A",1,1,0,0.155,0,0.139,0,0
"hsa-mir-1301-3p","hsa-mir-589-3p",55553,"SOX6",6925,"TCF4",2037,"EPB41L2",1,1,0.0025,0.4455,0.0045,0.0325,0.001,0.0467660828561805
"hsa-mir-200a-3p","hsa-mir-200b-3p",2625,"GATA3",2113,"ETS1",2078,"ERG",1,1,0.008,0.0805,0,0.037,0,0
"hsa-mir-200a-3p","hsa-mir-200b-3p",2113,"ETS1",2625,"GATA3",2078,"ERG",1,1,0,0.0805,0.002,0.037,0,0
