"miRNA1","miRNA2","TF1","hgnc_symbol_tf1","TF2","hgnc_symbol_tf2","Target","hgnc_symbol_target","ModeOfRegulation1","ModeOfRegulation2","TwoVar_mirna1_tf1","TwoVar_mirna1_target","TwoVar_mirna2_tf2","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-18a-5p","hsa-mir-196a-5p",3091,"HIF1A",2308,"FOXO1",285,"ANGPT2",1,1,0,0.0555,0.0065,0.93,0.0025,0.0494077216223573
"hsa-mir-135b-5p","hsa-mir-18a-5p",3091,"HIF1A",2308,"FOXO1",285,"ANGPT2",1,1,0,0.0195,0.0035,0.056,5e-04,0.01666480489671
"hsa-mir-135b-5p","hsa-mir-18a-5p",2308,"FOXO1",3091,"HIF1A",285,"ANGPT2",1,1,0,0.0195,5e-04,0.056,5e-04,0.01666480489671
"hsa-mir-196a-5p","hsa-mir-19a-3p",2308,"FOXO1",3091,"HIF1A",285,"ANGPT2",1,1,0.004,0.9185,0,0.201,0.0025,0.0494077216223573
"hsa-mir-18a-5p","hsa-mir-196a-5p",2308,"FOXO1",3091,"HIF1A",285,"ANGPT2",1,1,0.002,0.0555,0,0.93,0.0025,0.0494077216223573
"hsa-mir-196a-5p","hsa-mir-429",2113,"ETS1",6667,"SP1",355,"FAS",1,1,0,0.1515,0.0025,0.022,0,0
"hsa-mir-196a-5p","hsa-mir-429",6667,"SP1",2113,"ETS1",355,"FAS",1,1,0.001,0.1515,0,0.022,0,0
"hsa-mir-1-3p","hsa-mir-196a-5p",2113,"ETS1",6667,"SP1",355,"FAS",1,1,0,0.4345,0.001,0.13,0.0025,0.0494077216223573
"hsa-let-7f-2-3p","hsa-mir-18a-5p",2099,"ESR1",1385,"CREB1",596,"BCL2",1,1,0,0.0275,0,0.0135,5e-04,0.01666480489671
"hsa-let-7g-3p","hsa-mir-33a-5p",2736,"GLI2",1385,"CREB1",596,"BCL2",1,1,5e-04,0.1645,0,0.0215,0,0
"hsa-let-7f-2-3p","hsa-mir-18a-5p",1385,"CREB1",6774,"STAT3",596,"BCL2",1,1,0,0.0275,0.001,0.0135,5e-04,0.01666480489671
"hsa-let-7g-3p","hsa-mir-33a-5p",1385,"CREB1",2736,"GLI2",596,"BCL2",1,1,0.001,0.1645,0,0.0215,0,0
"hsa-mir-32-3p","hsa-mir-33a-5p",2736,"GLI2",2113,"ETS1",596,"BCL2",1,1,0,0.0555,0,0.023,0.001,0.0272943609022556
"hsa-mir-32-3p","hsa-mir-33a-5p",2113,"ETS1",2736,"GLI2",596,"BCL2",1,1,0,0.0555,0,0.023,0.001,0.0272943609022556
"hsa-let-7g-3p","hsa-mir-33a-5p",4286,"MITF",2736,"GLI2",596,"BCL2",1,1,0,0.1645,0,0.0215,0,0
"hsa-mir-32-3p","hsa-mir-33a-5p",2736,"GLI2",5241,"PGR",596,"BCL2",1,1,0,0.0555,0,0.023,0.001,0.0272943609022556
"hsa-mir-32-3p","hsa-mir-33a-5p",5241,"PGR",2736,"GLI2",596,"BCL2",1,1,0,0.0555,0,0.023,0.001,0.0272943609022556
"hsa-mir-210-3p","hsa-mir-335-3p",4286,"MITF",2099,"ESR1",596,"BCL2",1,1,5e-04,0.1375,0,0.0155,0.001,0.0272943609022556
"hsa-let-7f-2-3p","hsa-mir-18a-5p",1385,"CREB1",2099,"ESR1",596,"BCL2",1,1,0,0.0275,0,0.0135,5e-04,0.01666480489671
"hsa-mir-33a-5p","hsa-mir-877-3p",5241,"PGR",2736,"GLI2",596,"BCL2",1,1,0,0.02,0.0075,0.019,0.001,0.0272943609022556
"hsa-let-7g-3p","hsa-mir-33a-5p",2736,"GLI2",4286,"MITF",596,"BCL2",1,1,5e-04,0.1645,0,0.0215,0,0
"hsa-mir-877-5p","hsa-mir-92a-1-5p",4205,"MEF2A",3662,"IRF4",640,"BLK",1,1,5e-04,0.0125,0.009,0.0505,0.001,0.0272943609022556
"hsa-mir-31-3p","hsa-mir-570-3p",23764,"MAFF",7003,"TEAD1",667,"DST",1,1,5e-04,0.161,0.001,0.0155,0.002,0.0429985193959135
"hsa-mir-429","hsa-mir-629-3p",6664,"SOX11",2113,"ETS1",861,"RUNX1",1,1,0,0.031,0.0015,0.0175,0.001,0.0272943609022556
"hsa-mir-429","hsa-mir-629-3p",2113,"ETS1",6664,"SOX11",861,"RUNX1",1,1,0,0.031,0.0035,0.0175,0.001,0.0272943609022556
"hsa-mir-196b-5p","hsa-mir-629-3p",3516,"RBPJ",6664,"SOX11",861,"RUNX1",1,1,5e-04,0.137,0.0045,0.021,0,0
"hsa-mir-196b-5p","hsa-mir-629-3p",196,"AHR",6664,"SOX11",861,"RUNX1",1,1,0.001,0.137,0.0045,0.021,0,0
"hsa-mir-301a-3p","hsa-mir-429",26959,"HBP1",2113,"ETS1",861,"RUNX1",1,1,0.007,0.0205,0,0.022,0.0025,0.0494077216223573
"hsa-mir-301b-3p","hsa-mir-499a-5p",26959,"HBP1",6664,"SOX11",861,"RUNX1",1,1,0,0.0135,0.001,0.0595,0.0025,0.0494077216223573
"hsa-mir-135b-5p","hsa-mir-30c-1-3p",2308,"FOXO1",367,"AR",901,"CCNG2",1,1,0,0.0865,0.0015,0.111,0.002,0.0429985193959135
"hsa-mir-135b-5p","hsa-mir-301a-3p",2308,"FOXO1",6667,"SP1",1030,"CDKN2B",1,1,0,0.0145,0.008,0.019,5e-04,0.01666480489671
"hsa-mir-429","hsa-mir-940",6722,"SRF",2113,"ETS1",1958,"EGR1",1,1,0.0085,0.025,0,0.2655,0,0
"hsa-mir-301a-3p","hsa-mir-30b-5p",2099,"ESR1",4297,"KMT2A",2296,"FOXC1",1,1,0,0.0795,5e-04,0.0275,5e-04,0.01666480489671
"hsa-let-7g-3p","hsa-mir-19a-3p",1385,"CREB1",3091,"HIF1A",2321,"FLT1",1,1,0.0015,0.012,0,0.0105,0.002,0.0429985193959135
"hsa-let-7g-3p","hsa-mir-18b-5p",3091,"HIF1A",1385,"CREB1",2321,"FLT1",1,1,0.0095,0.0125,0.003,0.132,5e-04,0.01666480489671
"hsa-mir-301a-3p","hsa-mir-592",4782,"NFIC",6774,"STAT3",2670,"GFAP",1,1,0.005,0.0225,0.0075,0.014,5e-04,0.01666480489671
"hsa-mir-18a-5p","hsa-mir-19a-3p",6774,"STAT3",3091,"HIF1A",3162,"HMOX1",1,1,5e-04,0.052,0,0.262,0.001,0.0272943609022556
"hsa-mir-18a-5p","hsa-mir-19a-3p",3091,"HIF1A",6774,"STAT3",3162,"HMOX1",1,1,0,0.052,0.0075,0.262,0.001,0.0272943609022556
"hsa-let-7g-3p","hsa-mir-20a-3p",1385,"CREB1",6774,"STAT3",3569,"IL6",1,1,0.002,0.2025,0.002,0.012,5e-04,0.01666480489671
"hsa-mir-196a-5p","hsa-mir-7-5p",3516,"RBPJ",6938,"TCF12",3987,"LIMS1",1,1,0.0015,0.011,5e-04,0.0835,0.001,0.0272943609022556
"hsa-mir-196a-5p","hsa-mir-429",3091,"HIF1A",6667,"SP1",4170,"MCL1",1,1,0,0.0335,0.0025,0.105,0.0025,0.0494077216223573
"hsa-mir-196a-5p","hsa-mir-429",6667,"SP1",2113,"ETS1",4170,"MCL1",1,1,0.001,0.0335,0,0.105,0.0025,0.0494077216223573
"hsa-mir-196a-5p","hsa-mir-429",2113,"ETS1",6667,"SP1",4170,"MCL1",1,1,0,0.0335,0.0025,0.105,0.0025,0.0494077216223573
"hsa-mir-335-3p","hsa-mir-589-3p",2099,"ESR1",367,"AR",4322,"MMP13",1,1,0,0.1845,0,0.555,0.001,0.0272943609022556
"hsa-mir-18a-5p","hsa-mir-589-3p",2099,"ESR1",367,"AR",4322,"MMP13",1,1,0,0.013,0,0.571,0.001,0.0272943609022556
"hsa-mir-18b-5p","hsa-mir-19a-3p",2099,"ESR1",860,"RUNX2",4322,"MMP13",1,1,0,0.0235,0,0.025,5e-04,0.01666480489671
"hsa-mir-135b-5p","hsa-mir-629-3p",4772,"NFATC1",4205,"MEF2A",4739,"NEDD9",1,1,0,0.523,5e-04,0.055,0.002,0.0429985193959135
"hsa-mir-135b-5p","hsa-mir-629-3p",4772,"NFATC1",4208,"MEF2C",4739,"NEDD9",1,1,0,0.523,0,0.055,0.002,0.0429985193959135
