"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85","_c86","_c87","_c88","_c89","_c90","_c91","_c92"
528,"ATP6V1C1","hsa-mir-30a-5p","hsa-mir-335-3p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26589417'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/27574447'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/34113402'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","tarbase",0.804283539,0.050343415,0.870928857,-0.027926504,0.32025489,0.06685071,"hsa-mir-335-3p","hsa-mir-30a-5p",528,17.5985730266616,18.7917543952767,18.0010974090931,18.2301001782947,18.3922462939887,"20.4122458881496","19.5747014469325","19.5530018689822","19.7859348988897","19.6961059387844","20.9240974392523","20.1569679259914","19.8159521185175","19.8464928181791","19.1879117292881","18.4172898077936","19.4420479300139","16.969672082691","17.3961131578215","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
547,"KIF1A","hsa-mir-548b-3p","hsa-mir-744-3p",0.005,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30671469'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.013257122,0.558736317,0.136569908,-0.253721002,0.39916548,-0.0829561,"hsa-mir-744-3p","hsa-mir-548b-3p",547,17.5267062738056,14.410025168467,13.6464249686904,8.27977965542617,10.7589120371307,"10.846586994994","18.203048132085","9.19808281966253","10.2556183088882","19.2690667266301","9.13302712208167","10.4016481863598","18.6837797702968","15.9543282775772","10.7319245806265","15.5401713056438","6.54932028085855","9.89607128690976","13.494691591559","13.5716254458446","7.1419609796441","9.74758701108176","11.0536683149125","11.6156997245538","9.4344685795397","8.20618590442841","8.36778516827973","10.3555943422632","8.5587544115222","9.02307534537244","11.4991440948191","9.45333773187146","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-7-5p","hsa-mir-1-3p",0.0075,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30962696'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10385644'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11368878'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11406552'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11408803'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11813305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11906173'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12029619'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12375019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12601350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12692418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12845670'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12960127'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14687479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15026472'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15706412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15991281'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16940298'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17546056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17587243'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18059167'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18350604'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19009649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19411833'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19885547'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19919837'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20332458'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20347627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20512928'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21327578'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21397858'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21691299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21878637'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22249261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22292081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22292081'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22429965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22472110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22649188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22942238'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23221382'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23462179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23613111'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23740840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23812424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24008375'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24083596'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24570185'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25015194'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25109821'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25280563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25313882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25822088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25851350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26125710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26189965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26359353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26361959'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26500057'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26530887'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26882953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27062697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27351279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27448450'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27596272'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27697092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28182015'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28292020'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28330473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28368741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28378640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28791413'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28885717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29328502'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29441724'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29895195'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29949741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30201494'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30509085'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30646811'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30698907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30810974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30930425'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31168049'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31340767'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31667787'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31747859'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8205525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8240318'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9302564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9722210'>PubMedLink</a>","tarbase","mirtarbase tarbase",5.84e-05,1.191142718,0.179942908,0.35509983,0.32015365,-0.0640341,"hsa-mir-1-3p","hsa-mir-7-5p",595,20.2167256709671,20.3404178762691,20.2318573120356,21.8719471325179,19.9972870038983,"20.2044149569169","19.9329582255847","19.1794587098925","20.4076264816413","18.879950681129","20.5738157373286","20.1813307650983","20.2578499794619","19.4004397139073","15.9360516065847","20.2133630751748","20.1087118760848","20.1286320094032","19.6249810497562","20.7923291392089","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
687,"KLF9","hsa-mir-146b-5p","hsa-mir-129-5p",0.0085,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28404923'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25912876'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/24173774'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25242357'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25652467'>PubMedLink</a>","tarbase","tarbase",6.66e-06,1.333221497,0.000664,0.989197233,0.18066737,-0.0865467,"hsa-mir-129-5p","hsa-mir-146b-5p",687,18.2360515641129,20.5708108091541,19.4043126495074,20.8901228300011,18.1197608435986,"20.6156900016512","20.9557896506833","20.2565115989876","19.3258766093626","20.4692847165173","19.6389614898791","19.0718173717872","20.6012325961735","19.1946998578697","19.8231168368604","18.0875337884403","21.6929217943243","20.8476523268535","19.2278242938974","20.3888756128205","17.1948732684717","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
957,"ENTPD5","hsa-mir-654-5p","hsa-mir-146a-5p",0.0095,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28396836'>PubMedLink</a>",NA,"mirtarbase","mirtarbase",0.759306739,0.061698239,0.813599104,0.053071916,0.21338646,-0.080638,"hsa-mir-146a-5p","hsa-mir-654-5p",957,20.3367180954442,20.9988021498261,18.7563182372358,19.4122408311308,19.8875564658038,"17.3228866397077","20.2742725422915","19.8916046649111","20.8826405473258","18.8096007629591","19.9471733986089","20.3841519085518","19.4143141167716","19.6291030814756","20.914196576991","19.6571891729277","20.4794243572499","18.5159126005313","20.1228767146366","18.6550094184275","19.5600537329447","17.3304506383027","19.3156755245999","19.0440173015869","20.1968365267193","18.9890269100496","19.0803632488227","20.1644241859508","19.1155405698967","16.7408018921846","20.6300232435838","20.0507640772509","19.9433557457967","19.5138480315188","20.762335113575","20.2308207404759","20.3454255763718","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
993,"CDC25A","hsa-mir-874-3p","hsa-mir-22-5p",5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28076852'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12738732'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12738732'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15534860'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18204780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18204780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22705122'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25909324'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26647881'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27644634'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28333141'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31293973'>PubMedLink</a>","tarbase","tarbase",0.033462237,-0.434470013,0.007181203,-0.43871847,0.02575417,0.17335118,"hsa-mir-22-5p","hsa-mir-874-3p",993,13.0472574718453,14.6273724725053,16.3991079569192,14.1435691259537,16.4742314411335,"15.5638298861381","16.2525498197125","15.4517583757748","14.5843267625372","15.1653917675531","13.9401713559772","13.5869543474935","15.1271049064293","13.2092917197963","14.7864616328276","12.3704069857189","14.8485107102623","14.9053803278134","15.1460145405341","16.0395787624647","11.6525512507086","14.1828289330294","17.699080247223","18.4812523809237","15.5368537440314","15.09530433195","12.7566281140819","12.7741265268237","14.2573780613507","15.1366178576838","14.8558876682354","15.1737170653144","12.2848324766178","14.1806234850768","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-224-3p","hsa-mir-548v",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/15349907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18350604'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21499307'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22429965'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23894465'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26498144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27490780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30123094'>PubMedLink</a>","tarbase","mirtarbase",1.89e-07,1.558984129,0.465161718,0.147070269,0.95733154,-0.0038199,"hsa-mir-548v","hsa-mir-224-3p",1021,14.51357864207,18.2266034601491,15.6134782996351,16.7880056894031,16.6750454651989,"15.3348837874577","18.2513311384743","17.2529256765479","11.4046642029134","15.7061188546726","16.8160793495991","16.140416186196","17.1312210421941","19.0493269761567","17.8868193294112","16.7108227997029","18.2920913653871","12.1589807394146","17.2295139318364","12.3928416426322","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-299-5p","hsa-mir-301b-3p",0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30266288'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31207037'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10094816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10883667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10918595'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11521219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11595124'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11906173'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12107653'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12217602'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12244568'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12531694'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12531694'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12833133'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14642618'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14759525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14767984'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15201954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15201954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15666088'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15761978'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15800978'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16112786'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865289'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17211849'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17239344'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17617120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19414386'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19435914'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19465904'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19533683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21666704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21890460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22909100'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23537372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23542179'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24885363'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25280563'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25633810'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26165647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26676829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26725321'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27154519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27698442'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28471446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28716731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29383172'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29408622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29484736'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29795057'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30585632'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8824564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9022146'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.000187,-0.737788396,5.31e-06,1.30607749,0.7133501,-0.023077,"hsa-mir-301b-3p","hsa-mir-299-5p",1026,21.1609728273014,18.2233391996254,20.0619076018032,20.7501972006294,21.0595738322012,"21.2458777523067","22.4900073738391","21.232897903388","20.5312615982054","18.6636270440835","21.4257322679989","20.5761788743121","17.2889138085014","20.5574338851048","20.4968463489539","20.6689547227787","20.6522192431048","18.674232559356","21.7977567057723","20.3026210260466","21.0791998795475","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1282,"COL4A1","hsa-mir-146b-5p","hsa-mir-224-5p",0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28404923'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/26231037'>PubMedLink</a>",NA,"tarbase","tarbase",6.66e-06,1.333221497,3.97e-13,2.783518407,0.03156773,0.14234321,"hsa-mir-224-5p","hsa-mir-146b-5p",1282,22.1363962903439,20.4981741206692,21.3872220780027,20.8641870433755,19.0001023604975,"20.2105085808081","19.7249396886871","18.1096869234046","22.2973186851149","21.5574217902217","21.4080884974419","20.1679131691835","19.5783640601689","20.2768258950524","18.0638483693765","20.1342491710783","19.969680746064","19.0058614416379","19.4168812869681","21.7361884309335","20.3066799422008","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1545,"CYP1B1","hsa-mir-377-3p","hsa-mir-222-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19064581'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24614526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25796598'>PubMedLink</a>","tarbase","tarbase",0.020329443,-0.591237408,0.006366772,0.481125384,0.86084158,0.01253395,"hsa-mir-222-5p","hsa-mir-377-3p",1545,15.3432523777539,15.7864640770478,15.8126122228856,13.0028632038433,14.9804448298898,"14.5503505827416","16.6631632819398","15.3737840787316","15.0134628062563","19.0070051050255","15.8972025391185","16.9858960227591","15.698998182882","14.6940346091727","16.7183985031435","16.9088800119871","15.7064322264672","16.1651868546659","15.807055366611","12.5978747100275","16.0112245752032","14.4363693739034","16.0405251684365","15.6095210542557","17.9436677373247","17.5681513853604","14.4861290685312","18.0707912339808","14.3365143029432","16.0436152141425","15.2109053074603","15.6176813257021","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
