"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10"
7049,"TGFBR3","hsa-mir-193b-3p","hsa-mir-582-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29725386'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.247460833800082,-0.23754434132192,0.184742290101971,-0.377864244611054,0.336585074329285,-0.125720094300336,"hsa-mir-582-5p","hsa-mir-193b-3p",7049,14.445903109311,14.9167330602545,"15.3645551856594","15.2277244878178","""""","""""","""""",""""""
7094,"TLN1","hsa-mir-338-3p","hsa-mir-760",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.379366503026289,0.154302290317191,0.162826321047168,0.870167301100031,0.962857233384228,0.00563721799160196,"hsa-mir-760","hsa-mir-338-3p",7094,18.9336349705845,18.8672539252912,"18.8866544627808","19.4227742610595","""""","""""","""""",""""""
7163,"TPD52","hsa-mir-139-5p","hsa-mir-146b-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31661142'>PubMedLink</a>","mirtarbase","tarbase",0.00185470694674311,-0.606128351485674,0.494464417430927,-0.118558088074896,0.77195420197844,0.0370252467335892,"hsa-mir-146b-5p","hsa-mir-139-5p",7163,17.7918002982204,17.2853440832058,"17.2696031252014","16.987314578225","""""","""""","""""",""""""
7163,"TPD52","hsa-mir-146b-5p","hsa-mir-146a-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31661142'>PubMedLink</a>","tarbase","tarbase",0.494464417430927,-0.118558088074896,0.946025376993405,-0.0139163724995265,0.77195420197844,0.0370252467335892,"hsa-mir-146a-5p","hsa-mir-146b-5p",7163,17.3768830369884,17.2853440832058,"16.987314578225","16.9074466232921","""""","""""","""""",""""""
7381,"UQCRB","hsa-mir-584-5p","hsa-mir-411-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.832603045155641,0.047244626886493,0.549888347789824,-0.172990742170506,0.95213086482066,-0.00736621309178719,"hsa-mir-411-5p","hsa-mir-584-5p",7381,18.7253177543819,18.1422786350874,"18.0585657855674","18.0089079455226","18.5459220618572","""""","""""",""""""
7436,"VLDLR","hsa-mir-376c-3p","hsa-mir-493-3p",0.008,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.935087600594991,-0.022571486059579,0.30462303472185,0.33132274240934,0.357481011351898,0.13317839104584,"hsa-mir-493-3p","hsa-mir-376c-3p",7436,13.9786805801126,12.0599674584962,"14.8024615496855","16.2523109387221","13.1217324837925","14.0838303981168","15.2705437165923",""""""
7975,"MAFK","hsa-mir-532-3p","hsa-mir-188-3p",0.002,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.90146660630748,-0.0291035532170092,0.0879764219684743,-0.759395928837808,0.810603217522324,0.0303030085911538,"hsa-mir-188-3p","hsa-mir-532-3p",7975,17.6147584164482,16.9888400427894,"17.3850802049452","16.8499922843237","17.9142242998709","""""","""""",""""""
8365,"H4C8","hsa-mir-9-5p","hsa-mir-1228-5p",0.007,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.246941415978906,0.229046684199239,0.0181688406966842,-1.20377683768206,0.00031962657265562,0.515619610503777,"hsa-mir-1228-5p","hsa-mir-9-5p",8365,13.8682527390489,16.2045312966606,"15.1785374730366","""""","""""","""""","""""",""""""
8829,"NRP1","hsa-mir-326","hsa-mir-9-5p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28618167'>PubMedLink</a>","tarbase","mirtarbase",0.226618454967352,-0.425326946025293,0.246941415978906,0.229046684199239,0.861386113146734,0.0221509793977674,"hsa-mir-9-5p","hsa-mir-326",8829,17.0685700739307,15.738558793118,"16.6795975382664","16.2076990849762","""""","""""","""""",""""""
9411,"ARHGAP29","hsa-mir-192-5p","hsa-mir-192-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.157967403548531,-0.19618679903471,0.0176799445372592,-0.486014244234658,0.961715413430175,-0.00624573320157149,"hsa-mir-192-3p","hsa-mir-192-5p",9411,14.3302526048256,16.5564307210283,"16.4039566992762","17.2632498948613","15.3271241416108","16.5543400741244","14.2657044166158",""""""
