"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12"
1894,"ECT2","hsa-mir-155-5p","hsa-mir-664a-3p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-664a-3p","hsa-mir-155-5p",1894,15.9564051639229,16.1416990821086,"16.6645208208979","15.5899725563798","14.8075111237818","15.4815514734895","""""","""""","""""",""""""
2035,"EPB41","hsa-mir-181d-5p","hsa-mir-9-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-9-5p","hsa-mir-181d-5p",2035,17.7669376082012,15.5859405606924,"15.7814372843216","16.7671177724205","16.2524692034377","""""","""""","""""","""""",""""""
2055,"CLN8","hsa-mir-7-5p","hsa-mir-18a-5p",0.004,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-18a-5p","hsa-mir-7-5p",2055,15.3757979092377,14.883608399678,"15.0694616272352","15.2769726811902","""""","""""","""""","""""","""""",""""""
2194,"FASN","hsa-mir-342-5p","hsa-mir-940",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29483509'>PubMedLink</a>","tarbase","tarbase","hsa-mir-940","hsa-mir-342-5p",2194,18.6116459739445,17.9385655314925,"18.026934311604","16.5555278977839","17.4063012290206","16.6812314014391","""""","""""","""""",""""""
2200,"FBN1","hsa-mir-190a-5p","hsa-mir-1-3p",0.0025,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-1-3p","hsa-mir-190a-5p",2200,14.4646493640876,14.0832897365275,"""""","""""","""""","""""","""""","""""","""""",""""""
2355,"FOSL2","hsa-mir-150-5p","hsa-mir-342-3p",0.002,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-342-3p","hsa-mir-150-5p",2355,15.5740236366636,15.6327890697057,"14.158748504164","15.4280165835882","14.7627816187418","15.5990310447772","""""","""""","""""",""""""
2355,"FOSL2","hsa-mir-495-3p","hsa-mir-939-5p",0.007,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>","tarbase","tarbase","hsa-mir-939-5p","hsa-mir-495-3p",2355,15.5081867851958,15.8746962106805,"15.4280165835882","15.5253820858692","""""","""""","""""","""""","""""",""""""
2935,"GSPT1","hsa-mir-9-3p","hsa-mir-129-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-129-5p","hsa-mir-9-3p",2935,17.8319538025095,18.0554129370916,"17.9925764417659","18.1516375567316","19.025933042707","""""","""""","""""","""""",""""""
2956,"MSH6","hsa-mir-1-3p","hsa-mir-139-5p",0.008,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-139-5p","hsa-mir-1-3p",2956,16.7300150609813,18.9866338834062,"17.9210425712681","17.4409106090145","17.9969250637086","""""","""""","""""","""""",""""""
3157,"HMGCS1","hsa-mir-335-5p","hsa-mir-548s",0.009,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-548s","hsa-mir-335-5p",3157,18.2152798366965,16.2547384169984,"16.3609165684113","15.786582053019","16.1294235450191","""""","""""","""""","""""",""""""
3206,"HOXA10","hsa-mir-7-5p","hsa-mir-320b",0.005,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-320b","hsa-mir-7-5p",3206,8.75136677923003,8.22873807726878,"9.64623248914934","8.68409189784042","""""","""""","""""","""""","""""",""""""
3313,"HSPA9","hsa-mir-339-5p","hsa-mir-129-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-129-5p","hsa-mir-339-5p",3313,20.885344729927,19.9952817139785,"20.129331988873","19.7038094300264","""""","""""","""""","""""","""""",""""""
3423,"IDS","hsa-mir-491-5p","hsa-mir-331-3p",0.0065,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-331-3p","hsa-mir-491-5p",3423,17.4796896581532,17.6937986938989,"17.4476055687267","17.2659351674625","17.031597407487","""""","""""","""""","""""",""""""
3480,"IGF1R","hsa-mir-19a-3p","hsa-mir-106a-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24651014'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24931256'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25885794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>","tarbase","tarbase","hsa-mir-106a-5p","hsa-mir-19a-3p",3480,14.0188724701563,12.9729790938847,"12.6516383360905","12.3549376786221","15.2980562824028","13.4156988935103","13.7872697459729","13.4981689869868","""""",""""""
3638,"INSIG1","hsa-mir-301b-3p","hsa-mir-454-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-454-5p","hsa-mir-301b-3p",3638,17.4042322384823,19.2846673804818,"17.56354064127","18.3585596466289","18.1078646367071","18.2942861554565","""""","""""","""""",""""""
3658,"IREB2","hsa-mir-182-5p","hsa-mir-30b-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-30b-5p","hsa-mir-182-5p",3658,16.4069997827116,15.6525553456714,"15.9518452085056","15.5206905829947","15.4014901033595","""""","""""","""""","""""",""""""
3658,"IREB2","hsa-mir-182-5p","hsa-mir-664a-3p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-664a-3p","hsa-mir-182-5p",3658,16.1092038198443,15.6525553456714,"15.9518452085056","15.5206905829947","15.4014901033595","""""","""""","""""","""""",""""""
3658,"IREB2","hsa-mir-33a-3p","hsa-mir-181d-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181d-5p","hsa-mir-33a-3p",3658,16.2932247681367,16.6674378137969,"15.5206905829947","15.4014901033595","""""","""""","""""","""""","""""",""""""
3658,"IREB2","hsa-mir-664a-3p","hsa-mir-320b",0.0095,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-320b","hsa-mir-664a-3p",3658,16.7108501370508,15.6525553456714,"16.4141887343535","15.9518452085056","15.5206905829947","15.4014901033595","""""","""""","""""",""""""
4170,"MCL1","hsa-mir-1180-3p","hsa-mir-339-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11389033'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11818669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11830549'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15122313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15122313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15718423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18156799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19676043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20023629'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20888662'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21213215'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21473291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21975296'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22705850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23200668'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23257783'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23257783'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23393346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24276280'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24939844'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25088254'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25732831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25781640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25789974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25882699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26134786'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26460954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26460954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26467384'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26467384'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26755751'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27023223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27159593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27907212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27907212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28192408'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28272166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28447716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28557543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28587170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28866374'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29166822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29269870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29269870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29275301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318382'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29358277'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29434770'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29488156'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29522221'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29631569'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29740433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29740433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29756671'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29805688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29845223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29849791'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30012635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30055346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30139826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30322870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30396948'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30404918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30675253'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30929420'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31219428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31566022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31692474'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31807158'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-339-3p","hsa-mir-1180-3p",4170,20.5420015572175,20.732703866543,"20.8368777580013","20.4456159117716","21.6731751575787","""""","""""","""""","""""",""""""
