"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17"
36,"ACADSB","hsa-mir-15b-3p","hsa-mir-215-5p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0156366640122253,0.40903925918714,0.00274283123267962,-0.544276173485431,0.426316793476317,-0.0633063593304184,"hsa-mir-215-5p","hsa-mir-15b-3p",36,17.8329911024642,17.6954717806224,"17.5614203908246","17.349837290611","17.2121642947033","17.9734637551921","18.5257976342885","17.235993373616","""""","""""","""""","""""","""""","""""",""""""
36,"ACADSB","hsa-mir-15b-3p","hsa-mir-9-5p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0156366640122253,0.40903925918714,0.00487172866555441,-0.311555474503904,0.426316793476317,-0.0633063593304184,"hsa-mir-9-5p","hsa-mir-15b-3p",36,17.0183815346011,17.6954717806224,"18.5257976342885","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
153,"ADRB1","hsa-mir-141-5p","hsa-mir-363-3p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.00112279725588573,0.400269372156654,0.0031598017131187,-0.482984128023688,0.202482218022358,0.11358859656318,"hsa-mir-363-3p","hsa-mir-141-5p",153,17.966245372505,15.9467338794843,"11.5087903134321","16.0560261746735","15.8441179519641","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
153,"ADRB1","hsa-mir-363-3p","hsa-mir-654-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.0031598017131187,-0.482984128023688,4.25415244200225e-06,-0.920777028026195,0.202482218022358,0.11358859656318,"hsa-mir-654-3p","hsa-mir-363-3p",153,16.2601749004208,14.707790954571,"11.5087903134321","10.5892479600218","9.98020870884358","8.44332257831684","11.3927653926546","""""","""""","""""","""""","""""","""""","""""",""""""
351,"APP","hsa-mir-570-3p","hsa-mir-135a-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.225102164603993,0.432684153846797,4.62145352083672e-06,-1.06287356965796,0.622022581169433,-0.0353562311975377,"hsa-mir-135a-5p","hsa-mir-570-3p",351,22.8487139168968,20.9874028084729,"22.4637567396622","19.8294882074736","22.1425442958635","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
394,"ARHGAP5","hsa-mir-212-3p","hsa-mir-493-5p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.00198920466897351,-0.676292879508713,9.87484665678077e-05,-1.0303630246589,0.452773732118896,0.0602133636030896,"hsa-mir-493-5p","hsa-mir-212-3p",394,18.8608330873274,18.0791286937208,"17.6795482984906","17.1326055443164","18.359938916926","17.0222359451196","17.5922239038955","""""","""""","""""","""""","""""","""""","""""",""""""
463,"ZFHX3","hsa-mir-20b-5p","hsa-mir-204-5p",0,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>",NA,NA,"tarbase","mirtarbase",0.15270823885516,-0.208113811789293,1.66648719744921e-17,-1.27818300980535,0.437654735916615,0.0663992120103793,"hsa-mir-204-5p","hsa-mir-20b-5p",463,16.1530838666654,17.1587902262814,"13.923594983007","14.7013917728717","14.4497424744245","16.6582247851578","14.8427071515851","""""","""""","""""","""""","""""","""""","""""",""""""
476,"ATP1A1","hsa-mir-511-5p","hsa-mir-193b-3p",0.0065,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28484360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28484360'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30015972'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.255012865235525,-0.260028094385711,0.278501614684647,0.160208853100491,0.499627452253121,-0.0480321266205083,"hsa-mir-193b-3p","hsa-mir-511-5p",476,22.1272825760359,21.7078700585089,"20.1948025479573","22.3453332469422","20.4294624528075","22.5910803234746","22.4123239044004","""""","""""","""""","""""","""""","""""","""""",""""""
538,"ATP7A","hsa-mir-34a-5p","hsa-mir-335-5p",0.004,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.440730082467716,0.102563025348855,9.14371672772996e-10,-1.35157373194338,0.157713354629557,0.119016836485756,"hsa-mir-335-5p","hsa-mir-34a-5p",538,14.6106958555621,15.3999630681043,"15.2272628194321","17.8938312753792","14.6717917759652","15.5302552490799","16.3785244706396","""""","""""","""""","""""","""""","""""","""""",""""""
596,"BCL2","hsa-mir-181d-5p","hsa-mir-34a-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10101681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11351249'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12017273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12025227'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12796377'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12810203'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12941126'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14519627'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14710230'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15188008'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15357873'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15756350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15826766'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15985079'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16643620'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17541305'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19380190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19539330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20037166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20208132'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22398398'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22591748'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23469687'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25833690'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26406868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27483435'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27554585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27573448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27779645'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27834342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28449664'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28464919'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29731840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31031856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8621251'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9042262'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.00174788597184081,-0.575019966337691,0.440730082467716,0.102563025348855,0.246541891257945,0.0944136976953861,"hsa-mir-34a-5p","hsa-mir-181d-5p",596,16.7754651863869,16.1679243438788,"17.0563098591646","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
