"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
36,"ACADSB","hsa-mir-200a-3p","hsa-mir-141-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-141-3p","hsa-mir-200a-3p",36,15.0698343852805,15.670342352288,"16.4766401873673","14.4526799982421","14.4698817928556","15.0119307238289","14.9102596832158","15.2388832144536","16.0142774151213","14.9859610150712","""""","""""","""""",""""""
70,"ACTC1","hsa-mir-92b-3p","hsa-mir-7-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-7-5p","hsa-mir-92b-3p",70,21.4210396331034,14.8111331759048,"14.160468261941","7.98637428153172","9.14663857870459","""""","""""","""""","""""","""""","""""","""""","""""",""""""
103,"ADAR","hsa-mir-335-3p","hsa-mir-424-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-424-5p","hsa-mir-335-3p",103,19.2993502200533,18.0510723868851,"19.1403128103645","18.9540419750633","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
112,"ADCY6","hsa-mir-532-3p","hsa-mir-182-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-182-5p","hsa-mir-532-3p",112,16.0586362546279,17.7706970895725,"16.8445669572111","16.1426966564673","17.3318916531426","16.095666140058","15.7313008626118","""""","""""","""""","""""","""""","""""",""""""
142,"PARP1","hsa-let-7c-5p","hsa-mir-199b-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>","tarbase","tarbase","hsa-mir-199b-5p","hsa-let-7c-5p",142,20.201494688764,19.2244866112756,"19.5354638155389","19.2627061104148","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
142,"PARP1","hsa-mir-502-5p","hsa-mir-98-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23762867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27470351'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28454476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28886696'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29436682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30447298'>PubMedLink</a>","tarbase","tarbase","hsa-mir-98-5p","hsa-mir-502-5p",142,19.2244866112756,19.5992797698932,"19.5354638155389","18.8088640717085","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
302,"ANXA2","hsa-mir-424-5p","hsa-mir-133a-3p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21715543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27784647'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31842290'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-133a-3p","hsa-mir-424-5p",302,18.4716801080496,19.8955065451979,"17.5088202563456","19.8767911571669","18.6218929380003","18.6859844619513","18.2835093448204","20.0522912020772","""""","""""","""""","""""","""""",""""""
311,"ANXA11","hsa-mir-760","hsa-mir-335-5p",0.0095,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-335-5p","hsa-mir-760",311,17.900962921318,17.9251714697595,"18.3566096343378","17.681549290285","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
334,"APLP2","hsa-mir-660-5p","hsa-mir-34b-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-34b-5p","hsa-mir-660-5p",334,19.8478132823255,19.4951150563001,"19.8981144723893","19.5416929760228","19.4810062203512","""""","""""","""""","""""","""""","""""","""""","""""",""""""
356,"FASLG","hsa-mir-329-3p","hsa-mir-362-3p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10817504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25472583'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-362-3p","hsa-mir-329-3p",356,11.2291351541322,-2,"10.502077002055","9.62714868503317","11.2039989933755","10.9919026992777","""""","""""","""""","""""","""""","""""","""""",""""""
356,"FASLG","hsa-mir-485-3p","hsa-mir-362-3p",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10817504'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25472583'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-362-3p","hsa-mir-485-3p",356,11.2291351541322,-2,"10.502077002055","11.2039989933755","10.9919026992777","11.8168704033315","""""","""""","""""","""""","""""","""""","""""",""""""
463,"ZFHX3","hsa-mir-940","hsa-mir-582-3p",0.003,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26330387'>PubMedLink</a>","tarbase","tarbase","hsa-mir-582-3p","hsa-mir-940",463,15.6024324013867,14.6945233927937,"16.6607592728075","16.3921885441032","16.7595939972579","15.4188760470494","""""","""""","""""","""""","""""","""""","""""",""""""
567,"B2M","hsa-mir-130a-3p","hsa-mir-20a-5p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-20a-5p","hsa-mir-130a-3p",567,20.4702164011316,21.4841464194346,"21.0759943450652","22.0840335600843","22.1292377456523","21.1433358687092","""""","""""","""""","""""","""""","""""","""""",""""""
567,"B2M","hsa-mir-500a-5p","hsa-mir-106a-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31013508'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-106a-5p","hsa-mir-500a-5p",567,20.4702164011316,22.2900052708346,"22.0840335600843","21.4120071802489","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
