"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46"
894,"CCND2","hsa-mir-376c-3p","hsa-mir-541-5p",0,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.29148227442177,-0.353102690804795,0.398853936731358,0.588412469618987,0.81638929449799,-0.0431925000081037,"hsa-mir-541-5p","hsa-mir-376c-3p",894,20.1200457198048,20.7107366213501,"20.4411687729455","20.4380829033695","21.376715204405","20.2265447704902","19.4148177777632","19.712819553859","20.1575478121293","19.546177071973","20.6766601048324","20.7087939047324","20.0456562461198","20.3310885444673","19.5208017046035","20.2155178990479","15.4193211258415","19.7909032600218","20.2672893381537","19.0850933202823","20.8154646692614","20.478789895977","20.0390722534505","19.868424479942","20.0348833515291","20.1578620771213","14.9629418660523","19.9908548038989","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1152,"CKB","hsa-mir-424-5p","hsa-mir-195-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.0952209190976666,-0.526844940831158,0.0478918772822502,-0.650927480781569,0.99551499267722,-0.001040891838032,"hsa-mir-195-5p","hsa-mir-424-5p",1152,22.0432218931535,21.9016523338881,"18.5415469465786","22.3222168863198","19.3101739791385","21.1517228384204","22.0916441149427","22.1997461490676","21.4238419406779","21.3049960913739","18.57373672107","21.8055071366705","21.9002764857005","20.7402104304917","21.0124318549234","20.5673289271863","21.406906285174","20.6985129621001","22.0264883898828","20.536739316371","21.098897759274","20.7452170828237","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1783,"DYNC1LI2","hsa-mir-708-5p","hsa-let-7c-5p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase",0.183068490649196,-0.504360518459726,0.159992984273785,-0.340704282239637,0.790078042806429,0.0529949876780258,"hsa-let-7c-5p","hsa-mir-708-5p",1783,16.308925742386,18.1376577204824,"18.0584148500631","18.1018408573561","18.3970918692787","18.9584235711672","18.4505343948088","18.7445886462103","18.1343204395095","17.7623411791947","16.0128321844704","19.2747140770938","18.5552814592164","18.8028185161808","19.1034236638041","18.564040738758","18.5335271647421","15.4108211551998","18.3017803101899","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1843,"DUSP1","hsa-mir-200b-3p","hsa-mir-937-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24409315'>PubMedLink</a>","tarbase","tarbase",0.627039105914662,-0.378027211890285,0.699619213400702,0.323943235932106,0.599775254335706,-0.0921622685011931,"hsa-mir-937-3p","hsa-mir-200b-3p",1843,22.6594187677234,22.9333623044487,"22.2879094700922","22.4325092995535","23.5012147801616","22.8887829616758","22.7373247947312","23.5699519719262","23.2324458288678","21.9738819294446","21.2759994255566","23.7159317091123","18.2471909709667","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1870,"E2F2","hsa-mir-224-5p","hsa-mir-196a-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase",0.60905406181031,-0.219653549781102,0.0104869739043192,1.01898821451906,0.335022270828366,0.250083841706709,"hsa-mir-196a-5p","hsa-mir-224-5p",1870,11.5318276175657,12.0526283159878,"12.2431201626204","12.6376288702941","11.6744994769754","13.2778838361082","9.25683540323957","12.2268216137022","11.4352087038172","12.1825319410771","10.1054097342804","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1995,"ELAVL3","hsa-mir-511-5p","hsa-mir-1224-3p",0.007,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00231977732351297,-1.35044992425606,0.124001720472076,1.15210137902404,0.0918779730492076,0.368233950300697,"hsa-mir-1224-3p","hsa-mir-511-5p",1995,19.5785600436555,19.3892390489419,"19.9400235151848","19.6308723998274","19.5937954029968","20.1922760405026","16.5679254749443","19.2607886785214","13.5528442181049","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2651,"GCNT2","hsa-mir-32-3p","hsa-mir-181d-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase",0.0340399562878437,-1.42455433435913,0.168238927623065,0.533064507872944,0.733915000255102,0.0811875905661937,"hsa-mir-181d-5p","hsa-mir-32-3p",2651,13.81413044793,13.3650671746469,"12.4936512613607","11.319869338853","12.9893488488167","14.5852653561093","12.980074033779","14.3966387587517","13.7075295471299","13.3076510829702","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-410-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase","mirtarbase",0.154944467214958,-0.383250958315601,0.176058073217224,0.393341495138207,0.94707580556922,-0.0131809333855346,"hsa-mir-410-3p","hsa-mir-199a-5p",2932,18.3975283559889,18.1570826859729,"18.3420274417749","18.3001014274554","18.1474790977055","17.2141991400042","17.2889431767981","17.6763408626304","18.2190607946133","18.4482581080226","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-199a-5p","hsa-mir-411-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","mirtarbase","tarbase",0.154944467214958,-0.383250958315601,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346,"hsa-mir-411-3p","hsa-mir-199a-5p",2932,18.3975283559889,18.374392928818,"18.1570826859729","18.3420274417749","18.1143505103033","18.3001014274554","18.1474790977055","18.4513924064142","17.2889431767981","17.6763408626304","18.2190607946133","18.4482581080226","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-195-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","mirtarbase",0.813967204405885,0.0971445903248991,0.0478918772822502,-0.650927480781569,0.94707580556922,-0.0131809333855346,"hsa-mir-195-5p","hsa-mir-411-3p",2932,18.374392928818,18.1570826859729,"18.3420274417749","18.1143505103033","18.1074656905765","18.3001014274554","18.4513924064142","17.2269451139985","18.0972559074453","17.9326255457156","17.2889431767981","17.6763408626304","18.2190607946133","18.5332260193077","18.4482581080226","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
