"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40"
8660,"IRS2","hsa-mir-155-5p","hsa-mir-589-3p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase",0.630865267829754,0.0713413033585589,0.126150540956684,0.526426562181466,0.656899106749788,-0.0468700632765882,"hsa-mir-589-3p","hsa-mir-155-5p",8660,14.8416686286076,19.9314977498645,"18.1196785321123","18.854852201586","15.1931620452363","18.5587738876834","18.7307455632099","19.5914119890282","18.0088680955456","17.7980424972603","15.9456573437746","16.3295282656012","19.2681618449263","20.1244123291167","18.4341901577365","18.0104095165711","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9066,"SYT7","hsa-let-7f-5p","hsa-mir-139-3p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.448637560671287,-0.0869838972190063,0.0155953923555376,-0.507594052153583,0.285047018695555,0.122790486680479,"hsa-mir-139-3p","hsa-let-7f-5p",9066,16.4649369644631,17.9615252636049,"17.0212233356472","15.6476048371862","17.0803775543407","14.9786113888953","15.0178629835577","18.9703895287357","16.3282731426058","18.7771829903009","18.2041518802264","17.852995576561","16.7576317549863","16.386111774261","15.0886345700068","17.6537250717797","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9213,"XPR1","hsa-mir-143-3p","hsa-mir-150-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/27358073'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/28659612'>PubMedLink</a>",NA,"tarbase","mirtarbase",0.0893240922835545,-0.171468301569719,0.307981527922581,-0.148379898384089,0.351698442442284,0.10053644813699,"hsa-mir-150-5p","hsa-mir-143-3p",9213,16.1084520067736,17.392170886498,"18.4355855945961","18.8241289408787","17.5524686159404","19.0502283385346","17.336898844749","18.5169986034748","19.3653086894079","18.6432520812127","16.9521923548873","19.5472130305405","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9369,"NRXN3","hsa-mir-455-3p","hsa-mir-651-5p",0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28633632'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/28770965'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",0.0640264221845851,0.317840264678041,0.467658966357688,0.222695525930073,0.509727947527816,-0.0841520028408378,"hsa-mir-651-5p","hsa-mir-455-3p",9369,14.8915659152482,12.2674702478309,"10.8936672562916","13.5222914413028","14.0059645366416","9.81038554474815","11.0906062164883","15.3918177255804","11.7026559977536","12.6549538409851","13.6006486522221","13.7654643934882","8.47746913801615","17.1493419283076","14.0578298134065","15.409261501966","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9424,"KCNK6","hsa-mir-20b-5p","hsa-mir-129-5p",0.0025,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28035762'>PubMedLink</a>",NA,NA,"mirtarbase","mirtarbase",0.17355875913484,-0.278819620450661,1.63148570269129e-05,-1.03372416491895,0.915382758238798,0.0113132099698103,"hsa-mir-129-5p","hsa-mir-20b-5p",9424,19.1261962799814,18.7750421949595,"17.4725388019594","18.2877414010249","17.2051096375022","16.6253265039864","17.2382725312099","17.6458004427315","20.1798484841213","18.773859749125","18.3758215504779","18.705655367368","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9444,"QKI","hsa-mir-150-3p","hsa-mir-129-5p",0.0015,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28659612'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27358073'>PubMedLink</a>","tarbase","tarbase",0.993629773185315,-0.00324259697822364,1.63148570269129e-05,-1.03372416491895,0.814854562062984,0.0257163363484767,"hsa-mir-129-5p","hsa-mir-150-3p",9444,17.5364617373937,17.2723286900213,"16.761601546154","18.0388266359026","17.7418930842731","18.0809857469607","16.6612857430652","17.7213862489344","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9625,"AATK","hsa-mir-940","hsa-let-7c-5p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31085718'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.00588018389893562,1.08526486306288,0.183336087410241,-0.173707089910041,0.261357026603841,-0.126258431396911,"hsa-let-7c-5p","hsa-mir-940",9625,15.0724136762274,16.4374118288573,"17.1066168832373","14.0240320122171","13.1814461553044","17.6017850258993","16.6001445872997","17.6350880124839","18.7247006561711","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9687,"GREB1","hsa-mir-19a-3p","hsa-mir-106b-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase",0.321989538623403,0.182199266719142,0.294031875942692,0.158828026609789,0.390329957492435,-0.105551088059445,"hsa-mir-106b-5p","hsa-mir-19a-3p",9687,12.6827766574743,12.8708313991427,"11.8053891515462","12.3525932807996","14.0331491488369","11.9373732475613","15.8582252656543","14.1772110602132","12.903012666637","15.380540079244","12.6618009221313","13.1244910386403","13.6378221122614","13.4720313610143","13.3582142199526","15.0043031498789","14.0498301223659","13.9855205255345","13.9314395271822","14.1717958276757","11.6347270258826","14.8504488881766","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9792,"SERTAD2","hsa-mir-421","hsa-mir-19a-3p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.0217342642495747,0.730397982904809,0.321989538623403,0.182199266719142,0.732647020859768,0.0364867471093232,"hsa-mir-19a-3p","hsa-mir-421",9792,16.8354963394808,18.9652536528861,"16.8553294656395","19.4455969690386","18.4514692432966","17.273461113371","18.5553005900017","18.2229566465271","17.5261601081615","16.8711792688479","18.3859071715045","18.7779285280449","18.1021345920915","19.380403764981","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9839,"ZEB2","hsa-mir-200b-3p","hsa-mir-192-5p",0,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28035762'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/21426561'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28861321'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28927031'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30824187'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31387451'>PubMedLink</a>","mirtarbase","tarbase",0.640217045091362,-0.0614773092367593,0.0803958209042905,-0.221037594709915,0.731647862741633,-0.0399071241507971,"hsa-mir-192-5p","hsa-mir-200b-3p",9839,13.9854408679892,15.1043949383921,"14.2601328509552","12.6793046601237","13.7342184660665","15.0446974131391","15.7343353594431","14.5171637738938","14.8738302891386","15.1308291916734","15.5113602236534","15.9587118188996","13.2484382320351","15.2682019589348","14.7129649405839","16.5943051214408","14.7225271682485","15.8571052908548","14.2070853417905","14.2932278630228","15.2988823467369","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9859,"CEP170","hsa-mir-33a-3p","hsa-mir-532-3p",0.001,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.928037588668743,0.0305053885936759,0.812388885842357,-0.0465769541710914,0.451663708140763,0.0855339662835952,"hsa-mir-532-3p","hsa-mir-33a-3p",9859,16.0704060354061,16.85338333416,"17.0409229253952","16.9900619382357","16.4886269552984","16.6014390817765","15.9193234139322","16.3690007455933","16.8019878996617","16.0866592876793","16.7965895781176","16.828652759123","16.8479170935371","16.5895046797205","15.2685054276233","16.2821495276016","16.3891837169088","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10066,"SCAMP2","hsa-let-7a-2-3p","hsa-mir-1301-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.857288829248601,0.0601651236333762,0.0608525796638987,0.488708560631314,0.8765657502501,-0.0157540121358486,"hsa-mir-1301-3p","hsa-let-7a-2-3p",10066,20.1348384956734,19.6459242219013,"20.1215921642202","18.68368382933","19.8783648218345","19.9123238262129","20.4124974860061","19.8888938347122","19.7113828377476","19.4037879270341","20.0904205582736","20.2001987894905","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10140,"TOB1","hsa-mir-32-3p","hsa-mir-301a-3p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.439240945718331,0.315700833676381,0.0534041557798386,0.48363707023578,0.773330629277556,-0.0290616777555513,"hsa-mir-301a-3p","hsa-mir-32-3p",10140,20.4350727180491,18.6274633297014,"19.7522347339381","18.9721996647499","19.8655351822709","20.0260048174566","19.18525466396","21.979922284371","20.6011719189319","20.2570760194777","19.1135073975167","18.3865073853793","18.7274139855426","21.7957880318929","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10150,"MBNL2","hsa-mir-182-5p","hsa-mir-33a-5p",0.007,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31401160'>PubMedLink</a>",NA,"tarbase","tarbase",0.756471969257837,-0.0354651886100591,0.899115456865563,-0.0265006015525863,0.772245867997984,-0.0295396153406301,"hsa-mir-33a-5p","hsa-mir-182-5p",10150,18.9515373356411,19.4869884215653,"20.0203191760794","19.8674681204732","19.3877927224035","19.2832294815459","18.9018772656331","19.7770524028636","18.5693433127505","19.1030896030573","20.0435406063513","19.9273124977124","18.9597865377504","19.0692877504728","19.7174451277753","19.6878638690512","20.3002066255101","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
