"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85","_c86","_c87","_c88","_c89","_c90","_c91","_c92","_c93","_c94","_c95","_c96","_c97","_c98","_c99","_c100","_c101","_c102","_c103","_c104","_c105","_c106"
6860,"SYT4","hsa-mir-142-3p","hsa-mir-153-3p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.924205973463444,0.00694010159046019,3.36058035039217e-13,1.22922393645026,0.163032678210803,-0.0870435966117297,"hsa-mir-153-3p","hsa-mir-142-3p",6860,-2,8.4534971808466,16.5527069203108,11.7305928100384,13.708470494882,8.38859792802513,"11.8355751298968","8.01540111012002","11.4664587101697","13.410885039506","9.04505744729262","11.3264811091138","9.44811543243102","15.707508979538","9.87848539364606","14.3945124496354","12.3654787239479","12.9052867281446","-2","9.58196472964477","10.5067725129143","17.2051289520936","20.0378046449332","13.2994582980547","8.9626421527097","6.45295156751465","7.95847602666095","7.6480739558175","8.65832481917557","10.9093428007094","11.151329445819","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
7422,"VEGFA","hsa-mir-20b-5p","hsa-mir-150-5p",0.0045,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/10362127'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10738243'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11102890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11920479'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12367793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12377649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12568850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12579092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12596060'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684660'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14981918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15173661'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15289739'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15498380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15522212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15522212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15870864'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16140938'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16702519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16804907'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16972327'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16984727'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17785951'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17852856'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18032824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18414651'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18414651'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18450321'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18780893'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19324448'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20489156'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21635552'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22198428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22287745'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23030255'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23441128'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24367507'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25484066'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25773840'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25875799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26432044'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26525902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26782587'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27876017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29025597'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29137361'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29544697'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970531'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31035945'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31044389'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31572671'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7545086'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9683299'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9701011'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9815567'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9816315'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.00476570663834819,0.235256182525162,0.994057399846652,0.00056836655694467,0.449407079666809,-0.0371860550911699,"hsa-mir-150-5p","hsa-mir-20b-5p",7422,15.2208552530774,18.6827285609115,16.3829984428768,17.7768872643144,18.6230237890364,18.8097941514109,"18.3554045551022","17.1488948837179","17.425788980679","17.591127967858","19.5326414204536","15.6266492081665","18.3164515504721","18.5678775479606","16.7138396873147","18.1707510756668","18.0968577615556","19.7318231880251","19.0786497776379","19.058098149627","17.8165303258898","17.9401245513409","18.1807101138013","18.9988932516231","19.5838183933571","16.402956546324","17.5403364510182","16.4839226593469","17.0473553826159","19.3779538901211","17.7113487848707","17.5722147227334","16.3965008736191","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
8091,"HMGA2","hsa-let-7g-3p","hsa-mir-326",0.003,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17477356'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18843278'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26858029'>PubMedLink</a>","mirtarbase","mirtarbase",0.0871294472139528,-0.181733610121339,0.00015211208340281,-0.546240513854027,0.0102932813281032,-0.285275584861021,"hsa-mir-326","hsa-let-7g-3p",8091,5.68469272656613,7.21489559228656,-2,4.89417432389901,6.88684810239846,6.68763608788743,"5.39430435903065","6.78184213644259","4.31639630278609","6.57869643334569","5.18510285683489","-2","8.02491852238918","7.6064291467341","4.90542685489286","-2","-2","4.46899132547547","6.18190541711127","5.58800765940375","-2","6.69083101503204","6.48452705105939","6.46255896346087","7.75947624836835","10.9542627325372","5.5185850367077","4.75165576976813","5.68455124516496","5.6233494950586","-2","5.63191420280614","6.4685392118974","5.141039650645","-2","4.2688589535755","4.87802310798076","4.49913826791353","4.45796960971469","-2","7.6395108956362","5.69249585855957","6.50307342087204","5.11423681782726","7.34374342619041","5.46046245027586","7.79117682681064","4.58696185287752","6.05914156182971","7.59557514957136","-2","5.60209301763479","4.1183186211849","7.68668459453851","4.84610517240148","7.25028549967756","7.72018347635918","6.95889398403511","8.37925788610438","4.70370713680304","6.18672016338288","4.71268184662291","6.93252134956107","6.9949061746082","-2","5.94423755737652","5.9506135567375","5.25214147414982","-2","4.62137310092124","4.8894715089965","-2","8.40943213259748","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
8091,"HMGA2","hsa-let-7g-3p","hsa-mir-33b-5p",0.0025,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17477356'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18843278'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26858029'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.0871294472139528,-0.181733610121339,0.115018018858396,-0.28011003229831,0.0102932813281032,-0.285275584861021,"hsa-mir-33b-5p","hsa-let-7g-3p",8091,5.68469272656613,-2,7.21489559228656,-2,4.89417432389901,6.88684810239846,"7.04708438179379","6.78184213644259","4.31639630278609","6.57869643334569","-2","-2","8.02491852238918","7.6064291467341","4.90542685489286","-2","4.46899132547547","5.58800765940375","-2","6.46255896346087","5.5185850367077","4.75165576976813","5.68455124516496","6.22328715683546","5.6233494950586","-2","5.63191420280614","6.4685392118974","-2","4.2688589535755","9.01254432133541","4.87802310798076","4.49913826791353","4.45796960971469","-2","7.6395108956362","5.69249585855957","7.34374342619041","5.46046245027586","4.58696185287752","6.05914156182971","5.60209301763479","4.1183186211849","7.25028549967756","-2","5.85016243068551","8.37925788610438","5.62118248531991","6.18672016338288","-2","4.7792455775415","4.71268184662291","6.93252134956107","8.59606133720595","6.9949061746082","-2","5.94423755737652","4.43066937322924","7.17834971836153","5.25214147414982","5.20932878107657","6.48069835704528","-2","7.04255366326584","4.55746043239929","4.62137310092124","7.82096535295856","6.24300605703788","12.080847508761","-2","-2","5.39096050434052","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
338645,"LUZP2","hsa-mir-20b-5p","hsa-mir-106a-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00476570663834819,0.235256182525162,0.00018831318528571,0.341350103425617,7.48164415822331e-06,0.248597071930412,"hsa-mir-106a-5p","hsa-mir-20b-5p",338645,18.0160393986484,17.288195589041,11.9418419953262,14.6684391216122,15.8094411774942,17.1120494888921,"11.7271411982039","16.3692551964948","16.9966407183811","15.5787351057162","16.2657822024172","14.9706615106756","15.6798015332785","17.2213381730528","13.1448741526686","13.0773959357288","16.7128378525493","12.9835794222321","15.1133129404728","13.6443546267646","12.972620549808","11.1923577281095","18.1174982632483","15.4860784178213","15.9877293863647","17.2107999524137","13.6233340183258","15.2564842529917","15.9741407992836","16.6227674723939","15.6701309820638","16.3539319134591","16.0126485423923","17.6759107291615","16.6564485816005","17.2345074207144","16.4602914727252","16.8766202455271","15.8964164278003","17.732292738695","13.4988245056264","17.0634014022298","18.5135960455722","16.6461255563311","16.1438875581757","16.8169608910702","17.590373717966","13.3122223491327","17.222819364321","15.4244916263003","14.0102408524081","16.2785752945788","15.1102681170994","16.6657054568109","17.8937717427463","14.0341372359806","17.4041650200525","16.7177774040622","15.4151307538138","13.9696520337542","15.7568461645757","17.7708819552147","15.2302882694864","15.9831244647507","17.7047061927817","15.2515205916672","15.2521493305401","14.2041281587817","13.4677100640511","15.1088395967419","16.4563181284378","11.9602201222079","15.4566125313483","14.9315107887524","14.3470036547551","12.721161222882","11.9386356416859","15.2523559270318","17.3635245711764","16.5334682263716","15.3665083384323","16.6944737628215","16.9393416678918","15.4260315537788","15.5145340852959","11.2003056343706","13.5702892392225","13.9048658958839","15.8161881547627","15.5760667166576","17.2892652601096","16.8907647753021","15.249684464418","15.4080920435785","15.6714931166827","14.5097113219059","13.327805962219","15.5413003912934","13.4438533758113","11.7203611627412","17.5378200535238","14.04550871112","16.2113969653818","13.8889273306812"
346389,"MACC1","hsa-mir-362-3p","hsa-mir-338-3p",0.0045,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30662812'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/30741252'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/24124150'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.538882711678924,0.0984412822057351,0.493108951936297,-0.0512145936708849,0.00950467771123742,-0.146889500824491,"hsa-mir-338-3p","hsa-mir-362-3p",346389,12.9746831200193,13.4335071061076,12.2063179026602,11.0821187332401,12.4922506316312,13.0334528385491,"10.9248080396229","11.1524068744906","14.8445097916696","11.6301918778938","12.9139084031926","11.9791665502011","11.9726722883492","13.9309059874949","14.2494607068312","13.7525916778945","12.0960236274357","14.2948813144417","13.6755117596007","14.0278088150292","11.8711899257671","12.0048065992336","8.48078322623702","12.3193172694825","11.4664691246556","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
