"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68","_c69","_c70","_c71","_c72","_c73","_c74","_c75","_c76","_c77","_c78","_c79","_c80","_c81","_c82","_c83","_c84","_c85","_c86","_c87","_c88","_c89","_c90","_c91","_c92","_c93","_c94","_c95","_c96","_c97","_c98","_c99","_c100","_c101","_c102"
<a href='https://pubmed.ncbi.nlm.nih.gov/31746439'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.584518384064673,-0.0362222390765601,0.0483830708127039,-0.462018226076841,1.84134994163297e-09,0.305834372907548,"hsa-mir-3940-3p","hsa-mir-203a-3p",332,19.8823759075561,18.5699399707084,"19.401841903637","16.7950999463827","16.776827304598","17.3431785447137","18.3998310699069","16.952964522667","16.6685314669362","16.2044290451374","17.4312589633514","17.2211127818814","13.5764071069159","18.622597192342","16.3494073200654","15.5458073597617","18.8354906821475","15.2037849043554","14.2845444477289","16.6720160623996","14.6129071794305","17.5398837296946","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
367,"AR","hsa-mir-223-5p","hsa-mir-31-5p",5e-04,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29615147'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11145738'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11161850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11712819'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11880592'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12115497'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12445232'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12558872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/1552612'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15665279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15665279'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18007998'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18481268'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18692155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18692155'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19318631'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20035825'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20127024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20587701'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21432867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21432867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22389383'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22471922'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23362007'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24777847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24777847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24879567'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24879567'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25471750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25512615'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26700622'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26855148'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27072221'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27440270'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27545006'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27545006'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27634876'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27689328'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28593420'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28859123'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28900498'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29396873'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29851094'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29851704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29915882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29915882'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29981816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30096292'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30337589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30628926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31013476'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31426812'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31428578'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31565603'>PubMedLink</a>","mirtarbase","mirtarbase",0.00498753209061271,-0.41796610429502,3.20219435388534e-14,2.31834471133151,0.00461067319975402,-0.149086417071995,"hsa-mir-31-5p","hsa-mir-223-5p",367,10.7536178205794,11.294934887286,"13.1210256070486","14.7744006703434","13.9610720729505","16.2661632079925","11.9190070508139","12.3393004231616","14.5469878121168","11.9748036411623","11.4006823206946","12.6950350822038","14.7679696204393","12.6643010754485","13.4832179287205","15.7932122002464","12.7541492911108","13.9051334586284","12.936311827514","11.5001300231966","15.3991027245876","10.9430383954842","11.916355784473","12.9438064287526","13.3769720551419","11.6170913002659","11.8768378072992","12.7693469979101","11.7152436477112","14.4165572765705","14.2085323970752","12.6185766277442","13.1653021280772","11.5651332962863","11.9796763850054","11.9449160261365","12.8327647596825","12.5347267953767","13.8851745987636","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
388,"RHOB","hsa-mir-642a-5p","hsa-mir-411-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24321314'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28003335'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28131418'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.00041036207646394,0.587924026544983,0.00962102929863112,0.654100713180475,0.15057924954294,-0.060909234098112,"hsa-mir-411-3p","hsa-mir-642a-5p",388,21.3852453649497,21.9892234651132,"22.5515978768578","18.5132299173197","22.2404269574957","20.2722715163101","22.1553430427268","21.0602331788121","20.76789094734","22.6081773824041","20.3331354262461","20.475315682704","20.9585856949752","21.2851487070067","20.8769069691892","22.2159256854755","20.6982721006828","22.2961140505447","19.4601261065599","20.1893431298717","21.5537681003813","20.508858104746","20.1300001799792","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
463,"ZFHX3","hsa-mir-424-5p","hsa-let-7f-5p",0.001,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/23144151'>PubMedLink</a>","tarbase","tarbase",0.0014227641426492,0.314659555387985,0.00019080756298252,-0.22434770279065,0.597598210400492,-0.0261387036198431,"hsa-let-7f-5p","hsa-mir-424-5p",463,15.0825116062354,14.500694557439,"13.6112547084282","14.1025215706979","16.632938318488","16.2939147988501","14.3834192799963","14.4464088536934","14.8456811324411","14.6663084462998","13.6124173981795","13.8941375293683","16.3372676709126","15.4941931592059","15.4435923769162","16.0658496191938","14.2138158815104","14.3817848009931","15.0356331344283","15.0852097357642","14.2642386849025","15.6576553224607","15.9831050312641","15.8486250436556","16.4875831403501","15.9848237056732","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
654,"BMP6","hsa-mir-301a-3p","hsa-mir-130a-3p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/16175182'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16175182'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949431'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18949431'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28604730'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30675259'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30675259'>PubMedLink</a>","tarbase","tarbase",7.22277940924562e-14,1.19930914304891,0.706390012767982,0.0351072905536879,0.0010718489648987,-0.159922518748473,"hsa-mir-130a-3p","hsa-mir-301a-3p",654,16.5481566796863,13.2053353700897,"16.0098973484303","15.6830377950309","12.4686742749311","17.7027275044745","12.1968172504606","12.8190030483039","13.1764786312825","13.6787740652634","13.3544414769507","13.3520992894505","14.5025572460271","14.6333245062565","13.9490492056273","14.8875335636678","12.6413347693084","15.9552657439812","13.1422333470478","15.0043992727001","15.0954089277386","11.9358677880545","12.6759507903555","20.5280244658055","14.0114769723775","15.9101229127623","12.6839110784076","13.0763827353214","19.6616559051008","11.4655255092941","16.3126390823183","13.8810907771406","15.6098230528722","13.1457359469519","14.3474115450801","14.417487144868","13.6074426433346","16.6601097864451","15.325930780404","14.23836112658","16.170730706538","13.7214153531037","16.6497190119116","13.3769972500467","15.3809677752386","13.7994606292986","15.5497577748577","14.1943334900126","15.059278028022","15.4157949523885","15.8184692471302","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
667,"DST","hsa-let-7f-5p","hsa-mir-20a-5p",0,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26695145'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/11948124'>PubMedLink</a>","tarbase","tarbase",0.00019080756298252,-0.22434770279065,0.003902550290259,0.249913220531068,0.0111777712147055,-0.123233647606787,"hsa-mir-20a-5p","hsa-let-7f-5p",667,17.1955442116453,15.1275402693544,"14.9876971389994","13.8768320813173","14.6256418458271","12.6421075185463","16.094784450967","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-19a-3p","hsa-mir-345-5p",0.0075,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","mirtarbase tarbase","tarbase",2.06856521144369e-06,0.593274508550163,1.54729551192631e-08,0.749687451471692,0.00773533302994488,-0.125469402562923,"hsa-mir-345-5p","hsa-mir-19a-3p",894,15.8001114986096,15.6839834629975,"16.7365648999964","16.9475405119439","13.489949821033","17.1989513373152","14.6820283683256","15.667690212742","17.0814867154652","16.9073988067975","13.8046098522386","18.1841319398321","16.573124760776","16.7657267127559","15.4898058072033","15.4953286871733","16.3710141835638","15.0525783982196","16.750004495688","14.6691468707193","17.1153322920398","15.876167542639","14.4448031752774","15.0846190665852","14.7052907638513","14.0431404055527","15.9252581022432","17.253706594776","15.8117531508813","20.098334934936","15.8992346225297","14.1531664399469","14.7450890736718","16.0660701704965","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-20a-5p","hsa-mir-345-5p",0.0015,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26695145'>PubMedLink</a>",NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.003902550290259,0.249913220531068,1.54729551192631e-08,0.749687451471692,0.00773533302994488,-0.125469402562923,"hsa-mir-345-5p","hsa-mir-20a-5p",894,15.8001114986096,17.4338017063068,"17.3000816395182","13.489949821033","17.1989513373152","14.6820283683256","17.0814867154652","16.9073988067975","16.573124760776","16.7657267127559","15.4898058072033","15.4953286871733","16.3710141835638","15.7332672806972","15.0670022870152","16.2169837437487","15.0525783982196","14.9128279777243","15.7714091697992","16.750004495688","14.6691468707193","15.876167542639","14.4448031752774","14.7699488439182","15.0846190665852","16.7637636456228","14.7052907638513","14.0431404055527","17.253706594776","20.098334934936","14.1531664399469","14.7450890736718","16.0660701704965","16.3869500342302","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-324-5p","hsa-mir-548b-3p",5e-04,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
