"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
894,"CCND2","hsa-mir-141-5p","hsa-mir-345-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-345-5p","hsa-mir-141-5p",894,19.24074355335,20.2559088477225,"15.9959781099311","19.8480101755624","19.6451674278918","18.2662539327274","16.5668880406914","16.7688791543597","16.6733441364406","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-301a-3p","hsa-mir-21-3p",0.0035,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-21-3p","hsa-mir-301a-3p",894,20.9638099795268,19.24074355335,"15.9959781099311","19.6451674278918","22.6748426811985","19.4203895732111","16.6733441364406","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-345-5p","hsa-mir-221-3p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-221-3p","hsa-mir-345-5p",894,19.24074355335,15.9959781099311,"19.6313626724867","20.3386221377486","19.6451674278918","14.616252598898","16.7688791543597","16.6733441364406","20.3458714061793","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-452-3p","hsa-mir-2355-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-2355-5p","hsa-mir-452-3p",894,19.24074355335,15.9959781099311,"21.168409534301","20.6785639124406","20.8836587667292","16.096064218553","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
920,"CD4","hsa-mir-204-5p","hsa-mir-485-5p",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-485-5p","hsa-mir-204-5p",920,14.2610356176624,12.2192854543198,"15.851219249663","18.6810037015692","12.5351614980511","16.8906176044616","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-105-5p","hsa-mir-142-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29283884'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-142-5p","hsa-mir-105-5p",1021,17.4252772635361,16.2551862592812,"16.6455167025543","14.3878481057053","15.6551140197814","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-29b-1-5p","hsa-mir-224-5p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29283884'>PubMedLink</a>","tarbase","tarbase","hsa-mir-224-5p","hsa-mir-29b-1-5p",1021,16.2326655924151,17.4252772635361,"13.8473088402708","15.9464533973007","16.5590552812725","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-582-5p","hsa-mir-222-3p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29283884'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-222-3p","hsa-mir-582-5p",1021,17.4252772635361,13.8473088402708,"15.3210041064857","17.131080231357","15.2293500355864","15.6551140197814","15.6889890898759","16.1576198300356","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1073,"CFL2","hsa-mir-98-5p","hsa-mir-130b-3p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-130b-3p","hsa-mir-98-5p",1073,16.5182000105739,17.3831057310493,"18.6655326397841","17.4911669235372","18.5930218921074","18.3709492558077","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1075,"CTSC","hsa-mir-455-3p","hsa-mir-488-3p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-488-3p","hsa-mir-455-3p",1075,18.0558745428303,17.8076691499377,"16.2278241406074","19.241101421636","19.2008216958233","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1287,"COL4A5","hsa-mir-3127-5p","hsa-mir-9-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-9-3p","hsa-mir-3127-5p",1287,14.7035280657471,12.4777145228422,"12.3685402072151","15.2676849560264","15.4504880324472","13.3175186870568","13.702354357975","12.8733246132985","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
