"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39"
59,"ACTA2","hsa-mir-376c-3p","hsa-mir-377-3p",0.006,FALSE,NA,"tarbase","tarbase","hsa-mir-377-3p","hsa-mir-376c-3p",59,18.0237127971765,19.163755506832,"21.4724937492029","19.3171786074165","18.6104459170364","19.5363758983163","17.2611893898118","23.3980547850375","17.0636656689915","20.3364764751505","18.4221879257349","18.8734236523744","16.6454397023288","20.7706309845044","18.2833417127039","22.810104632754","17.6801301853833","18.7633321828747","17.2909686194317","16.9436829155397","18.1582190608421","17.1480097298595","16.0317734402702","19.4830393435468","18.5521250873281","17.7220147378411","16.9243514130868","20.4539333733385","20.4293652909803","17.1951730610902","17.814877831759","""""","""""","""""","""""","""""",""""""
93,"ACVR2B","hsa-mir-200b-3p","hsa-mir-582-5p",5e-04,FALSE,NA,"tarbase","tarbase","hsa-mir-582-5p","hsa-mir-200b-3p",93,16.2029186501159,13.5422121625043,"16.05957160581","15.8922744553436","13.6933516641707","17.0279575880596","16.050784656919","16.005707179506","16.5338404922414","17.2855272047699","16.9072683559498","14.0775028105547","16.8074909344862","13.2922909043503","16.0145873407882","16.8131735032547","13.9090111441352","15.4795082335053","13.9685234512355","16.6549598549845","14.486656671836","15.1954984115325","17.8601833339346","15.7217968553437","16.8168316515154","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
93,"ACVR2B","hsa-mir-582-5p","hsa-mir-196b-5p",0.0015,FALSE,NA,"tarbase","mirtarbase tarbase","hsa-mir-196b-5p","hsa-mir-582-5p",93,16.8900330226872,16.2029186501159,"13.5422121625043","14.8774062463688","17.0411200644067","16.05957160581","16.5735251653825","15.8922744553436","17.1210600086804","16.050784656919","16.005707179506","15.1791762155957","16.5338404922414","17.2855272047699","14.0775028105547","16.8074909344862","13.2922909043503","16.0145873407882","15.2406021471535","13.9090111441352","15.4795082335053","13.9685234512355","16.6549598549845","14.486656671836","15.1954984115325","16.8621257743189","16.8774824615649","15.7217968553437","16.8168316515154","""""","""""","""""","""""","""""","""""","""""",""""""
202,"CRYBG1","hsa-mir-335-5p","hsa-mir-345-5p",0.001,FALSE,NA,"tarbase","tarbase","hsa-mir-345-5p","hsa-mir-335-5p",202,16.7150373461039,14.8602850480698,"15.1999961324577","15.2746692432616","16.0312932515575","14.2364634434238","16.1231932287126","15.6450994055915","14.9180406589385","14.4726800149156","17.3689261523294","14.7802121484354","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
202,"CRYBG1","hsa-mir-503-5p","hsa-mir-345-5p",0,FALSE,NA,"tarbase","tarbase","hsa-mir-345-5p","hsa-mir-503-5p",202,16.7150373461039,14.8602850480698,"15.1999961324577","15.2746692432616","14.2364634434238","16.1231932287126","15.6450994055915","14.9180406589385","14.4726800149156","15.1436631068111","17.3689261523294","14.7802121484354","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-141-5p","hsa-mir-486-3p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/20395447'>PubMedLink</a>","tarbase","tarbase","hsa-mir-486-3p","hsa-mir-141-5p",595,18.7322414366087,18.2551225074851,"16.8382303611297","16.9821301682454","18.5196453730327","16.5094988802855","15.952934662628","18.8711153789649","17.3656104188337","19.9576620256803","14.0902967058651","14.0515005260483","19.2477718262216","14.9811654382515","19.7225159455172","17.1632094966368","14.3820345939013","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
672,"BRCA1","hsa-mir-181d-5p","hsa-mir-20b-5p",0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29433971'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-20b-5p","hsa-mir-181d-5p",672,16.215250109204,16.2597756522869,"16.4448840511963","16.6721488708549","15.1630178275496","15.4215616701894","14.7540086661974","15.0894385253726","14.7733883952882","16.2639018515632","14.7880800535638","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
687,"KLF9","hsa-mir-124-3p","hsa-mir-518e-3p",0.001,TRUE,NA,"mirtarbase tarbase","tarbase","hsa-mir-518e-3p","hsa-mir-124-3p",687,15.5884018068229,14.7020422435515,"16.0934853372788","15.0636826369683","16.2496837204041","15.1463087690675","14.8794308112373","14.8762058121869","15.7430326598912","15.6826065847111","14.0773198533698","14.4274722941889","13.7495850580772","15.6731954432095","15.0097081167249","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
718,"C3","hsa-mir-127-5p","hsa-mir-485-5p",5e-04,FALSE,NA,"mirtarbase","mirtarbase","hsa-mir-485-5p","hsa-mir-127-5p",718,19.8215977312911,16.5438968301119,"17.0890505416272","16.7564580766893","15.0847655148265","18.47546876697","17.8459156840463","17.3769583110463","17.5910123255231","18.347094562853","16.8403332780019","17.1397292050986","18.0345728628139","17.8607810968145","20.3965632050744","19.8866419102442","18.6227449734044","21.2877506678296","14.1951199465789","15.6573330464184","15.4628986218971","16.7069520027597","14.0476491992017","19.6563781842654","18.565857099537","14.9525651856174","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
718,"C3","hsa-mir-377-5p","hsa-mir-127-5p",0.001,FALSE,NA,"mirtarbase","mirtarbase","hsa-mir-127-5p","hsa-mir-377-5p",718,14.5812042069271,19.8215977312911,"16.5438968301119","17.0890505416272","16.7564580766893","18.47546876697","17.8459156840463","17.5910123255231","18.347094562853","16.8403332780019","17.1397292050986","18.0345728628139","17.8607810968145","19.8866419102442","21.2877506678296","15.6573330464184","15.4726758794849","15.4628986218971","16.7069520027597","14.1237192496523","14.0682535502141","14.0476491992017","19.6563781842654","18.565857099537","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
