"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
1523,"CUX1","hsa-mir-20b-5p","hsa-mir-195-5p",0.005,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31289482'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/32026208'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/15084380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19826114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20661084'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23315881'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23896864'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28405678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29159900'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29246726'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30010043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30010043'>PubMedLink</a>","tarbase","tarbase","hsa-mir-195-5p","hsa-mir-20b-5p",1523,18.3016941628391,17.4723303329045,"17.9440131527426","17.5764921616986","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1604,"CD55","hsa-mir-382-5p","hsa-mir-542-3p",0.0065,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28866101'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/27080225'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28008159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28008159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28008159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29895866'>PubMedLink</a>","tarbase","mirtarbase","hsa-mir-542-3p","hsa-mir-382-5p",1604,17.7055334985928,17.8680049936202,"18.8917534160896","17.3625261914548","16.6119695917959","19.2358535274344","18.3017101345152","18.1388095234963","19.3020496895511","18.776918653291","16.2242103400876","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1778,"DYNC1H1","hsa-mir-141-5p","hsa-mir-615-3p",0,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28454411'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31422060'>PubMedLink</a>",NA,"tarbase","mirtarbase","hsa-mir-615-3p","hsa-mir-141-5p",1778,19.8846832363344,18.8272873338502,"18.4203606491628","18.4741216617627","18.6593649010682","19.2727315725885","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1822,"ATN1","hsa-mir-7-5p","hsa-mir-642a-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19118029'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24410728'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25950911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26124487'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27542268'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27613526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27613526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30453282'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30453282'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30584364'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30584364'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30613269'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31221816'>PubMedLink</a>","tarbase","tarbase","hsa-mir-642a-5p","hsa-mir-7-5p",1822,19.364616233995,20.1409218552487,"20.0945476399051","19.0340170141186","19.9830421921333","19.3293963420167","18.7896262358174","19.4229957686051","19.6787924582741","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1948,"EFNB2","hsa-mir-582-5p","hsa-mir-497-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30536321'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31170211'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/30106131'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-497-5p","hsa-mir-582-5p",1948,15.5713334055638,16.7728403914562,"16.3907707556315","14.3461622932324","17.0626313215258","17.4296482529695","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2247,"FGF2","hsa-mir-199a-3p","hsa-mir-615-3p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28454411'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31422060'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10495436'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11759110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11759110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12136423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12377649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12579092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12736723'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14560006'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15144885'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15878867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16077988'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16905765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16934908'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17079777'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17569023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17825301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17949478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18849352'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19157636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20233876'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21143527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21143527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21333372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21503566'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22494932'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25188816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25190353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26635184'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26824699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26824699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26824699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27352333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423625'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28533502'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28765892'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28765892'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28789380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29858603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29896285'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30005872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30013642'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30035358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30562682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30589033'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30730779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31282010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31314153'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31846829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8568589'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-615-3p","hsa-mir-199a-3p",2247,13.3873260633944,13.9137597224764,"12.0304215336792","15.1135742999239","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2247,"FGF2","hsa-mir-199b-3p","hsa-mir-615-3p",0.0055,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28454411'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31422060'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10495436'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11759110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11759110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12136423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12377649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12579092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12736723'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14560006'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15144885'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15878867'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16077988'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16905765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16934908'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17079777'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17569023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17825301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17949478'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18849352'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19157636'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20233876'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21143527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21143527'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21333372'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21503566'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22494932'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25188816'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25190353'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26635184'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26824699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26824699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26824699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27352333'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423625'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28533502'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28765892'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28765892'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28789380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29858603'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29896285'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30005872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30013642'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30035358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30562682'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30589033'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30730779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31282010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31314153'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31846829'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8568589'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-615-3p","hsa-mir-199b-3p",2247,13.3873260633944,13.9137597224764,"12.0304215336792","15.1135742999239","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2355,"FOSL2","hsa-mir-503-5p","hsa-mir-21-3p",0.003,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31807006'>PubMedLink</a>","tarbase","tarbase","hsa-mir-21-3p","hsa-mir-503-5p",2355,19.0476607062152,20.6080197211615,"19.8145511547353","18.9905848731416","18.8352756060669","19.1347388329065","21.2440393204811","20.1662534595018","20.6367928977843","19.3070993249865","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2649,"NR6A1","hsa-mir-141-3p","hsa-mir-23c",0.0095,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30611568'>PubMedLink</a>",NA,NA,"tarbase","tarbase","hsa-mir-23c","hsa-mir-141-3p",2649,10.1641079494873,10.0338838070416,"10.4182967853251","11.4442040085695","10.5638439721283","9.98165118440922","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2649,"NR6A1","hsa-mir-23c","hsa-mir-1180-3p",0.006,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-1180-3p","hsa-mir-23c",2649,10.1641079494873,10.3030187816647,"10.0338838070416","10.9210613781278","10.5638439721283","12.3222281806413","11.1444688183404","11.321025063043","9.98165118440922","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
