"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21"
1026,"CDKN1A","hsa-mir-424-5p","hsa-mir-106a-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-106a-5p","hsa-mir-424-5p",1026,16.6128909919967,17.4313495037022,"18.270320166112","18.2021002272102","19.3493519266245","17.7501609629501","17.5685003354435","16.6856533909492","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-548e-3p","hsa-mir-1304-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-1304-5p","hsa-mir-548e-3p",1026,16.936649928641,19.0437389417894,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1063,"CENPF","hsa-mir-194-5p","hsa-mir-125b-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-125b-5p","hsa-mir-194-5p",1063,14.0120163414432,14.7298464699271,"12.9995608343274","14.239537969556","15.3438119597778","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1191,"CLU","hsa-mir-424-5p","hsa-mir-20a-5p",0.005,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-20a-5p","hsa-mir-424-5p",1191,16.3370645452531,16.6854667090945,"19.7309721078118","17.1719509469134","18.6423353743438","17.2156056735547","14.0342624137966","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1316,"KLF6","hsa-mir-10b-3p","hsa-mir-511-5p",0.0045,TRUE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-511-5p","hsa-mir-10b-3p",1316,17.6588886905535,18.145380077273,"17.3253202771185","17.3363469476296","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1373,"CPS1","hsa-mir-142-3p","hsa-mir-21-5p",0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase","hsa-mir-21-5p","hsa-mir-142-3p",1373,17.5261939340461,10.5549553799669,"10.8559988159601","9.33635160074567","10.8701357690196","12.2298510243664","10.8833094059625","13.5313381625535","11.0497931488224","9.988900382864","7.96846242425667","11.15043607206","9.41821036111167","""""","""""","""""","""""","""""",""""""
1408,"CRY2","hsa-let-7b-5p","hsa-mir-10b-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-10b-5p","hsa-let-7b-5p",1408,17.1448503512968,17.8105999635004,"16.8684198331033","16.1368248472115","17.1540398796786","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1408,"CRY2","hsa-mir-20a-5p","hsa-mir-10a-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase","hsa-mir-10a-5p","hsa-mir-20a-5p",1408,17.8754941447915,17.293358235483,"17.749458004953","17.7143395302365","16.1368248472115","18.1368412395638","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1605,"DAG1","hsa-mir-10a-5p","hsa-mir-190a-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-190a-5p","hsa-mir-10a-5p",1605,18.8710362463851,19.583764482948,"18.7464686836656","18.8014933424624","19.2003915155029","18.700038452833","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1783,"DYNC1LI2","hsa-let-7b-5p","hsa-let-7c-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-let-7c-5p","hsa-let-7b-5p",1783,17.7965919898675,17.4700414636401,"17.53857931639","17.1975058505234","17.9500168349856","17.6356792339517","18.2107373239127","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1808,"DPYSL2","hsa-mir-30e-5p","hsa-mir-21-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30816227'>PubMedLink</a>","tarbase","tarbase","hsa-mir-21-5p","hsa-mir-30e-5p",1808,16.1784963994877,15.642137579687,"18.3968602550497","17.6767183418246","15.6323575130661","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1829,"DSG2","hsa-mir-335-3p","hsa-mir-129-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-129-5p","hsa-mir-335-3p",1829,15.0268692965814,15.2339935823126,"13.361220280683","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1857,"DVL3","hsa-mir-10a-5p","hsa-mir-497-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-497-5p","hsa-mir-10a-5p",1857,18.5325956796676,19.2185425839247,"19.181199115028","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
