"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46"
2932,"GSK3B","hsa-mir-411-3p","hsa-mir-424-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","tarbase",0.813967204405885,0.0971445903248991,0.0952209190976666,-0.526844940831158,0.94707580556922,-0.0131809333855346,"hsa-mir-424-5p","hsa-mir-411-3p",2932,17.1374840570837,16.7639478324397,"16.6531525093207","17.7862833757172","16.9304898411522","17.2924153632931","17.8352966570963","17.6898301637063","18.2168736971246","17.0550252513616","17.0215462071235","16.7406949381051","17.1214489725915","16.8556220741657","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-424-5p","hsa-mir-410-3p",0.0025,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","mirtarbase",0.0952209190976666,-0.526844940831158,0.176058073217224,0.393341495138207,0.94707580556922,-0.0131809333855346,"hsa-mir-410-3p","hsa-mir-424-5p",2932,17.1374840570837,16.7639478324397,"16.6531525093207","17.7862833757172","16.9304898411522","17.2924153632931","17.8352966570963","17.6898301637063","17.0550252513616","17.0215462071235","17.2992838897264","16.7406949381051","17.3460399410451","17.2661158819505","17.1214489725915","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2932,"GSK3B","hsa-mir-99a-3p","hsa-mir-411-3p",0.001,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>","tarbase","tarbase",0.00018410088017964,-1.90906361567803,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346,"hsa-mir-411-3p","hsa-mir-99a-3p",2932,16.6868890725331,17.7331960574329,"16.9304898411522","18.6419709127539","16.6835728037938","17.3952084214791","16.9598833145697","17.1214489725915","18.42017169737","17.3448535637748","16.8556220741657","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3206,"HOXA10","hsa-mir-873-5p","hsa-mir-494-3p",0.004,TRUE,NA,NA,NA,"tarbase","mirtarbase",0.00277600686250839,3.64438129616594,0.546419681944936,-0.229260705923761,0.0518601742644244,-0.42122528349816,"hsa-mir-494-3p","hsa-mir-873-5p",3206,11.1030770063873,12.8072146423492,"9.22174169718206","9.56464170760176","8.97342381373474","9.85703666148673","13.3138043549427","12.909859375114","9.55154795498404","11.7847045263151","9.85203661612483","10.6075610347657","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3312,"HSPA8","hsa-mir-301b-3p","hsa-mir-32-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00922284515750276,3.28020294049705,0.0340399562878437,-1.42455433435913,0.990607532587243,0.00209437599819918,"hsa-mir-32-3p","hsa-mir-301b-3p",3312,21.8581794557258,20.8040938925234,"20.0036452496737","21.6385678305582","18.9407350577208","21.7407591796372","19.1368962343395","22.0788019910134","22.8620563425214","23.0399466114394","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3696,"ITGB8","hsa-mir-182-5p","hsa-mir-148a-3p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.361808731279103,-0.23139035097995,0.25468892977419,-0.247099703884615,0.506557650178867,0.147382513008298,"hsa-mir-148a-3p","hsa-mir-182-5p",3696,15.7514912805143,14.4925277997988,"13.8136656567644","14.1277349154635","14.6959023263561","13.7153931335646","14.9921450830261","14.5347242804396","12.7394888190145","14.5104511879361","15.3949570798913","16.24308177406","12.8490270118249","12.3046481968996","15.4636303767334","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4609,"MYC","hsa-mir-7-5p","hsa-mir-138-5p",0.005,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/21685915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>","mirtarbase","tarbase",0.00076634985750306,1.1833336571532,0.00305635781057354,1.57230705262798,0.311770033445443,-0.194393416260303,"hsa-mir-138-5p","hsa-mir-7-5p",4609,14.3281204433342,15.7547715016096,"17.0796625430486","14.4072788645014","15.0719607583286","18.3944828078394","18.6542641768858","16.3093201676643","16.6076143297699","17.1527730580424","15.6638278200379","19.6610714485429","15.335848410635","15.7972338447323","15.6754439408177","17.0541211690721","16.5162085061587","15.120229261819","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4685,"NCAM2","hsa-mir-182-5p","hsa-mir-96-5p",0.009,FALSE,NA,NA,NA,"tarbase","tarbase",0.361808731279103,-0.23139035097995,0.151321344137644,-0.917610106783484,0.95535183730267,0.0113446598606063,"hsa-mir-96-5p","hsa-mir-182-5p",4685,16.7566340885447,14.959278747857,"16.7881804279759","17.4084404936821","17.2085162669561","17.8238896274737","14.6297559427416","15.1382578475387","11.6873940748124","16.1117562151329","14.0932284743655","17.3550743209778","15.075642627198","16.3618247893163","18.6270281649335","15.9114585000268","16.4095034060508","15.1415530972682","15.8574408418391","17.1748079559642","18.2628094264183","18.6874721185598","17.797063440049","18.2438188177697","14.1549238194413","17.3396961623493","16.27798767351","16.6754114106749","17.087553469361","18.9901499001284","18.3531885844153","15.4761193698021","19.0263022204905","17.0380465776953","17.6544929336824","11.9232443226071","18.0330619858104","15.6419714340805","""""","""""","""""","""""","""""",""""""
4685,"NCAM2","hsa-mir-21-3p","hsa-mir-182-5p",0,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.578586216813254,-0.166889728203755,0.361808731279103,-0.23139035097995,0.95535183730267,0.0113446598606063,"hsa-mir-182-5p","hsa-mir-21-3p",4685,14.959278747857,17.4084404936821,"17.2085162669561","14.6297559427416","17.4076938955256","15.075642627198","15.1415530972682","14.0072971703869","17.1748079559642","18.2438188177697","14.1549238194413","17.3396961623493","16.27798767351","16.7641487730365","18.9901499001284","18.3531885844153","15.6419714340805","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4756,"NEO1","hsa-mir-542-3p","hsa-mir-181c-5p",0.003,FALSE,NA,NA,NA,"tarbase","tarbase",0.0931517876213775,-0.479297901675178,0.0961705067576697,0.573415148512542,0.896999309423553,0.0263975770609301,"hsa-mir-181c-5p","hsa-mir-542-3p",4756,16.2554282076851,15.9726419959594,"16.2338480476568","16.6019454683925","17.2026964575855","16.0816538380141","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
