"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11"
7049,"TGFBR3","hsa-mir-193b-3p","hsa-mir-582-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29725386'>PubMedLink</a>","mirtarbase tarbase","mirtarbase",0.247460833800082,-0.23754434132192,0.184742290101971,-0.377864244611054,0.336585074329285,-0.125720094300336,"hsa-mir-582-5p","hsa-mir-193b-3p",7049,16.0242341951339,16.4810027711237,"16.8134030612656","16.6829111614631","14.9655052246697","15.9143110474168","""""","""""",""""""
7094,"TLN1","hsa-mir-338-3p","hsa-mir-760",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.379366503026289,0.154302290317191,0.162826321047168,0.870167301100031,0.962857233384228,0.00563721799160196,"hsa-mir-760","hsa-mir-338-3p",7094,19.6867083235066,19.9564232647541,"20.1624315147947","20.0349463070668","""""","""""","""""","""""",""""""
7163,"TPD52","hsa-mir-139-5p","hsa-mir-146b-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31661142'>PubMedLink</a>","mirtarbase","tarbase",0.00185470694674311,-0.606128351485674,0.494464417430927,-0.118558088074896,0.77195420197844,0.0370252467335892,"hsa-mir-146b-5p","hsa-mir-139-5p",7163,17.8770715384403,19.7038279158336,"17.4467433364881","19.1745626649129","17.2896899439965","19.5451861411407","""""","""""",""""""
7163,"TPD52","hsa-mir-146b-5p","hsa-mir-146a-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/31661142'>PubMedLink</a>","tarbase","tarbase",0.494464417430927,-0.118558088074896,0.946025376993405,-0.0139163724995265,0.77195420197844,0.0370252467335892,"hsa-mir-146a-5p","hsa-mir-146b-5p",7163,19.7038279158336,17.5645040980833,"19.1745626649129","17.045068279635","17.2896899439965","19.5451861411407","""""","""""",""""""
7381,"UQCRB","hsa-mir-584-5p","hsa-mir-411-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.832603045155641,0.047244626886493,0.549888347789824,-0.172990742170506,0.95213086482066,-0.00736621309178719,"hsa-mir-411-5p","hsa-mir-584-5p",7381,18.758888537866,19.9194962334852,"""""","""""","""""","""""","""""","""""",""""""
7436,"VLDLR","hsa-mir-376c-3p","hsa-mir-493-3p",0.008,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.935087600594991,-0.022571486059579,0.30462303472185,0.33132274240934,0.357481011351898,0.13317839104584,"hsa-mir-493-3p","hsa-mir-376c-3p",7436,16.3562675318189,12.1646928243871,"16.5804201181779","16.1504042547218","16.878094882624","15.5615174243338","15.4274270439523","""""",""""""
7975,"MAFK","hsa-mir-532-3p","hsa-mir-188-3p",0.002,TRUE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.90146660630748,-0.0291035532170092,0.0879764219684743,-0.759395928837808,0.810603217522324,0.0303030085911538,"hsa-mir-188-3p","hsa-mir-532-3p",7975,18.4977649346478,18.0908447093715,"18.967546932741","""""","""""","""""","""""","""""",""""""
8365,"H4C8","hsa-mir-9-5p","hsa-mir-1228-5p",0.007,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.246941415978906,0.229046684199239,0.0181688406966842,-1.20377683768206,0.00031962657265562,0.515619610503777,"hsa-mir-1228-5p","hsa-mir-9-5p",8365,20.4033624240181,17.2978968549205,"17.0373651512754","16.9676499147897","""""","""""","""""","""""",""""""
8829,"NRP1","hsa-mir-326","hsa-mir-9-5p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28618167'>PubMedLink</a>","tarbase","mirtarbase",0.226618454967352,-0.425326946025293,0.246941415978906,0.229046684199239,0.861386113146734,0.0221509793977674,"hsa-mir-9-5p","hsa-mir-326",8829,19.4591731566314,17.5348488488756,"18.5583386844773","17.5772423548725","""""","""""","""""","""""",""""""
9411,"ARHGAP29","hsa-mir-192-5p","hsa-mir-192-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",0.157967403548531,-0.19618679903471,0.0176799445372592,-0.486014244234658,0.961715413430175,-0.00624573320157149,"hsa-mir-192-3p","hsa-mir-192-5p",9411,16.7951418290908,18.1297469223551,"14.1404251012312","18.1388118777672","17.7046234853091","16.9955606592268","17.6431779004002","17.3766551185507",""""""
