"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51"
54897,"CASZ1","hsa-mir-100-5p","hsa-mir-326",5e-04,TRUE,NA,NA,NA,"tarbase","tarbase",0.960172410794639,-0.00281405365908129,0.975502665547562,0.00353835257173612,3.70758515894013e-06,-0.218746897601455,"hsa-mir-326","hsa-mir-100-5p",54897,11.5570272665846,11.6714177341806,12.0287515298097,12.1557418945347,"12.8572600378107","11.7135006356909","12.5595625089909","12.9743402168463","13.428894514397","11.7762643549069","12.6398591226536","11.5361197730952","11.6131126097086","12.3337784881626","12.6525808687937","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
54910,"SEMA4C","hsa-mir-222-5p","hsa-mir-362-3p",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26647877'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.0887430900364403,0.229949125586454,0.00049475214537473,-0.485637275465429,0.150123671272542,0.062840560695563,"hsa-mir-362-3p","hsa-mir-222-5p",54910,16.8777045293082,15.3242579993984,17.6373722927544,16.8810648906512,"16.1721520855746","15.9413462592119","15.7884203116881","17.0417057347009","16.4817380762565","16.9740980413249","15.7965878272115","17.5066686882016","16.5795025981816","17.9255993997707","16.5298891602365","17.4153888671467","16.5757381111964","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
64393,"ZMAT3","hsa-mir-340-5p","hsa-mir-616-5p",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.00010043065094235,0.397649161187248,0.00048284603259485,0.510832097121789,0.780729287282547,-0.0121119747997452,"hsa-mir-616-5p","hsa-mir-340-5p",64393,17.4302750387722,17.3181520017517,16.4185868030983,16.3854782944786,"16.7272851588709","16.8971929005943","16.4997457532353","16.7934855904419","16.114155048692","15.9954615546136","16.1528059062971","16.2811916631391","16.8921627913993","16.2861044035098","15.750258689975","18.470695969358","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
64841,"GNPNAT1","hsa-mir-155-5p","hsa-mir-455-3p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",5.40542274160442e-18,0.638657700761372,0.859814537821747,0.011398467733473,0.0965280434797321,-0.0721155101529686,"hsa-mir-455-3p","hsa-mir-155-5p",64841,15.5802982039856,16.1305334408196,16.158002771296,15.8963814408917,"15.3356916359652","15.6799666660836","15.7521429121601","15.8917444502339","15.8024061596094","15.3559622919457","16.4532656798461","16.7742710776438","16.7642240639098","16.4474652458667","16.6467382566472","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
80315,"CPEB4","hsa-mir-181d-5p","hsa-mir-155-5p",0.001,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.0004210894222551,0.38249037243054,5.40542274160442e-18,0.638657700761372,0.0303742766196483,-0.0914609812747644,"hsa-mir-155-5p","hsa-mir-181d-5p",80315,17.5507216746818,17.9233885944271,17.1481975256667,16.8112056360194,"16.7688659743287","17.5698486628677","16.0991986195664","17.3117933222504","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
84959,"UBASH3B","hsa-let-7f-5p","hsa-mir-192-5p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27840968'>PubMedLink</a>","tarbase","mirtarbase tarbase",0.566709554353403,-0.0300931756069192,0.512163534243556,0.0356660401403946,0.433938483992497,0.0371516392048104,"hsa-mir-192-5p","hsa-let-7f-5p",84959,14.5901146174497,12.5320953949705,14.0121577469283,15.0509906784397,"14.1160454734099","13.2462703977839","14.1517490385712","14.6004401110044","13.9047021915528","14.451315381431","14.0456994379127","14.2866067118375","14.516537259934","14.2607278062194","13.9669372850227","14.7878809597318","14.5852017785365","14.9970120874666","15.4697686177762","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
117177,"RAB3IP","hsa-mir-142-3p","hsa-mir-493-5p",0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26893725'>PubMedLink</a>",NA,NA,"tarbase","mirtarbase",3.20092438318819e-05,0.255171116021858,1.37928805826532e-05,-0.550044862964965,0.194729985726278,-0.0563424033145073,"hsa-mir-493-5p","hsa-mir-142-3p",117177,16.5830907818224,14.7271822853313,14.9500543182397,14.829281077607,"15.8420254124816","17.0846098493512","15.2358610655908","17.2902330665509","16.5694199127654","17.1895120614303","15.8507857273772","15.4311503272424","16.3233350236349","15.346908301895","14.5355473197114","15.6764994552749","14.3227604461072","16.1344429203498","17.3698812378733","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
123041,"SLC24A4","hsa-mir-183-5p","hsa-mir-455-3p",0.0075,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.00140551371208743,-0.194650790760886,0.859814537821747,0.011398467733473,3.58682069799978e-05,0.23262524222508,"hsa-mir-455-3p","hsa-mir-183-5p",123041,11.7841917001733,10.7782802203783,10.4611522489313,9.48002971510298,"10.752351605052","10.9163273899751","11.3751864752763","10.748798038256","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
150094,"SIK1","hsa-mir-629-3p","hsa-mir-616-3p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase",1.29193975478257e-05,0.601301751680986,0.00327882754865852,0.553881989041478,0.189747799903273,-0.0697357330442393,"hsa-mir-616-3p","hsa-mir-629-3p",150094,11.3874465428107,10.3475501451522,11.617336238186,14.9741950528862,"11.7464349949069","14.6708923955613","9.73549125376799","8.2143305880483","13.6831761662049","14.7601248432094","13.318478228985","12.3155290569559","-2","10.8496573863968","12.0701089180537","9.74508639035081","10.6259633680623","6.42628289737397","13.9853889622736","15.8504512131872","14.5512933117952","11.4411090323999","13.2066862150879","11.5630492073544","16.1627338674807","14.9739644264238","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
151888,"BTLA","hsa-mir-143-5p","hsa-mir-455-3p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/27234378'>PubMedLink</a>","mirtarbase","mirtarbase",0.495593473423212,0.0519438396454713,0.859814537821747,0.011398467733473,0.00088002139898515,0.176535624197128,"hsa-mir-455-3p","hsa-mir-143-5p",151888,11.3901749988061,10.3239684673856,11.4016804941955,14.377471892329,"12.0959277423359","10.2104724231384","11.8763481224515","13.0178287867951","9.3119183941411","10.0908192343661","9.17406111409241","9.5071969497162","10.5254944384147","13.5737184168383","13.8010448785238","9.90888239781414","10.7197912610723","10.9579320170367","10.7741510186798","12.6932037345883","12.6202266123932","11.8330637106886","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
285268,"ZNF621","hsa-mir-452-5p","hsa-mir-134-5p",0.006,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30419914'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","mirtarbase",1.76601226675337e-10,0.564589603227695,0.0026705271280448,-0.225346522561786,0.794402266661111,-0.0117112078811938,"hsa-mir-134-5p","hsa-mir-452-5p",285268,15.7921458003316,15.1036688702449,15.4790721855969,15.2588870740152,"15.7314350918038","15.5642993083019","14.8361773522636","15.7768819671747","15.2841479642801","15.7695414613217","15.3666096222977","15.1882312495005","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
401474,"SAMD12","hsa-mir-539-5p","hsa-mir-381-3p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase",6.93373994527132e-09,-0.724400330192993,0.00842066011523623,-0.27853470180118,8.1445384031928e-07,-0.227347738549433,"hsa-mir-381-3p","hsa-mir-539-5p",401474,14.9297184797197,13.6164413384324,13.6327059588529,12.9809814705475,"12.6912784545005","13.6913955246302","13.3066376919432","15.1399169984244","13.5289178396807","13.6904872358137","14.472987393282","14.0408640087686","14.2897517911905","12.9881865506514","13.3782863599604","9.46752677172945","14.5186616650044","14.6612751347018","12.4707212026021","13.3270909400469","10.2006096097698","14.1534548687043","14.2487433214195","14.4474097870819","11.5141785465833","14.0150983288033","13.8478831528613","9.38832185641284","12.929347994186","15.2205186486538","12.300924673752","13.4811893920413","13.7063506017176","14.2788568237786","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
728116,"ZBTB8B","hsa-mir-192-5p","hsa-mir-214-3p",0,TRUE,NA,NA,NA,"mirtarbase","mirtarbase",0.512163534243556,0.0356660401403946,2.10596113760834e-12,-0.917487845066717,3.62411497969659e-11,-0.534031733257453,"hsa-mir-214-3p","hsa-mir-192-5p",728116,6.37393129267101,-2,5.18099494355388,6.44538623901514,"6.93873754556613","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
728116,"ZBTB8B","hsa-mir-194-3p","hsa-mir-192-5p",0.004,TRUE,NA,NA,NA,"mirtarbase","mirtarbase",0.509332188115095,-0.063703195660513,0.512163534243556,0.0356660401403946,3.62411497969659e-11,-0.534031733257453,"hsa-mir-192-5p","hsa-mir-194-3p",728116,6.37393129267101,-2,7.35126484381103,4.61742993411443,"8.39353903871065","7.11221598749565","4.82225477792441","4.80855563167553","-2","-2","4.76020865980568","-2","5.3713788436724","5.18099494355388","7.71999979798849","4.69053152276017","6.63766674847557","6.50099785525392","8.14139664766724","5.159789157693","-2","5.45559762475237","6.51974298936121","-2","5.00825465662927","-2","7.38622274787785","5.11814451747522","4.75296208835343","4.97176683898211","7.16207770676048","4.12221317653199","5.8428683230802","5.47256726871296","5.84973234555361","-2","-2","5.48624880578016","6.02161235228697","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
