"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
93,"ACVR2B","hsa-mir-3127-5p","hsa-mir-203a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-203a-3p","hsa-mir-3127-5p",93,15.2153422784926,15.7737093916167,"15.3187812000499","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
93,"ACVR2B","hsa-mir-497-5p","hsa-mir-335-5p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-335-5p","hsa-mir-497-5p",93,15.7695193527474,16.1733305399674,"15.0628742825695","14.5949344589816","15.7391451036533","14.887450963365","14.2627943270267","15.6558255472938","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
214,"ALCAM","hsa-mir-98-5p","hsa-mir-508-5p",0.0015,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-508-5p","hsa-mir-98-5p",214,17.4066955312666,15.8029471096819,"17.4346230057491","18.6984669419646","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
317,"APAF1","hsa-mir-452-5p","hsa-mir-491-5p",0,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-491-5p","hsa-mir-452-5p",317,14.4969420819866,16.8925539931755,"14.8071759599398","16.170653009085","16.3582706737007","16.1813809035742","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
444,"ASPH","hsa-mir-33a-5p","hsa-mir-106a-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-106a-5p","hsa-mir-33a-5p",444,19.4501475202702,19.9331957762437,"20.0415565984748","19.1756612808365","18.667316510587","20.1952384567735","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
473,"RERE","hsa-mir-1224-5p","hsa-mir-182-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-182-5p","hsa-mir-1224-5p",473,17.6689071992477,18.8313838463288,"18.627387167824","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
558,"AXL","hsa-mir-541-3p","hsa-mir-485-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-485-5p","hsa-mir-541-3p",558,16.1622468273191,15.7486983836146,"17.4899291382896","17.0131880768346","17.2948002918352","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
567,"B2M","hsa-mir-195-3p","hsa-mir-411-3p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-411-3p","hsa-mir-195-3p",567,24.7138631609672,24.2571570590523,"25.2637834917827","23.9771869067541","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-380-5p","hsa-mir-95-3p",0.0055,FALSE,NA,NA,"NA
NA
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12097293'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16954163'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20621999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24390213'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095038'>PubMedLink</a>","mirtarbase","mirtarbase tarbase","hsa-mir-95-3p","hsa-mir-380-5p",595,19.8989724849981,19.2623564558621,"20.2243302934761","19.7260240959664","20.0303634280635","18.7318653925284","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
599,"BCL2L2","hsa-mir-550a-5p","hsa-mir-21-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-21-3p","hsa-mir-550a-5p",599,18.8711856172828,19.8473957875018,"19.5048999461367","19.1998221509104","19.0877203239091","19.5211638367326","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
