"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22"
27,"ABL2","hsa-mir-95-3p","hsa-mir-200a-3p",0.003,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/25379720'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31825826'>PubMedLink</a>","tarbase","tarbase","hsa-mir-200a-3p","hsa-mir-95-3p",27,16.596980063364,17.4002088692357,"17.3462966748322","16.9509040921363","16.2445599621263","15.5719389241749","16.4380624835565","17.0309468903368","18.4342852430775","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
125,"ADH1B","hsa-mir-34b-3p","hsa-mir-223-5p",0.0035,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29615147'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/28236470'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29808834'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-223-5p","hsa-mir-34b-3p",125,21.6676818337434,19.5401628737225,"15.8597894532893","15.110194196475","18.1858998302165","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
330,"BIRC3","hsa-mir-196b-5p","hsa-mir-582-5p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30536321'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31170211'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12384799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12651874'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15138717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20959404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22046421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26291056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31766357'>PubMedLink</a>","tarbase","tarbase","hsa-mir-582-5p","hsa-mir-196b-5p",330,18.7282153628979,19.5376528062601,"17.8638002620856","18.5834474286968","18.5100725786807","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
571,"BACH1","hsa-mir-188-3p","hsa-mir-497-5p",0.0055,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31257023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257027'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257029'>PubMedLink</a>","mirtarbase","tarbase","hsa-mir-497-5p","hsa-mir-188-3p",571,17.7198624814305,17.277332079826,"17.9489297323201","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-542-3p","hsa-mir-20b-5p",0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28866101'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31289482'>PubMedLink</a>","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","tarbase","tarbase","hsa-mir-20b-5p","hsa-mir-542-3p",894,18.8827777217331,18.959980345689,"17.8678039041487","17.9954934448895","18.651321344245","18.9903511263271","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-96-5p","hsa-mir-582-3p",0.0025,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-582-3p","hsa-mir-96-5p",894,18.8827777217331,18.959980345689,"20.073866484481","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1073,"CFL2","hsa-mir-940","hsa-mir-200a-3p",0.0085,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31258781'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase","hsa-mir-200a-3p","hsa-mir-940",1073,17.093085328157,17.7543778638851,"17.7478663488384","17.9578191111671","16.1135479575933","17.3163272873403","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1277,"COL1A1","hsa-mir-378a-5p","hsa-mir-539-5p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29568927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30604926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30732676'>PubMedLink</a>","tarbase","tarbase","hsa-mir-539-5p","hsa-mir-378a-5p",1277,24.3887549934008,23.9138410190345,"23.7970018551036","24.974987254758","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1289,"COL5A1","hsa-mir-9-5p","hsa-mir-32-3p",0.008,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29239816'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29702185'>PubMedLink</a>","tarbase","tarbase","hsa-mir-32-3p","hsa-mir-9-5p",1289,24.2330467525852,19.8538800338602,"21.8137927012742","22.1976375221186","21.4527404540885","22.0492004257864","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1300,"COL10A1","hsa-mir-335-5p","hsa-mir-29c-3p",0.0075,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/19949890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30442874'>PubMedLink</a>","mirtarbase tarbase","mirtarbase","hsa-mir-29c-3p","hsa-mir-335-5p",1300,17.399821057608,17.1978202859982,"17.1657460452423","17.1641405555535","17.5952932133474","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
