"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16"
2308,"FOXO1","hsa-mir-223-3p","hsa-mir-9-5p",0,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30668544'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22213032'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28582447'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29545479'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.698828788938755,-0.0554750997040248,0.00487172866555441,-0.311555474503904,0.369035135224462,0.0727631567038851,"hsa-mir-9-5p","hsa-mir-223-3p",2308,19.0494038009599,18.8739200845844,"18.7386359766692","19.0287335091303","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2803,"GOLGA4","hsa-mir-21-5p","hsa-mir-511-5p",0.006,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","tarbase",0.229274628179526,0.103469565459872,0.255012865235525,-0.260028094385711,0.319729771810464,0.0802643878876221,"hsa-mir-511-5p","hsa-mir-21-5p",2803,18.9466658752508,19.2161190295607,"18.6011923361371","19.1157443736681","17.55566684003","19.1274756223606","""""","""""","""""","""""","""""","""""","""""",""""""
3068,"HDGF","hsa-mir-501-5p","hsa-mir-892a",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",0.544589630375091,-0.111731717816035,3.56525410442635e-18,2.44829980125367,0.297487010242202,-0.0799704680620044,"hsa-mir-892a","hsa-mir-501-5p",3068,19.170311739556,21.9639193566296,"20.8828637302841","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3949,"LDLR","hsa-mir-106a-5p","hsa-mir-34a-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29029037'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8555255'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.0292168360672743,-0.369485019756277,0.440730082467716,0.102563025348855,0.294435573770962,0.0857572249713044,"hsa-mir-34a-5p","hsa-mir-106a-5p",3949,18.2552999361091,18.9061903187275,"18.450261275831","18.0558088419889","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3988,"LIPA","hsa-mir-570-3p","hsa-mir-141-5p",0.0095,FALSE,NA,NA,NA,"tarbase","tarbase",0.225102164603993,0.432684153846797,0.00112279725588573,0.400269372156654,0.533931213389669,-0.0496369039068997,"hsa-mir-141-5p","hsa-mir-570-3p",3988,18.3104803160099,19.3961059038544,"17.9561006030476","17.0231872666395","19.0074197296055","19.0120672188858","""""","""""","""""","""""","""""","""""","""""",""""""
4012,"LNPEP","hsa-mir-146a-5p","hsa-mir-379-5p",0.0095,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17692401'>PubMedLink</a>","tarbase","mirtarbase",0.250651451189555,-0.182061591378815,0.00177120950711642,-0.390974846179124,0.563895815022164,0.0474550113451055,"hsa-mir-379-5p","hsa-mir-146a-5p",4012,17.5289175486834,18.3447165719585,"18.0299985889491","18.3279563080491","18.4385756826814","17.89897302875","""""","""""","""""","""""","""""","""""","""""",""""""
4012,"LNPEP","hsa-mir-511-5p","hsa-mir-379-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/17692401'>PubMedLink</a>","tarbase","mirtarbase",0.255012865235525,-0.260028094385711,0.00177120950711642,-0.390974846179124,0.563895815022164,0.0474550113451055,"hsa-mir-379-5p","hsa-mir-511-5p",4012,17.5289175486834,18.2990518450485,"17.4297363361804","18.0299985889491","18.3279563080491","17.7575732367742","17.97265670432","17.89897302875","""""","""""","""""","""""","""""",""""""
4204,"MECP2","hsa-mir-214-3p","hsa-mir-223-3p",0.0045,TRUE,NA,NA,NA,"tarbase","tarbase",7.25435886366704e-12,-1.81537693564069,0.698828788938755,-0.0554750997040248,0.221451581088744,0.101096464654063,"hsa-mir-223-3p","hsa-mir-214-3p",4204,17.6300800514509,18.2243937391329,"17.3165280246965","18.0084473736139","18.2469014703224","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4249,"MGAT5","hsa-mir-409-5p","hsa-mir-362-3p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase",2.49545854108941e-05,-1.03176279330926,0.643841291244235,-0.0912522268996101,0.680727391960521,-0.0331537892152366,"hsa-mir-362-3p","hsa-mir-409-5p",4249,17.9357734323286,17.9722762030433,"18.4514181660226","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4281,"MID1","hsa-mir-33a-5p","hsa-mir-149-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.799717732024968,0.0383984017586964,0.00430927656019568,-0.516244456019777,0.0448935374738654,-0.175837844584578,"hsa-mir-149-5p","hsa-mir-33a-5p",4281,14.9161889537666,16.8392380921048,"14.5010414692053","16.0413359216177","14.3486187123678","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4660,"PPP1R12B","hsa-mir-106a-5p","hsa-mir-34a-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","tarbase",0.0292168360672743,-0.369485019756277,0.440730082467716,0.102563025348855,0.244276127634786,0.0974020897036671,"hsa-mir-34a-5p","hsa-mir-106a-5p",4660,18.7938294354303,18.3124403036013,"17.5682448974328","16.4816993312525","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4800,"NFYA","hsa-mir-502-5p","hsa-mir-203a-3p",0.005,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.857601951841672,-0.0454444085501366,0.190509641640438,-0.139902045805269,0.545175316623245,-0.0499831434379819,"hsa-mir-203a-3p","hsa-mir-502-5p",4800,17.7410384785524,17.3128568021591,"18.6059375477044","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5324,"PLAG1","hsa-mir-204-5p","hsa-mir-106a-5p",0,TRUE,NA,"NA NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18216146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31044493'>PubMedLink</a>","mirtarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.0292168360672743,-0.369485019756277,0.18892707017756,0.118461502429697,"hsa-mir-106a-5p","hsa-mir-204-5p",5324,15.5688386781709,15.5352239442365,"16.3467155267312","15.97101508678","15.1808849381988","16.1915537723485","""""","""""","""""","""""","""""","""""","""""",""""""
5324,"PLAG1","hsa-mir-204-5p","hsa-mir-20b-5p",0,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/18216146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31044493'>PubMedLink</a>","mirtarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.15270823885516,-0.208113811789293,0.18892707017756,0.118461502429697,"hsa-mir-20b-5p","hsa-mir-204-5p",5324,15.5688386781709,15.5352239442365,"16.3467155267312","15.1953767629512","15.97101508678","15.1808849381988","16.1915537723485","15.4346450059053","""""","""""","""""","""""","""""",""""""
5326,"PLAGL2","hsa-mir-501-5p","hsa-mir-502-5p",0.001,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","mirtarbase",0.544589630375091,-0.111731717816035,0.857601951841672,-0.0454444085501366,0.0129713472415231,0.206348581110664,"hsa-mir-502-5p","hsa-mir-501-5p",5326,18.3597745820705,18.1578792180932,"19.7941467372381","17.0611301444985","19.119519902341","19.2749949515551","17.135660485939","19.2065413887572","18.9798719038866","19.1662547693653","""""","""""","""""",""""""
5569,"PKIA","hsa-mir-654-3p","hsa-mir-106a-5p",0.0055,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>'>PubMedLink</a> NA",NA,"mirtarbase","tarbase",4.25415244200225e-06,-0.920777028026195,0.0292168360672743,-0.369485019756277,0.00792050086994489,0.219771565965984,"hsa-mir-106a-5p","hsa-mir-654-3p",5569,20.5682280483181,19.7913768678682,"17.601743030709","18.4438845092176","20.7493301709078","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5727,"PTCH1","hsa-mir-34a-5p","hsa-mir-369-3p",0.0035,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/12378516'>PubMedLink</a>","tarbase","tarbase",0.440730082467716,0.102563025348855,0.00147150561679276,-0.849689661669382,0.587798173626986,0.0474312768313483,"hsa-mir-369-3p","hsa-mir-34a-5p",5727,14.8987577504936,14.4930174820725,"16.9974092476898","16.816887807784","16.4265027685764","16.2688357195529","15.1472590389858","""""","""""","""""","""""","""""","""""",""""""
5795,"PTPRJ","hsa-mir-363-3p","hsa-mir-204-5p",0,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26893725'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","tarbase",0.0031598017131187,-0.482984128023688,1.66648719744921e-17,-1.27818300980535,0.0936921553253222,0.134466180388535,"hsa-mir-204-5p","hsa-mir-363-3p",5795,19.6572464850035,18.5776517652344,"19.3641276870484","19.4247932697914","19.3048692186","20.1883325963532","""""","""""","""""","""""","""""","""""","""""",""""""
5795,"PTPRJ","hsa-mir-363-3p","hsa-mir-501-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.0031598017131187,-0.482984128023688,0.544589630375091,-0.111731717816035,0.0936921553253222,0.134466180388535,"hsa-mir-501-5p","hsa-mir-363-3p",5795,18.3607709609672,19.3048692186,"19.982863714435","19.7211521547959","19.9334825093477","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5795,"PTPRJ","hsa-mir-592","hsa-mir-204-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.226025293337446,0.299431134465872,1.66648719744921e-17,-1.27818300980535,0.0936921553253222,0.134466180388535,"hsa-mir-204-5p","hsa-mir-592",5795,18.5776517652344,20.4718096445501,"19.2277317544022","19.6371575324835","20.1146254048295","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5795,"PTPRJ","hsa-mir-592","hsa-mir-501-5p",0.0025,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>'>PubMedLink</a>",NA,"mirtarbase","tarbase",0.226025293337446,0.299431134465872,0.544589630375091,-0.111731717816035,0.0936921553253222,0.134466180388535,"hsa-mir-501-5p","hsa-mir-592",5795,19.1235344003145,19.7211521547959,"19.8696243090326","19.9334825093477","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6197,"RPS6KA3","hsa-mir-106a-5p","hsa-mir-34a-5p",0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.0292168360672743,-0.369485019756277,0.440730082467716,0.102563025348855,0.520795322709358,0.0524117171550081,"hsa-mir-34a-5p","hsa-mir-106a-5p",6197,17.5755718980984,17.7099880600181,"18.5349246905051","18.1921784439633","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
7068,"THRB","hsa-mir-155-5p","hsa-mir-21-5p",0.007,TRUE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/1685475'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24849932'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29022645'>PubMedLink</a>","mirtarbase","tarbase",0.7913250259509,0.0384976324517198,0.229274628179526,0.103469565459872,0.36505912708576,0.0748767759842517,"hsa-mir-21-5p","hsa-mir-155-5p",7068,16.2229636914489,18.8680644495254,"17.307921013115","19.5659530202519","18.9035038952247","18.0350528846797","18.6524341931413","15.8588592787592","18.7712856519455","18.4928660267697","""""","""""","""""",""""""
7259,"TSPYL1","hsa-mir-142-3p","hsa-mir-212-3p",0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26893725'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","tarbase",0.1895109565555,0.146577698733406,0.00198920466897351,-0.676292879508713,0.967265650929967,-0.00313265442915019,"hsa-mir-212-3p","hsa-mir-142-3p",7259,20.6668966040025,20.53174593312,"20.0790959164326","20.8443329254897","19.6945061177426","19.8176425928742","""""","""""","""""","""""","""""","""""","""""",""""""
7259,"TSPYL1","hsa-mir-142-3p","hsa-mir-940",0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26893725'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","mirtarbase",0.1895109565555,0.146577698733406,0.711072562779607,-0.111543759616759,0.967265650929967,-0.00313265442915019,"hsa-mir-940","hsa-mir-142-3p",7259,20.4337809854799,20.4735813395894,"20.9817699287155","19.8176425928742","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
7436,"VLDLR","hsa-mir-196a-5p","hsa-mir-676-3p",0.0075,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0175405999889321,-0.278613691934985,0.0471709649759446,0.587912349575166,0.13966074979231,0.121195958630846,"hsa-mir-676-3p","hsa-mir-196a-5p",7436,18.9880857940534,18.7937071782846,"17.6034988754214","19.2481442444406","15.8765570333306","19.3363398840984","""""","""""","""""","""""","""""","""""","""""",""""""
7764,"ZNF217","hsa-mir-136-5p","hsa-mir-20b-3p",0.002,TRUE,NA,NA,NA,"tarbase","tarbase",4.3022546554082e-08,-1.02490185085411,7.78423798014275e-06,-1.08102864212742,0.267551812948183,0.089724091339986,"hsa-mir-20b-3p","hsa-mir-136-5p",7764,18.4183398576061,18.6546200435698,"17.8652751061615","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
7764,"ZNF217","hsa-mir-181c-3p","hsa-mir-20b-3p",0.001,TRUE,NA,NA,NA,"tarbase","tarbase",0.0114801545217115,-0.395506600326172,7.78423798014275e-06,-1.08102864212742,0.267551812948183,0.089724091339986,"hsa-mir-20b-3p","hsa-mir-181c-3p",7764,18.832665064512,18.5619881427834,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
7832,"BTG2","hsa-mir-3199","hsa-mir-296-5p",0.0055,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/14996721'>PubMedLink</a>","tarbase","tarbase",0.172320760510552,-0.446045614204492,0.0783235173119519,-0.481679894237308,0.0384815393067598,-0.156285807368366,"hsa-mir-296-5p","hsa-mir-3199",7832,20.4146448007436,19.9646625505963,"19.6396328256842","19.5555063276447","20.2833074864415","""""","""""","""""","""""","""""","""""","""""","""""",""""""
7982,"ST7","hsa-mir-34a-5p","hsa-mir-204-5p",0.0055,FALSE,NA,NA,NA,"tarbase","tarbase",0.440730082467716,0.102563025348855,1.66648719744921e-17,-1.27818300980535,0.0786241889888015,0.144045982076076,"hsa-mir-204-5p","hsa-mir-34a-5p",7982,18.4806493329586,18.4818210847763,"19.1153684781397","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
8085,"KMT2D","hsa-mir-34a-5p","hsa-mir-204-5p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30030490'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.440730082467716,0.102563025348855,1.66648719744921e-17,-1.27818300980535,0.234332949909153,0.09875772523518,"hsa-mir-204-5p","hsa-mir-34a-5p",8085,17.9125630912842,18.3628958806948,"17.8712885258496","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
8301,"PICALM","hsa-mir-204-5p","hsa-mir-501-3p",0,FALSE,NA,NA,NA,"tarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.776002826227632,-0.0379131767582298,0.310902586885105,0.0768386198649118,"hsa-mir-501-3p","hsa-mir-204-5p",8301,21.073329346244,20.2997082024447,"21.0186322680743","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9375,"TM9SF2","hsa-mir-615-3p","hsa-mir-214-3p",0.002,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/30018727'>PubMedLink</a>'>PubMedLink</a>",NA,"mirtarbase tarbase","tarbase",6.41009077260395e-06,-0.885647737838849,7.25435886366704e-12,-1.81537693564069,0.97871836028631,-0.00201727625040135,"hsa-mir-214-3p","hsa-mir-615-3p",9375,20.9819833506243,21.7071673125161,"19.8333690580848","21.2804147321999","21.4882967733091","20.378613641639","""""","""""","""""","""""","""""","""""","""""",""""""
9411,"ARHGAP29","hsa-mir-570-3p","hsa-mir-31-5p",5e-04,FALSE,NA,NA,NA,"tarbase","tarbase",0.225102164603993,0.432684153846797,0.00293851734271556,-0.750022168221357,0.0250242760111677,-0.186210239960039,"hsa-mir-31-5p","hsa-mir-570-3p",9411,17.1735249058141,15.976368871814,"16.5487016360022","16.1815640500008","16.512018906641","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9683,"N4BP1","hsa-mir-20b-5p","hsa-mir-34a-5p",0.0065,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",0.15270823885516,-0.208113811789293,0.440730082467716,0.102563025348855,0.317033100955703,0.0822969391561581,"hsa-mir-34a-5p","hsa-mir-20b-5p",9683,18.6256533663466,18.6585508849451,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9693,"RAPGEF2","hsa-mir-335-3p","hsa-mir-204-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase",5.70952823062131e-05,-0.654578605605378,1.66648719744921e-17,-1.27818300980535,0.164075713301618,0.114964802524698,"hsa-mir-204-5p","hsa-mir-335-3p",9693,18.2869977867998,18.5621565110466,"18.1821804033143","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9693,"RAPGEF2","hsa-mir-335-5p","hsa-mir-204-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase",9.14371672772996e-10,-1.35157373194338,1.66648719744921e-17,-1.27818300980535,0.164075713301618,0.114964802524698,"hsa-mir-204-5p","hsa-mir-335-5p",9693,18.6974115567393,18.8672241604337,"18.483820873118","18.5621565110466","18.1821804033143","19.2948613990155","""""","""""","""""","""""","""""","""""","""""",""""""
9709,"HERPUD1","hsa-mir-125b-5p","hsa-mir-142-5p",0.0065,FALSE,NA,"NA NA",NA,"tarbase","tarbase",0.19939002908266,0.135078442147528,0.322664005266957,0.164497875948685,0.409849390418156,0.0627371195116232,"hsa-mir-142-5p","hsa-mir-125b-5p",9709,21.2573943823012,21.1688974243998,"20.7896458766085","21.1125975479955","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
9728,"SECISBP2L","hsa-mir-335-5p","hsa-mir-409-3p",0.001,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","mirtarbase",9.14371672772996e-10,-1.35157373194338,0.0188066899255578,-0.512032718709365,0.25128948890443,0.0913461013376193,"hsa-mir-409-3p","hsa-mir-335-5p",9728,21.5755330765004,19.52508831095,"18.0541488534233","19.136943594732","19.6890581397753","19.2706425177078","""""","""""","""""","""""","""""","""""","""""",""""""
9736,"USP34","hsa-mir-203a-3p","hsa-mir-218-5p",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","mirtarbase tarbase",0.190509641640438,-0.139902045805269,7.5939039152046e-06,0.601585701615049,0.685934630508278,-0.0343567484010396,"hsa-mir-218-5p","hsa-mir-203a-3p",9736,15.40987924682,17.0889438054052,"16.4572701554587","17.6944584836823","16.9661096039124","15.9067544235362","""""","""""","""""","""""","""""","""""","""""",""""""
9736,"USP34","hsa-mir-34c-3p","hsa-mir-218-5p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.119583510414281,0.438489028574393,7.5939039152046e-06,0.601585701615049,0.685934630508278,-0.0343567484010396,"hsa-mir-218-5p","hsa-mir-34c-3p",9736,16.6468297018811,16.6278988700545,"17.0889438054052","16.4572701554587","16.490416291454","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10079,"ATP9A","hsa-mir-150-5p","hsa-mir-3615",5e-04,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>'>PubMedLink</a>",NA,"mirtarbase tarbase","mirtarbase",0.471989218013451,-0.0876976286870773,0.585899960885714,-0.139765213495442,0.433790476922134,0.062712070501351,"hsa-mir-3615","hsa-mir-150-5p",10079,20.0693455988347,18.6646454423466,"18.8054456722653","19.3094620115522","19.2084429208773","19.7914585929265","19.6340819501866","19.5623041450374","""""","""""","""""","""""","""""",""""""
10611,"PDLIM5","hsa-mir-455-5p","hsa-mir-501-3p",0.005,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","tarbase",2.85401692692002e-13,-1.27337575869427,0.776002826227632,-0.0379131767582298,0.782050224082392,0.0222061059838731,"hsa-mir-501-3p","hsa-mir-455-5p",10611,17.4041621765316,18.6309295209964,"18.1231680367081","18.8103880421242","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10642,"IGF2BP1","hsa-mir-204-5p","hsa-mir-3200-3p",0,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/26332146'>PubMedLink</a>","tarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.804702369295804,0.0649630978988862,5.3099153310592e-05,-0.413471086110152,"hsa-mir-3200-3p","hsa-mir-204-5p",10642,10.2896479312994,9.94860132041331,"11.3827944710549","10.7410751997657","10.8520800001786","""""","""""","""""","""""","""""","""""","""""","""""",""""""
10725,"NFAT5","hsa-mir-379-5p","hsa-mir-146a-5p",0.0055,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29072688'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","mirtarbase",0.00177120950711642,-0.390974846179124,0.250651451189555,-0.182061591378815,0.614366836469454,0.0417323635287829,"hsa-mir-146a-5p","hsa-mir-379-5p",10725,18.0203835692728,17.5142615498826,"17.6048177378732","17.4864391954969","17.4610039952107","17.4468507772333","""""","""""","""""","""""","""""","""""","""""",""""""
10787,"NCKAP1","hsa-mir-218-5p","hsa-mir-34c-3p",0.009,FALSE,NA,NA,NA,"tarbase","mirtarbase",7.5939039152046e-06,0.601585701615049,0.119583510414281,0.438489028574393,0.795293991408593,-0.0211499967149231,"hsa-mir-34c-3p","hsa-mir-218-5p",10787,17.9991958831314,18.2203531101473,"18.4602926894374","17.9582364549579","17.2545490553654","""""","""""","""""","""""","""""","""""","""""","""""",""""""
11214,"AKAP13","hsa-mir-204-5p","hsa-let-7f-2-3p",0.0095,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22138691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22138691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22138691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22138691'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22138691'>PubMedLink</a>","mirtarbase","tarbase",1.66648719744921e-17,-1.27818300980535,0.809290024493884,-0.0926514727661976,0.332242666201509,0.0808853901726072,"hsa-let-7f-2-3p","hsa-mir-204-5p",11214,17.6569230046729,17.876418061749,"17.6130900515357","17.3136815627884","17.5492335280493","17.4079237865933","""""","""""","""""","""""","""""","""""","""""",""""""
11215,"AKAP11","hsa-mir-16-2-3p","hsa-mir-424-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.00951188672431251,0.599285035372744,0.786462490125794,0.0321708126732386,0.756033275978389,-0.0256755110418656,"hsa-mir-424-5p","hsa-mir-16-2-3p",11215,16.4520386628646,17.8700932669871,"18.0431037215601","18.0045960206383","16.4815434452646","17.2729111323952","15.6954055794476","17.3506623343618","""""","""""","""""","""""","""""",""""""
22875,"ENPP4","hsa-mir-582-5p","hsa-mir-424-5p",0.0015,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/26708577'>PubMedLink</a>'>PubMedLink</a>",NA,"tarbase","tarbase",7.16112192490361e-06,0.73467379058701,0.786462490125794,0.0321708126732386,0.832131807162685,0.0170352257341895,"hsa-mir-424-5p","hsa-mir-582-5p",22875,18.6196189110728,19.132208682732,"18.0719736509671","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23035,"PHLPP2","hsa-mir-135a-5p","hsa-mir-940",0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24977165'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",4.62145352083672e-06,-1.06287356965796,0.711072562779607,-0.111543759616759,0.363597896694576,0.0801541771508993,"hsa-mir-940","hsa-mir-135a-5p",23035,16.2413313318698,15.7813533844573,"15.7113359566976","15.8867362926086","15.7894476124342","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23248,"RPRD2","hsa-mir-1468-5p","hsa-mir-1296-5p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase",0.0225915942848319,0.354341452087445,0.745495104252694,0.0714326831529972,0.505616852079032,-0.0552536830605724,"hsa-mir-1296-5p","hsa-mir-1468-5p",23248,17.3588564609678,17.6650599377888,"17.5371431934878","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23321,"TRIM2","hsa-mir-335-5p","hsa-mir-411-5p",0.007,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase",9.14371672772996e-10,-1.35157373194338,4.82077395407939e-06,-1.21302965774056,0.246242016182352,0.0898150905175563,"hsa-mir-411-5p","hsa-mir-335-5p",23321,21.2666652356001,21.0805158896508,"21.4552606798982","21.4490936125885","20.2558053342496","20.8110362714486","20.9097000946498","""""","""""","""""","""""","""""","""""",""""""
23321,"TRIM2","hsa-mir-34a-5p","hsa-mir-335-5p",0.007,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.440730082467716,0.102563025348855,9.14371672772996e-10,-1.35157373194338,0.246242016182352,0.0898150905175563,"hsa-mir-335-5p","hsa-mir-34a-5p",23321,21.4552606798982,19.9566990647867,"20.8110362714486","20.9097000946498","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23321,"TRIM2","hsa-mir-410-3p","hsa-mir-335-5p",0.0025,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.00744753338200867,-0.593472842491182,9.14371672772996e-10,-1.35157373194338,0.246242016182352,0.0898150905175563,"hsa-mir-335-5p","hsa-mir-410-3p",23321,20.5344696324275,21.0805158896508,"21.4552606798982","21.4490936125885","20.8110362714486","20.8745526142101","""""","""""","""""","""""","""""","""""","""""",""""""
