"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21"
1021,"CDK6","hsa-mir-582-3p","hsa-mir-143-3p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-143-3p","hsa-mir-582-3p",1021,14.8942016935223,16.8410709989499,"16.4123209718506","16.1296916625561","14.6325415655074","16.9105812278537","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-582-5p","hsa-mir-143-3p",0.0045,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-143-3p","hsa-mir-582-5p",1021,14.8942016935223,16.8410709989499,"15.8765082960883","16.4123209718506","16.1296916625561","16.9105812278537","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-101-3p","hsa-mir-106a-5p",0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30186385'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase","hsa-mir-106a-5p","hsa-mir-101-3p",1026,20.5333126678409,21.4045204284031,"17.5760408301167","21.1293480340576","20.8226739830028","20.6219189549909","19.8316210760826","20.3143202133601","20.8849420039138","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-101-3p","hsa-mir-424-5p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30186385'>PubMedLink</a>",NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase tarbase","tarbase","hsa-mir-424-5p","hsa-mir-101-3p",1026,21.4045204284031,21.1293480340576,"20.8226739830028","20.6219189549909","19.9147950361421","20.3143202133601","20.8144198608618","20.8001935605985","20.8849420039138","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-424-5p","hsa-mir-106a-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","tarbase","mirtarbase tarbase","hsa-mir-106a-5p","hsa-mir-424-5p",1026,21.4045204284031,21.1293480340576,"20.2251462097575","20.8226739830028","20.6219189549909","21.3312167287937","20.3143202133601","17.8408757658052","20.8849420039138","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1026,"CDKN1A","hsa-mir-548e-3p","hsa-mir-1304-5p",0.007,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30483120'>PubMedLink</a>","mirtarbase","mirtarbase","hsa-mir-1304-5p","hsa-mir-548e-3p",1026,21.3312167287937,19.9758009443738,"21.1669283813902","20.1742450800835","20.8849420039138","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1063,"CENPF","hsa-mir-194-5p","hsa-mir-125b-5p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-125b-5p","hsa-mir-194-5p",1063,15.8957475986752,16.2281874690887,"15.6813618535242","15.7822359759996","14.8044460743023","14.4092145192455","14.504056428204","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1191,"CLU","hsa-mir-424-5p","hsa-mir-20a-5p",0.005,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-20a-5p","hsa-mir-424-5p",1191,18.0037898956544,21.3518019403881,"22.8605918099287","16.7553786654174","19.683882207723","22.691944725819","16.4495647397978","22.2938848948198","23.9703896233012","22.5652639628267","17.066005896187","""""","""""","""""","""""","""""","""""","""""",""""""
1316,"KLF6","hsa-mir-10b-3p","hsa-mir-511-5p",0.0045,TRUE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-511-5p","hsa-mir-10b-3p",1316,18.7949720013637,18.7794727182821,"17.7204122863964","18.5569442167416","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1373,"CPS1","hsa-mir-142-3p","hsa-mir-21-5p",0.0095,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase","hsa-mir-21-5p","hsa-mir-142-3p",1373,10.5401810817055,15.2206459489907,"15.1408496494187","11.1557612634736","13.7252032857514","14.96415987662","10.4208934980282","10.4375406323787","13.8399516113661","15.4339360874606","13.4960426734531","15.8040850274301","11.9436307410531","""""","""""","""""","""""","""""",""""""
1408,"CRY2","hsa-let-7b-5p","hsa-mir-10b-5p",0,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-10b-5p","hsa-let-7b-5p",1408,18.4485668928912,18.138228415274,"17.384151013603","18.2732871509798","17.2947814556188","18.3449525493595","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1408,"CRY2","hsa-mir-20a-5p","hsa-mir-10a-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase","hsa-mir-10a-5p","hsa-mir-20a-5p",1408,18.7496604674605,19.6857322562622,"18.138228415274","17.6344013895697","19.2973851956699","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1605,"DAG1","hsa-mir-10a-5p","hsa-mir-190a-5p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-190a-5p","hsa-mir-10a-5p",1605,19.9676473003889,19.9821498594938,"20.4384870126478","20.6571218579526","18.7818121334883","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1783,"DYNC1LI2","hsa-let-7b-5p","hsa-let-7c-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-let-7c-5p","hsa-let-7b-5p",1783,18.5748568654602,18.8331455764646,"19.3895690513501","18.2679116117026","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1808,"DPYSL2","hsa-mir-30e-5p","hsa-mir-21-5p",0.0085,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/30816227'>PubMedLink</a>","tarbase","tarbase","hsa-mir-21-5p","hsa-mir-30e-5p",1808,18.4246760288876,17.4142965272982,"19.1401064393351","16.3270395962937","18.8191611557376","16.4952154778826","19.1745928143896","15.70121102319","19.6471282624197","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1829,"DSG2","hsa-mir-335-3p","hsa-mir-129-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-129-5p","hsa-mir-335-3p",1829,15.6809130083843,16.4085958555789,"16.0912537665316","15.3297609128686","16.2654472002998","18.1135108331368","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1857,"DVL3","hsa-mir-10a-5p","hsa-mir-497-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-497-5p","hsa-mir-10a-5p",1857,22.3600634059391,20.5755682161187,"19.6258870548082","20.2524558965328","19.4696762756961","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1938,"EEF2","hsa-mir-155-5p","hsa-mir-642a-5p",0.002,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-642a-5p","hsa-mir-155-5p",1938,27.2740051154813,26.108641937517,"25.7335637599789","26.5422911158014","25.8204000826316","26.3681782676383","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1958,"EGR1","hsa-mir-424-5p","hsa-mir-32-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-32-5p","hsa-mir-424-5p",1958,18.2093708922482,17.589641050079,"17.5746028545378","15.9479511098852","17.1074102157949","21.232170325031","18.6937271709717","18.9266076389657","21.735200410892","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1997,"ELF1","hsa-mir-30a-3p","hsa-mir-328-3p",0.0035,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-328-3p","hsa-mir-30a-3p",1997,19.0052606630298,17.8730158312553,"18.4068170857366","17.2442885045955","18.9890515570257","18.6179005704607","18.8386089314762","18.4523255345627","18.662178362797","18.2901938750475","17.3697449341573","18.7370967857128","""""","""""","""""","""""","""""","""""",""""""
2005,"ELK4","hsa-mir-221-5p","hsa-mir-1270",0.007,TRUE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-1270","hsa-mir-221-5p",2005,17.2281629125565,15.4065288568319,"17.13302510785","16.6920331581712","16.6652632834846","16.7443442493253","16.6443435586512","16.0666371524269","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2005,"ELK4","hsa-mir-221-5p","hsa-mir-140-5p",0.0025,TRUE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/29808799'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gUVM/30291212'>PubMedLink</a>",NA,"tarbase","tarbase","hsa-mir-140-5p","hsa-mir-221-5p",2005,17.2281629125565,16.0618233724067,"17.0338196002138","16.8414092899623","17.0542567640389","16.0666371524269","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2182,"ACSL4","hsa-mir-1304-5p","hsa-mir-20b-5p",0.003,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-20b-5p","hsa-mir-1304-5p",2182,17.1849195484126,17.1899615456906,"17.0424841834685","16.8716768656048","16.653789247067","15.4645987208185","17.0413189711871","16.5041422172058","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2232,"FDXR","hsa-mir-149-5p","hsa-mir-2355-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-2355-5p","hsa-mir-149-5p",2232,19.4837583744278,18.6184698427792,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
2649,"NR6A1","hsa-mir-10a-5p","hsa-mir-188-3p",0.003,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-188-3p","hsa-mir-10a-5p",2649,15.9915103175716,15.2242262009075,"15.2580476797142","12.447096663774","13.510915054075","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3178,"HNRNPA1","hsa-mir-636","hsa-mir-9-3p",5e-04,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-9-3p","hsa-mir-636",3178,22.754929117119,23.0006777026418,"22.5408354103177","22.9339954723934","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3554,"IL1R1","hsa-mir-192-5p","hsa-mir-19b-3p",0.009,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-19b-3p","hsa-mir-192-5p",3554,14.1650483156192,18.6460362538274,"17.5512602682332","17.5702496110957","17.0678469586991","17.7394109865182","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3656,"IRAK2","hsa-mir-34b-3p","hsa-mir-508-5p",0.0075,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-508-5p","hsa-mir-34b-3p",3656,13.6738567033078,14.2177027010278,"13.922791275469","13.9115138027443","12.9457003992469","14.4692801872675","13.0919157133441","14.5355619950953","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3658,"IREB2","hsa-mir-320c","hsa-mir-194-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-194-5p","hsa-mir-320c",3658,16.4489609878908,16.8608291086637,"16.9592508647198","16.2502476602769","16.6177837720965","16.0960533231434","16.1242385094534","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3673,"ITGA2","hsa-mir-181c-5p","hsa-mir-106a-5p",0,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-106a-5p","hsa-mir-181c-5p",3673,12.3881874494123,12.3559699100045,"11.812967931293","13.2131865139054","13.8544743570861","13.2743820477606","9.47614172546385","9.93889627701986","13.644537078989","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3720,"JARID2","hsa-mir-33a-5p","hsa-mir-19a-3p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-19a-3p","hsa-mir-33a-5p",3720,18.5807822813289,18.6617112952879,"18.4878871430263","18.2789273846059","17.9405932495002","18.2550937225119","17.6806605166341","18.5701382129653","17.8390221484165","17.4613396158383","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3752,"KCND3","hsa-mir-20b-5p","hsa-mir-1304-5p",0.009,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-1304-5p","hsa-mir-20b-5p",3752,16.2783141996593,15.7731582426615,"17.2193277330484","17.5471772130101","17.2837890843666","16.4954892654211","18.2330582719753","17.1016179107013","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
3796,"KIF2A","hsa-mir-34b-3p","hsa-mir-222-5p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-222-5p","hsa-mir-34b-3p",3796,16.7919593020892,16.9993534123201,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4012,"LNPEP","hsa-mir-221-3p","hsa-mir-636",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-636","hsa-mir-221-3p",4012,14.3141792951966,16.173653437891,"16.1305063811231","16.2847251146317","16.2173093191763","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4179,"CD46","hsa-mir-328-3p","hsa-mir-30a-3p",0.002,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30a-3p","hsa-mir-328-3p",4179,18.5734209088554,17.0122995070018,"18.1765043817217","16.4372805242245","18.6706880834783","18.5225995874946","18.3153500838688","17.8936174597067","18.6791175334934","17.8781634878079","16.9990020517457","17.8515228130079","""""","""""","""""","""""","""""","""""",""""""
4193,"MDM2","hsa-mir-590-3p","hsa-mir-20b-5p",0.006,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/12365913'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase","hsa-mir-20b-5p","hsa-mir-590-3p",4193,16.8295041781137,18.6338484805328,"17.5918917946062","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4211,"MEIS1","hsa-mir-424-5p","hsa-mir-15a-5p",0.0045,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-15a-5p","hsa-mir-424-5p",4211,14.5591188919291,13.9952192970519,"14.5695111858185","13.8085640642285","14.4973229116633","16.1326543317649","12.8818292942981","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4293,"MAP3K9","hsa-mir-15a-5p","hsa-mir-301a-3p",0.0015,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-301a-3p","hsa-mir-15a-5p",4293,14.6626704146801,14.2563592773349,"14.401160584367","15.3951538346414","14.6739173613359","15.5485208567707","14.8451155673429","14.0067689297619","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4293,"MAP3K9","hsa-mir-301a-3p","hsa-mir-20a-5p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","tarbase","hsa-mir-20a-5p","hsa-mir-301a-3p",4293,14.6626704146801,13.6523881072076,"13.7024506165453","14.2563592773349","14.401160584367","15.3951538346414","14.6739173613359","15.5485208567707","14.8451155673429","14.0067689297619","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4673,"NAP1L1","hsa-mir-145-5p","hsa-mir-196b-5p",0.006,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-196b-5p","hsa-mir-145-5p",4673,18.9267293398246,19.6723068216198,"20.2942126301292","20.0844495843807","20.5543387061724","18.7614856608744","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4853,"NOTCH2","hsa-mir-939-5p","hsa-mir-497-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-497-5p","hsa-mir-939-5p",4853,18.3333512259743,18.2574528931652,"17.8868681041337","16.7375046427314","18.0619434171543","17.311876801616","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4884,"NPTX1","hsa-mir-421","hsa-mir-129-5p",0.003,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase","hsa-mir-129-5p","hsa-mir-421",4884,16.8981145808367,13.2252180628957,"15.6740849422108","13.5684058240167","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
4939,"OAS2","hsa-mir-1270","hsa-mir-219a-1-3p",0.004,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-219a-1-3p","hsa-mir-1270",4939,15.5993770427764,14.859882727416,"17.5977078278046","16.0242182649963","17.78264704849","17.3231168044232","17.5952531947552","14.9318024964885","16.9975294277771","16.550033740565","15.86694558627","18.0800151449864","15.8951212759575","""""","""""","""""","""""","""""",""""""
5087,"PBX1","hsa-mir-142-3p","hsa-mir-21-5p",0.0095,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-21-5p","hsa-mir-142-3p",5087,13.1782221838473,15.9555509076429,"16.4237670525143","15.3229101544336","15.6703873195148","14.356819045822","14.8364947126342","13.5187900802102","15.8908243299318","17.0475970067736","16.4727602447633","14.4284135836585","16.4213230392416","""""","""""","""""","""""","""""",""""""
5101,"PCDH9","hsa-mir-19a-3p","hsa-mir-15a-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-15a-5p","hsa-mir-19a-3p",5101,10.2872321988533,5.17183836300519,"9.71630215960002","9.5596316546302","9.58793693133689","8.83305812807035","7.63307066655122","9.40134337973311","9.64969587312523","9.44134084211122","13.8899868352631","""""","""""","""""","""""","""""","""""","""""",""""""
5139,"PDE3A","hsa-mir-421","hsa-mir-3680-3p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase","hsa-mir-3680-3p","hsa-mir-421",5139,16.9103802796801,19.0507490027044,"12.9799621259762","16.674133051194","16.9211603872765","18.2719574199788","14.0781675749549","18.7706532570855","16.687718734123","15.02044407983","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5241,"PGR","hsa-mir-19b-3p","hsa-mir-181b-5p",0.009,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-181b-5p","hsa-mir-19b-3p",5241,8.609112541589,9.28578430329935,"8.33280768280351","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5292,"PIM1","hsa-mir-486-5p","hsa-mir-195-5p",0.004,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-195-5p","hsa-mir-486-5p",5292,16.8411368940526,15.8226035932385,"18.0893264232507","17.0533779646544","15.4891821403692","16.8999418128297","16.2731198764124","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5351,"PLOD1","hsa-mir-106a-5p","hsa-mir-142-3p",0.001,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>",NA,"tarbase","tarbase","hsa-mir-142-3p","hsa-mir-106a-5p",5351,21.2243519717088,21.5256255182661,"22.5198909626665","21.0381726501784","20.8966996695097","21.7928556818862","21.4545473594594","19.6306658352167","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5396,"PRRX1","hsa-mir-30a-3p","hsa-mir-30a-5p",0.0095,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30a-5p","hsa-mir-30a-3p",5396,14.9492175776376,11.1176478404203,"12.722202472661","13.0669083769194","12.2093602493101","13.7987735265508","14.4212273599754","11.6958350943753","13.3880618653058","14.681015393552","13.168021215109","12.5782373528089","""""","""""","""""","""""","""""","""""",""""""
5452,"POU2F2","hsa-mir-133a-3p","hsa-mir-20a-3p",0.007,TRUE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-20a-3p","hsa-mir-133a-3p",5452,11.6448315032871,13.8983924506865,"15.7212574054678","11.656875908454","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5516,"PPP2CB","hsa-mir-142-5p","hsa-mir-188-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-188-3p","hsa-mir-142-5p",5516,18.7017525620501,18.4986741862528,"18.9488704696503","19.0205985567171","17.6095528514167","18.9445784334816","18.3591925494353","19.0420200948745","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5562,"PRKAA1","hsa-mir-30a-3p","hsa-mir-328-3p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-328-3p","hsa-mir-30a-3p",5562,17.2832647288527,16.0639911283117,"16.8115387321126","15.6052734297651","17.4954935300597","17.5547485379742","17.4039462544655","16.9429858517322","17.1687623161459","16.7127839607793","15.5042902338556","16.6253850745304","""""","""""","""""","""""","""""","""""",""""""
5563,"PRKAA2","hsa-mir-590-3p","hsa-mir-21-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-21-5p","hsa-mir-590-3p",5563,12.6127902368047,7.44108045389564,"8.74914112305268","12.3419420743168","15.063255814046","9.06383392445244","12.0784616989386","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5618,"PRLR","hsa-mir-20b-5p","hsa-mir-30e-5p",0.0035,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-30e-5p","hsa-mir-20b-5p",5618,10.8575559642205,10.7709388242683,"-2","11.3177968344558","11.1315593618298","8.53701009185854","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
5655,"KLK10","hsa-mir-939-5p","hsa-mir-143-3p",0.0045,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-143-3p","hsa-mir-939-5p",5655,10.0522354641459,11.2043795260651,"10.2483538959923","11.3913960505986","12.5979463157769","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6018,"RLF","hsa-mir-203a-3p","hsa-let-7b-5p",0.0075,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-let-7b-5p","hsa-mir-203a-3p",6018,16.0605785691306,16.639190936908,"16.3905467762365","16.4696274835578","15.5588733790539","15.9534108577483","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6096,"RORB","hsa-mir-19b-3p","hsa-mir-590-3p",0.001,TRUE,NA,NA,NA,"tarbase","tarbase","hsa-mir-590-3p","hsa-mir-19b-3p",6096,12.9430028543868,11.1756510618741,"11.1672123659924","12.3702386345343","9.97559751741857","13.9412920012851","17.6057878017348","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
6229,"RPS24","hsa-mir-22-5p","hsa-mir-10b-3p",0.004,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-10b-3p","hsa-mir-22-5p",6229,23.7471915247583,23.5217059516534,"23.0370571852548","23.3976249465261","23.7068290704127","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
