"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21"
444,"ASPH","hsa-let-7c-5p","hsa-mir-96-5p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-96-5p","hsa-let-7c-5p",444,17.3914153923066,18.3750809282667,"16.3503367557779","17.5125259955777","16.7201484258157","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
472,"ATM","hsa-mir-320c","hsa-mir-1-3p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31377937'>PubMedLink</a>","tarbase","tarbase","hsa-mir-1-3p","hsa-mir-320c",472,16.4755285996727,16.511628276838,"15.9937445240334","15.4981262503498","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
774,"CACNA1B","hsa-mir-335-5p","hsa-mir-3150b-3p",0.0015,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-3150b-3p","hsa-mir-335-5p",774,13.7770465274387,13.2929119743528,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
814,"CAMK4","hsa-mir-2116-3p","hsa-mir-629-3p",0.001,FALSE,NA,NA,NA,"mirtarbase","mirtarbase","hsa-mir-629-3p","hsa-mir-2116-3p",814,12.2860338188682,11.7723521775995,"14.1836494361215","11.4805559452483","13.1793606251793","14.1253788079866","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
836,"CASP3","hsa-mir-30a-3p","hsa-mir-129-5p",0.0065,FALSE,NA,NA,NA,"tarbase","tarbase","hsa-mir-129-5p","hsa-mir-30a-3p",836,17.3082211535284,17.0091753627555,"17.2142958089303","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
864,"RUNX3","hsa-mir-106a-5p","hsa-mir-495-3p",0.004,TRUE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-495-3p","hsa-mir-106a-5p",864,16.0624664767165,16.1073685449232,"15.5237566788837","17.0129070351361","17.968929550162","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
894,"CCND2","hsa-mir-32-5p","hsa-mir-424-5p",5e-04,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase","hsa-mir-424-5p","hsa-mir-32-5p",894,20.0485644423089,17.1856605732312,"18.777003040426","19.4628747555003","19.404224536709","19.2955293343194","18.4775944705574","19.5013890556326","19.997547384466","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-let-7b-5p","hsa-mir-145-5p",0.0035,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase","hsa-mir-145-5p","hsa-let-7b-5p",1021,15.7612429857056,16.3594615371699,"15.4503860639224","16.4123209718506","15.7354531743","15.9056635864839","16.4235033333158","15.7930175596662","16.5558357543623","16.1296916625561","14.6325415655074","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-129-2-3p","hsa-let-7b-5p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase","hsa-let-7b-5p","hsa-mir-129-2-3p",1021,14.8942016935223,16.3594615371699,"15.4503860639224","16.4123209718506","15.7354531743","15.9056635864839","16.5303714379303","16.4235033333158","15.9793589132283","16.1296916625561","16.9105812278537","""""","""""","""""","""""","""""","""""","""""",""""""
1021,"CDK6","hsa-mir-145-5p","hsa-mir-582-5p",0.0095,FALSE,NA,NA,NA,"mirtarbase","tarbase","hsa-mir-582-5p","hsa-mir-145-5p",1021,14.5516256900769,16.4123209718506,"15.7627939632507","16.1296916625561","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
