"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26"
23499,"MACF1","hsa-mir-19b-1-5p","hsa-mir-9-3p",0.008,FALSE,NA,NA,NA,"tarbase","tarbase",0.465862838138841,0.443711628958498,0.653376160870488,0.351917903170483,0.94996996164424,0.0220700491765817,"hsa-mir-9-3p","hsa-mir-19b-1-5p",23499,16.4150897973971,16.050047614717,"16.2946823158254","16.2938011004144","17.5296123088503","16.3063671243597","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23499,"MACF1","hsa-mir-19b-3p","hsa-mir-9-5p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/29845233'>PubMedLink</a>",NA,NA,"mirtarbase","tarbase",0.768446557008153,0.12354270496936,0.964625708359979,0.0134177666432488,0.94996996164424,0.0220700491765817,"hsa-mir-9-5p","hsa-mir-19b-3p",23499,16.4150897973971,17.2239692144291,"16.050047614717","16.5248387555779","16.1555842460025","16.2946823158254","16.9101797563861","16.1958494649386","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23499,"MACF1","hsa-mir-34a-5p","hsa-mir-9-3p",0.007,FALSE,NA,NA,NA,"tarbase","tarbase",0.940925191483641,0.0277587488381643,0.653376160870488,0.351917903170483,0.94996996164424,0.0220700491765817,"hsa-mir-9-3p","hsa-mir-34a-5p",23499,17.2239692144291,16.4240180369472,"16.1114942476797","16.1555842460025","16.2946823158254","16.1958494649386","16.3063671243597","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23499,"MACF1","hsa-mir-9-5p","hsa-mir-19b-1-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.964625708359979,0.0134177666432488,0.465862838138841,0.443711628958498,0.94996996164424,0.0220700491765817,"hsa-mir-19b-1-5p","hsa-mir-9-5p",23499,16.4150897973971,16.050047614717,"16.5248387555779","16.2946823158254","16.6004583835293","16.2938011004144","17.5296123088503","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23499,"MACF1","hsa-mir-9-5p","hsa-mir-34a-5p",0.005,FALSE,NA,NA,NA,"tarbase","tarbase",0.964625708359979,0.0134177666432488,0.940925191483641,0.0277587488381643,0.94996996164424,0.0220700491765817,"hsa-mir-34a-5p","hsa-mir-9-5p",23499,17.2239692144291,16.4240180369472,"16.1114942476797","16.1555842460025","16.2946823158254","16.1958494649386","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23528,"ZNF281","hsa-mir-142-5p","hsa-mir-340-5p",0.005,TRUE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.3673440731937,-0.397581155036288,0.778187211528361,0.13324927641793,0.999743807023908,-0.00011192130245858,"hsa-mir-340-5p","hsa-mir-142-5p",23528,17.1518187453559,16.3092602771602,"16.0284759663185","15.5619257142702","16.1645693304963","16.6491667612284","16.3319397801869","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23580,"CDC42EP4","hsa-mir-211-5p","hsa-mir-193b-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","mirtarbase tarbase",0.00324800126891229,1.27324591133173,0.497876219544728,-0.259114896756807,0.976948266553106,-0.00989122496454153,"hsa-mir-193b-3p","hsa-mir-211-5p",23580,15.965819388177,16.0570939581363,"17.845983642242","16.9759108332241","17.1299695283259","16.430031489817","16.1779573151734","14.832360727538","18.0432511719895","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23621,"BACE1","hsa-mir-29a-3p","hsa-mir-29c-3p",0.0055,FALSE,NA,NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.8969738060616,-0.0368645413613066,0.0725941540520984,-0.572971343428939,0.990193786116415,0.00429642557331358,"hsa-mir-29c-3p","hsa-mir-29a-3p",23621,16.5896392738818,16.722711760931,"15.8214426841453","16.7176456707359","16.6708970961196","16.0615728342987","17.5560534988058","16.537549754645","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23635,"SSBP2","hsa-mir-629-3p","hsa-mir-30b-3p",0.005,FALSE,NA,NA,NA,"mirtarbase","mirtarbase",0.706985363090165,-0.21387358397374,0.700934930448877,0.204011808156776,0.774633531826823,-0.104453642485776,"hsa-mir-30b-3p","hsa-mir-629-3p",23635,14.3435272404918,14.1860026294275,"13.6892644827416","14.5831371608124","14.2967362811596","14.5479521876706","15.0454097986306","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23657,"SLC7A11","hsa-mir-513a-5p","hsa-mir-150-5p",0.0065,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/31128917'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31419780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31419780'>PubMedLink</a>","tarbase","mirtarbase",0.00031505052716562,5.08418635004596,0.233048237599293,-0.378175117961499,0.627656331940793,0.198784012104502,"hsa-mir-150-5p","hsa-mir-513a-5p",23657,10.7812314283211,13.7210532441854,"13.2777738414096","14.2626540669543","13.4483544829736","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
23670,"CEMIP2","hsa-let-7c-5p","hsa-mir-455-5p",0.0035,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/25686251'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSKCM/34395634'>PubMedLink</a>",NA,"tarbase","tarbase",0.315451575583119,-0.305608498846738,0.900958039756876,-0.0699121756583226,0.875554733095937,-0.0542385704346405,"hsa-mir-455-5p","hsa-let-7c-5p",23670,16.7295443392166,18.7147303972439,"16.0872728148949","16.0833234716446","16.2901513842238","15.8353051181052","15.5164850131661","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25825,"BACE2","hsa-mir-196a-5p","hsa-mir-125b-5p",0.0085,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.218466553712595,0.527907190755615,0.271945328535281,-0.341727052853642,0.895494121299359,0.0425984415563082,"hsa-mir-125b-5p","hsa-mir-196a-5p",25825,20.1355313519109,19.7634568591444,"19.4711868218086","19.7388645465568","19.4689236026442","20.1057525253068","18.6611724695731","19.5818836834626","16.3209738106424","20.2252740087484","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25957,"PNISR","hsa-mir-432-5p","hsa-mir-582-5p",0.001,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.871933196692839,-0.0914317585220071,0.590764183888988,-0.261454539928884,0.923742102610214,-0.0333970417636937,"hsa-mir-582-5p","hsa-mir-432-5p",25957,15.7301291504248,15.4417253924102,"16.471135227123","16.410278686951","16.0054111883978","16.7914692726001","15.6188206937155","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25966,"C2CD2","hsa-mir-93-5p","hsa-mir-17-5p",0.0045,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/19578755'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSKCM/21541354'>PubMedLink</a>",NA,"tarbase","tarbase",0.591493438849042,0.157501420647836,0.613264560844456,0.179492729545379,0.719266127388434,-0.129212793908782,"hsa-mir-17-5p","hsa-mir-93-5p",25966,14.0393589216805,11.8880721500202,"14.003318149166","14.8507992644456","12.6264856014643","13.0720508192315","15.1786877353767","16.3047206601988","13.9654598190382","13.0497420569669","14.0276854791282","14.7746373382647","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25987,"TSKU","hsa-mir-138-5p","hsa-mir-106a-5p",0.005,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.312908684914818,0.55618788991571,0.853686118146281,-0.0855241007678647,0.81722087582792,0.0797568659942259,"hsa-mir-106a-5p","hsa-mir-138-5p",25987,18.3188628841117,17.9009429366728,"17.9841007019991","17.3369845696591","15.7656310278598","17.6113820312645","17.588656072246","16.2909009768553","17.8711639540853","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25987,"TSKU","hsa-mir-138-5p","hsa-mir-20b-5p",0.0035,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.312908684914818,0.55618788991571,0.514594228130259,-0.297299398806982,0.81722087582792,0.0797568659942259,"hsa-mir-20b-5p","hsa-mir-138-5p",25987,18.3188628841117,17.9009429366728,"17.9841007019991","17.3369845696591","15.7656310278598","18.5702866749555","17.6113820312645","16.2909009768553","17.8711639540853","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
25987,"TSKU","hsa-mir-17-5p","hsa-mir-93-5p",0.009,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/19578755'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSKCM/21541354'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","mirtarbase tarbase",0.613264560844456,0.179492729545379,0.591493438849042,0.157501420647836,0.81722087582792,0.0797568659942259,"hsa-mir-93-5p","hsa-mir-17-5p",25987,16.288387416736,19.8165231695248,"17.1551388352758","18.0130612336706","15.6172705006279","17.3369845696591","18.2117835884426","16.7544790643784","15.7656310278598","17.588656072246","17.9430734249215","17.8367814511412","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26030,"PLEKHG3","hsa-mir-511-5p","hsa-mir-32-5p",0.004,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.593765090093702,0.274788574152099,0.200941728510237,-0.657007792172958,0.940360007051598,0.0263272640306049,"hsa-mir-32-5p","hsa-mir-511-5p",26030,14.2724187287744,16.2647642331139,"16.7371057681046","13.9637896578829","14.1486298819979","16.3887066440862","16.9517280655453","18.7263373625877","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26053,"AUTS2","hsa-mir-1229-3p","hsa-mir-671-3p",0.001,FALSE,NA,NA,NA,"tarbase","tarbase",0.626305890415394,-0.413788766469407,0.56538205964439,0.34269999174127,0.910061784812467,0.0413111886358149,"hsa-mir-671-3p","hsa-mir-1229-3p",26053,14.8448663377106,15.2949776757246,"13.4447539293773","16.2648875582827","16.4420380272759","15.132949613933","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26058,"GIGYF2","hsa-mir-30c-5p","hsa-mir-7-5p",0.008,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/23206698'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSKCM/27203220'>PubMedLink</a>",NA,"tarbase","tarbase",0.680487866034203,-0.134735061890663,0.604242395825169,0.52302269130501,0.978044976517545,0.00955879453533575,"hsa-mir-7-5p","hsa-mir-30c-5p",26058,17.3247015851507,16.3631891030769,"16.0699490698163","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26086,"GPSM1","hsa-mir-497-5p","hsa-mir-93-3p",0.001,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/29760567'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.409593561100949,-0.445642643162295,0.210804660580419,0.706340107489124,0.78582781776243,0.09468866667905,"hsa-mir-93-3p","hsa-mir-497-5p",26086,17.3775561130747,15.2355502584504,"17.74458456735","19.3707601576388","17.2459147783775","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26086,"GPSM1","hsa-mir-940","hsa-mir-221-5p",0.0075,FALSE,NA,NA,NA,"tarbase","tarbase",0.0627077341475446,1.54652212268899,0.251691285555372,0.879416171689216,0.78582781776243,0.09468866667905,"hsa-mir-221-5p","hsa-mir-940",26086,16.7710559244896,16.5320428493105,"17.3784308859586","16.784932564916","18.4368535283361","15.7140281356581","16.9170844246438","17.4360477008626","18.1288160142354","17.853652276206","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26090,"ABHD12","hsa-mir-34a-5p","hsa-let-7g-3p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.940925191483641,0.0277587488381643,0.263246054600801,-0.5277276014082,0.992551472851125,0.00302335751777365,"hsa-let-7g-3p","hsa-mir-34a-5p",26090,19.0452715890483,19.1233659975147,"19.8789060330298","19.0313303547392","19.819572853751","20.3108352062603","19.2559785442354","18.7721087902195","18.7102898515111","20.2763827795032","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26099,"SZRD1","hsa-mir-328-3p","hsa-mir-34a-5p",5e-04,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/28819415'>PubMedLink</a>","mirtarbase","tarbase",0.936406150659822,-0.0311002986339812,0.940925191483641,0.0277587488381643,0.955378517079787,0.018140637666803,"hsa-mir-34a-5p","hsa-mir-328-3p",26099,19.4737570504439,19.8923836249463,"19.8995415460028","19.4086573698853","18.9154846489559","18.7708759015605","19.8899025963093","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26115,"TANC2","hsa-mir-93-3p","hsa-mir-708-3p",0.004,FALSE,NA,NA,NA,"tarbase","tarbase",0.210804660580419,0.706340107489124,0.834908556062542,-0.0979371251210157,0.938581262774702,0.0285360306894642,"hsa-mir-708-3p","hsa-mir-93-3p",26115,14.7914140797865,13.4223348540296,"13.7364346288359","14.0452928808226","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
26136,"TES","hsa-mir-9-5p","hsa-mir-330-5p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/22201996'>PubMedLink</a>","tarbase","tarbase",0.964625708359979,0.0134177666432488,0.499303835421479,0.320206571035273,0.804332244523692,-0.0829132039159647,"hsa-mir-330-5p","hsa-mir-9-5p",26136,17.1586568905713,15.391121971058,"16.8452067428153","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
