source,target,ModeOfRegulation,edgeType
mir-218-5p,mir-218-5p/mir-7-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-369-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-383-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-7-5p,"",direct
mir-369-3p,mir-369-3p/mir-383-5p,"",direct
mir-107,mir-107/mir-29b-3p,"",direct
mir-145-5p,mir-145-5p/mir-29c-3p,"",direct
let-7e-5p,let-7e-5p/mir-29b-3p,"",direct
mir-331-3p,mir-331-3p/mir-7-5p,"",direct
mir-218-5p,mir-218-5p/mir-377-3p,"",direct
mir-126-5p,mir-126-5p/mir-7-5p,"",direct
mir-126-5p,mir-126-5p/mir-29b-3p,"",direct
mir-126-5p,mir-126-5p/mir-383-5p,"",direct
mir-29c-3p,mir-29c-3p/mir-369-3p,"",direct
mir-145-5p,mir-145-5p/mir-29b-3p,"",direct
mir-124-3p,mir-124-3p/mir-383-5p,"",direct
mir-124-3p,mir-124-3p/mir-7-5p,"",direct
mir-124-3p,mir-124-3p/mir-329-3p,"",direct
mir-132-3p,mir-132-3p/mir-221-3p,"",direct
mir-329-3p,mir-329-3p/mir-543,"",direct
mir-221-3p,mir-221-3p/mir-24-3p,"",direct
mir-221-3p,mir-221-3p/mir-329-3p,"",direct
mir-184,mir-184/mir-3943,"",direct
mir-148a-5p,mir-148a-5p/mir-323a-3p,"",direct
mir-135b-5p,mir-135b-5p/mir-184,"",direct
mir-221-3p,mir-221-3p/mir-222-3p,"",direct
mir-24-3p,mir-24-3p/mir-543,"",direct
mir-1229-3p,mir-1229-3p/mir-654-3p,"",direct
mir-124-3p,mir-124-3p/mir-543,"",direct
mir-200c-3p,mir-200c-3p/mir-543,"",direct
mir-221-3p,mir-221-3p/mir-23b-3p,"",direct
mir-24-3p,mir-24-3p/mir-377-3p,"",direct
mir-1228-3p,mir-1228-3p/mir-543,"",direct
mir-24-3p,mir-24-3p/mir-654-3p,"",direct
mir-185-5p,mir-185-5p/mir-377-3p,"",direct
mir-24-3p,mir-24-3p/mir-329-3p,"",direct
mir-124-3p,mir-124-3p/mir-221-3p,"",direct
mir-23b-3p,mir-23b-3p/mir-543,"",direct
mir-200b-3p,mir-200b-3p/mir-329-3p,"",direct
mir-185-5p,mir-185-5p/mir-221-3p,"",direct
mir-132-3p,mir-132-3p/mir-329-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-3943,"",direct
mir-221-3p,mir-221-3p/mir-654-3p,"",direct
mir-203a-3p,mir-203a-3p/mir-323a-3p,"",direct
mir-23b-3p,mir-23b-3p/mir-654-3p,"",direct
mir-221-3p,mir-221-3p/mir-543,"",direct
mir-1224-5p,mir-1224-5p/mir-145-5p,"",direct
mir-23b-3p,mir-23b-3p/mir-377-3p,"",direct
mir-377-3p,mir-377-3p/mir-654-3p,"",direct
mir-23b-3p,mir-23b-3p/mir-329-3p,"",direct
mir-323a-3p,mir-323a-3p/mir-3943,"",direct
mir-543,mir-543/mir-654-3p,"",direct
mir-377-3p,mir-377-3p/mir-543,"",direct
mir-329-3p,mir-329-3p/mir-377-3p,"",direct
mir-1-3p,mir-1-3p/mir-329-3p,"",direct
mir-185-5p,mir-185-5p/mir-543,"",direct
mir-1-3p,mir-1-3p/mir-124-3p,"",direct
mir-223-5p,mir-223-5p/mir-654-3p,"",direct
mir-203a-3p,mir-203a-3p/mir-3943,"",direct
mir-1-3p,mir-1-3p/mir-1229-3p,"",direct
mir-221-3p,mir-221-3p/mir-377-3p,"",direct
mir-222-3p,mir-222-3p/mir-329-3p,"",direct
mir-1224-5p,mir-1224-5p/mir-203a-3p,"",direct
mir-124-3p,mir-124-3p/mir-124-5p,"",direct
mir-376a-3p,mir-376a-3p/mir-935,"",direct
mir-433-3p,mir-433-3p/mir-935,"",direct
mir-18a-5p,mir-18a-5p/mir-218-5p,"",direct
mir-138-5p,mir-138-5p/mir-18a-5p,"",direct
mir-31-5p,mir-31-5p/mir-935,"",direct
mir-376b-3p,mir-376b-3p/mir-935,"",direct
mir-146b-5p,mir-146b-5p/mir-508-3p,"",direct
mir-218-5p,mir-218-5p/mir-935,"",direct
mir-29b-3p,mir-29b-3p/mir-494-3p,"",direct
mir-299-3p,mir-299-3p/mir-935,"",direct
mir-29c-3p,mir-29c-3p/mir-31-5p,"",direct
mir-29b-3p,mir-29b-3p/mir-376a-3p,"",direct
mir-23b-3p,mir-23b-3p/mir-29b-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-935,"",direct
mir-29b-3p,mir-29b-3p/mir-376b-3p,"",direct
mir-29b-3p,mir-29b-3p/mir-31-5p,"",direct
mir-370-3p,mir-370-3p/mir-940,"",direct
mir-625-3p,mir-625-3p/mir-935,"",direct
mir-29b-3p,mir-29b-3p/mir-377-3p,"",direct
mir-377-3p,mir-377-3p/mir-935,"",direct
mir-299-3p,mir-299-3p/mir-29b-3p,"",direct
mir-29c-3p,mir-29c-3p/mir-376a-3p,"",direct
mir-299-3p,mir-299-3p/mir-29c-3p,"",direct
mir-23b-3p,mir-23b-3p/mir-654-3p,"",direct
mir-376b-3p,mir-376b-3p/mir-940,"",direct
mir-29c-3p,mir-29c-3p/mir-935,"",direct
mir-23b-3p,mir-23b-3p/mir-29c-3p,"",direct
mir-31-5p,mir-31-5p/mir-935,"",direct
mir-23b-3p,mir-23b-3p/mir-935,"",direct
mir-23b-3p,mir-23b-3p/mir-376a-3p,"",direct
mir-124-3p,mir-124-3p/mir-128-3p,"",direct
mir-133a-3p,mir-133a-3p/mir-218-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-299-5p,"",direct
mir-133a-3p,mir-133a-3p/mir-377-3p,"",direct
mir-1-3p,mir-1-3p/mir-218-5p,"",direct
mir-299-5p,mir-299-5p/mir-31-5p,"",direct
mir-1296-5p,mir-1296-5p/mir-145-5p,"",direct
mir-331-3p,mir-331-3p/mir-410-3p,"",direct
mir-127-5p,mir-127-5p/mir-410-3p,"",direct
mir-127-5p,mir-127-5p/mir-7-5p,"",direct
mir-31-5p,mir-31-5p/mir-7-5p,"",direct
mir-329-3p,mir-329-3p/mir-369-3p,"",direct
mir-107,mir-107/mir-126-5p,"",direct
mir-107,mir-107/mir-127-5p,"",direct
mir-124-3p,mir-124-3p/mir-331-3p,"",direct
mir-124-3p,mir-124-3p/mir-369-3p,"",direct
