"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
595,"CCND1","hsa-mir-195-5p","hsa-mir-138-5p",0.0135,0.51,5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/9398039'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase ",20.5719572079012,18.7100294151177,0.802263159596797,-0.103260719790816,0.802934907827415,-0.223566835784355,0.676553592051162,0.0995494285188452
605,"BCL7A","hsa-mir-224-3p","hsa-mir-195-5p",0.302,0.096,0,FALSE,"NA"," tarbase ","mirtarbase  ",18.2208125302265,17.0885905329806,0.104634403519726,-1.09621245715927,0.802263159596797,-0.103260719790816,0.960813458730973,-0.0118141139179492
624,"BDKRB2","hsa-mir-200b-3p","hsa-mir-200c-3p",0.7235,0.0525,0.0015,FALSE,"NA"," tarbase "," tarbase ",14.8393872986531,13.430462028852,0.732413312242844,0.114645708713643,0.801202141920273,0.0756943434847678,0.814911150363781,-0.0629156749816764
667,"DST","hsa-mir-181c-5p","hsa-mir-548j-5p",0.1545,0.0555,5e-04,FALSE,"NA"," tarbase "," tarbase ",16.5149376697352,15.1517294125005,0.96557342996809,-0.0169548893052903,0.974281004418408,-0.0330812526828155,0.594715285504674,-0.134653826232406
993,"CDC25A","hsa-mir-512-5p","hsa-let-7b-5p",0.0275,0.0135,0,FALSE,"NA","mirtarbase  ","mirtarbase  ",17.1053940641367,15.5502518645362,0.0828714507782263,3.37555712110747,0.784564546838161,-0.0733583306011839,0.986021797224857,0.00444331943452018
1021,"CDK6","hsa-let-7b-5p","hsa-mir-383-5p",0.024,0.016,0.001,FALSE,"NA","mirtarbase tarbase "," tarbase ",18.8915162580491,17.3040607405852,0.784564546838161,-0.0733583306011839,0.88977497628494,0.0962474630450894,0.901946336414228,-0.0297346407036185
1021,"CDK6","hsa-let-7b-5p","hsa-mir-512-5p",0.0205,0.7545,0,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",18.6971008953283,17.3180300307461,0.784564546838161,-0.0733583306011839,0.0828714507782263,3.37555712110747,0.901946336414228,-0.0297346407036185
1021,"CDK6","hsa-mir-195-3p","hsa-mir-383-5p",0.0875,0.012,0.0065,FALSE,"NA","mirtarbase  "," tarbase ",18.8642476937171,17.8032295494539,0.557761221280103,-0.297350921587978,0.88977497628494,0.0962474630450894,0.901946336414228,-0.0297346407036185
1021,"CDK6","hsa-mir-195-5p","hsa-mir-383-5p",0.1635,0.012,0.004,FALSE,"NA","mirtarbase tarbase "," tarbase ",18.8642476937171,17.8032295494539,0.802263159596797,-0.103260719790816,0.88977497628494,0.0962474630450894,0.901946336414228,-0.0297346407036185
1021,"CDK6","hsa-mir-214-5p","hsa-mir-195-3p",0.233,0.089,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  ",18.8734144012899,17.6687674633314,0.107637180700023,-0.814047011978188,0.557761221280103,-0.297350921587978,0.901946336414228,-0.0297346407036185
1021,"CDK6","hsa-mir-214-5p","hsa-mir-383-5p",0.201,0.015,0.0025,FALSE,"NA","mirtarbase  "," tarbase ",18.9494992797007,17.5536451450196,0.107637180700023,-0.814047011978188,0.88977497628494,0.0962474630450894,0.901946336414228,-0.0297346407036185
1021,"CDK6","hsa-mir-214-5p","hsa-mir-497-5p",0.2215,0.0795,0.004,FALSE,"NA","mirtarbase  ","mirtarbase tarbase ",18.8734144012899,17.8032295494539,0.107637180700023,-0.814047011978188,0.673062980095733,-0.182873834095652,0.901946336414228,-0.0297346407036185
1105,"CHD1","hsa-mir-125a-5p","hsa-let-7b-5p",0.0545,0.287,0.0095,FALSE,"NA"," tarbase ","mirtarbase tarbase ",18.0106982004923,16.9751363271959,0.746124833643418,-0.102278646080494,0.784564546838161,-0.0733583306011839,0.759233226823694,-0.0734644595044995
1105,"CHD1","hsa-mir-125b-5p","hsa-let-7b-5p",0.0845,0.2415,0,FALSE,"NA"," tarbase ","mirtarbase tarbase ",18.310264643237,17.157502777386,0.898710457879206,-0.0377813040274455,0.784564546838161,-0.0733583306011839,0.759233226823694,-0.0734644595044995
1105,"CHD1","hsa-mir-182-5p","hsa-let-7b-5p",0.1085,0.3005,0.004,FALSE,"NA"," tarbase ","mirtarbase tarbase ",18.6972707403332,16.5791065220354,0.69245340215736,0.112480408649869,0.784564546838161,-0.0733583306011839,0.759233226823694,-0.0734644595044995
1277,"COL1A1","hsa-mir-363-5p","hsa-mir-130a-3p",0.0165,0.0475,0.0085,FALSE,"NA","mirtarbase tarbase "," tarbase ",19.652748821974,18.6238761481565,0.852653304225587,0.160039511405476,0.951414196840403,0.0229481688594441,0.738391241653779,-0.0776819704140758
1277,"COL1A1","hsa-mir-363-5p","hsa-mir-9-5p",0.012,0.1285,0.0055,FALSE,"NA","mirtarbase tarbase "," tarbase ",18.2515105910846,16.2434276649048,0.852653304225587,0.160039511405476,0.574084582768252,-0.209489925845173,0.738391241653779,-0.0776819704140758
1278,"COL1A2","hsa-mir-497-5p","hsa-mir-16-2-3p",0.256,0.199,0,FALSE,"NA"," tarbase "," tarbase ",18.9133390996585,16.3670948790746,0.673062980095733,-0.182873834095652,0.803293037379877,0.121143171609753,0.581979466492902,-0.128325640314272
1278,"COL1A2","hsa-mir-497-5p","hsa-mir-20b-5p",0.296,0.086,0,FALSE,"NA"," tarbase "," tarbase ",19.6812574386923,16.6705396738122,0.673062980095733,-0.182873834095652,0.965618756843915,-0.0151982693215879,0.581979466492902,-0.128325640314272
1399,"CRKL","hsa-mir-92a-1-5p","hsa-mir-92b-3p",0.413,0.033,0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24698130'>PubMedLink</a>"," tarbase "," tarbase ",19.0794909652113,17.9975607073555,0.99668914120306,-0.00226699963230704,0.851739641894512,0.0782775852530279,0.993680683522122,-0.00186199721263391
1601,"DAB2","hsa-mir-93-5p","hsa-mir-144-3p",0.0425,0.0305,0.0025,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",17.6673911628112,16.5097987834271,0.745306187188725,-0.0919957586453292,0.707604823466712,-0.215663001489877,0.824771548477758,-0.0542363461643604
1786,"DNMT1","hsa-mir-200a-3p","hsa-mir-30a-5p",0.162,0.0345,0.003,TRUE,"NA","mirtarbase  ","mirtarbase  ",19.0680717235307,17.7134081192664,0.719442122742405,0.126885173342471,0.475664269893348,-0.200243585336464,0.952592182987707,-0.0141532043697483
1831,"TSC22D3","hsa-mir-182-5p","hsa-mir-30a-3p",0.5365,0.034,0,FALSE,"NA","mirtarbase tarbase "," tarbase ",20.2050781207383,18.7674772890705,0.69245340215736,0.112480408649869,0.411146973692862,-0.252816575669344,0.870874502152366,-0.0369740035152016
1831,"TSC22D3","hsa-mir-30a-3p","hsa-mir-96-5p",0.0515,0.4935,5e-04,FALSE,"NA"," tarbase "," tarbase ",20.2050781207383,18.7674772890705,0.411146973692862,-0.252816575669344,0.141074611889997,0.737875767045478,0.870874502152366,-0.0369740035152016
1843,"DUSP1","hsa-mir-132-5p","hsa-mir-493-3p",0.0175,0.326,0.009,FALSE,"NA"," tarbase "," tarbase ",20.8821613819544,18.9685939482375,0.556079913028805,0.356843685821364,0.323401343811543,0.662654115032354,0.542414667086582,-0.1359821878597
1870,"E2F2","hsa-let-7b-5p","hsa-mir-31-5p",0.118,0.0205,0.003,TRUE,"NA","mirtarbase  ","mirtarbase  ",19.6790206492258,17.4509752850689,0.784564546838161,-0.0733583306011839,0.221449037416584,1.06802768384458,0.726264668892708,-0.0832725014404115
1870,"E2F2","hsa-mir-199a-3p","hsa-mir-519d-3p",0.0175,0.565,0.008,TRUE,"NA","mirtarbase  ","mirtarbase  ",19.8187397138376,15.8161203190451,0.177591530502981,-0.425047939515951,0.134909240297518,2.30279849563169,0.726264668892708,-0.0832725014404115
1870,"E2F2","hsa-mir-519d-3p","hsa-let-7b-5p",0.579,0.128,0,TRUE,"NA","mirtarbase  ","mirtarbase  ",19.0259343769064,16.3879956943939,0.134909240297518,2.30279849563169,0.784564546838161,-0.0733583306011839,0.726264668892708,-0.0832725014404115
1870,"E2F2","hsa-mir-519d-3p","hsa-mir-31-5p",0.548,0.0135,0,TRUE,"NA","mirtarbase  ","mirtarbase  ",19.6015624100257,18.315278953584,0.134909240297518,2.30279849563169,0.221449037416584,1.06802768384458,0.726264668892708,-0.0832725014404115
1906,"EDN1","hsa-mir-130a-3p","hsa-mir-33b-5p",0.019,0.1255,0.006,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",15.7593180807535,13.28841620375,0.951414196840403,0.0229481688594441,0.521087665240162,0.40627145241052,0.550596245670384,-0.15548776974564
1999,"ELF3","hsa-mir-3065-3p","hsa-mir-582-5p",0.113,0.0485,0.0035,TRUE,"NA"," tarbase "," tarbase ",17.0763715170207,12.7527616334095,0.285670032601373,0.484868351928993,0.266288964310936,0.649006514445468,0.454954613202249,0.213050544600304
2005,"ELK4","hsa-mir-18b-5p","hsa-mir-30a-5p",0.96,0.045,0.002,TRUE,"NA"," tarbase "," tarbase ",17.2801008055765,15.9801348276052,0.693352887958119,0.311703955603059,0.475664269893348,-0.200243585336464,0.929160134816436,-0.0218717978110283
2030,"SLC29A1","hsa-mir-497-5p","hsa-mir-195-5p",0.018,0.0155,0.0045,FALSE,"NA","mirtarbase  ","mirtarbase  ",19.9411572896756,18.7083109488836,0.673062980095733,-0.182873834095652,0.802263159596797,-0.103260719790816,0.720228018258475,-0.0824690912106162
2033,"EP300","hsa-mir-7-5p","hsa-mir-760",0.115,0.063,0.001,FALSE,"NA"," tarbase "," tarbase ",18.3763464796397,16.865054145023,0.841388010355371,-0.154874986345296,0.739022612638638,0.294838714303538,0.818581694497432,-0.0552539195653355
2035,"EPB41","hsa-mir-30a-5p","hsa-let-7b-5p",0.0285,0.0765,0.001,FALSE,"NA","mirtarbase  "," tarbase ",19.1321171399099,17.0994117343628,0.475664269893348,-0.200243585336464,0.784564546838161,-0.0733583306011839,0.627566582021941,-0.115584270237389
2099,"ESR1","hsa-mir-221-3p","hsa-mir-520a-3p",0.153,0.3415,0.0015,TRUE,"NA","mirtarbase tarbase ","mirtarbase  ",12.8425853630975,11.1479266242341,0.920801890455466,-0.0348982587041482,0.0883581724058531,2.06854596236424,0.619206446411604,-0.140719077955703
2099,"ESR1","hsa-mir-519c-3p","hsa-mir-221-3p",0.4725,0.1435,5e-04,TRUE,"NA","mirtarbase  ","mirtarbase tarbase ",12.9896374486938,10.9179906616729,0.15165817368692,2.3219792985222,0.920801890455466,-0.0348982587041482,0.619206446411604,-0.140719077955703
2289,"FKBP5","hsa-mir-539-5p","hsa-mir-512-5p",0.069,0.012,0.002,FALSE,"NA","mirtarbase  ","mirtarbase  ",18.746737516514,16.3633488456847,0.603088058080552,0.29403365593933,0.0828714507782263,3.37555712110747,0.830325550293674,-0.0506579734977154
2295,"FOXF2","hsa-mir-19a-3p","hsa-mir-182-5p",0.0195,0.4695,0.001,TRUE,"NA"," tarbase ","mirtarbase tarbase ",10.7414548473606,-2,0.506465928068295,0.279537672695135,0.69245340215736,0.112480408649869,0.497822466808638,-0.367214311149997
2649,"NR6A1","hsa-mir-3065-5p","hsa-mir-181c-5p",0.032,0.025,0.0035,TRUE,"NA"," tarbase ","mirtarbase tarbase ",14.2394259239934,10.1036772588066,0.122236576919924,1.16203424095117,0.96557342996809,-0.0169548893052903,0.872393701658974,0.0477847691954298
2810,"SFN","hsa-mir-625-5p","hsa-mir-766-3p",0.012,0.02,0.004,FALSE,"NA","mirtarbase  ","mirtarbase  ",21.0217641635607,19.5351812648711,0.896137870048175,-0.0770776769273163,0.342952519313737,-0.385149460533401,0.622834698469806,0.114130400391485
2920,"CXCL2","hsa-mir-141-3p","hsa-mir-181d-5p",0.113,0.3825,0.0015,FALSE,"NA"," tarbase "," tarbase ",16.5162492973214,13.0140830537974,0.305317960360131,0.370292851772009,0.967716607670118,-0.0173332326949237,0.432326308160416,-0.206825475006679
3014,"H2AX","hsa-let-7b-5p","hsa-mir-520a-3p",0.039,0.1705,0,FALSE,"NA"," tarbase "," tarbase ",21.149943667278,19.9381467439025,0.784564546838161,-0.0733583306011839,0.0883581724058531,2.06854596236424,0.905322612221909,0.0269423627265856
3054,"HCFC1","hsa-let-7b-5p","hsa-mir-34c-5p",0.0805,0.036,0.0025,FALSE,"NA","mirtarbase tarbase "," tarbase ",19.1797633739114,18.1319670954919,0.784564546838161,-0.0733583306011839,0.325691147794829,0.461649084089917,0.868315786791994,-0.0388440430061073
3205,"HOXA9","hsa-let-7b-5p","hsa-mir-182-5p",0.1855,0.223,0.0045,TRUE,"NA"," tarbase ","mirtarbase tarbase ",15.7054752899779,9.6867384030669,0.784564546838161,-0.0733583306011839,0.69245340215736,0.112480408649869,0.552004664104159,-0.155412913271376
3205,"HOXA9","hsa-mir-195-3p","hsa-mir-199b-3p",0.404,0.913,0.0065,TRUE,"NA","mirtarbase  "," tarbase ",16.1105973142975,14.5751152614354,0.557761221280103,-0.297350921587978,0.177451593048368,-0.425274521472052,0.552004664104159,-0.155412913271376
3206,"HOXA10","hsa-mir-195-3p","hsa-mir-379-3p",0.0145,0.0645,0,TRUE,"NA","mirtarbase  ","mirtarbase  ",16.063603777813,14.9007991135086,0.557761221280103,-0.297350921587978,0.406904835109335,0.809599173366059,0.706714129322905,-0.0990949177947655
3304,"HSPA1B","hsa-mir-579-3p","hsa-mir-1226-3p",0.0175,0.342,0.0095,FALSE,"NA","mirtarbase  ","mirtarbase  ",19.4601539909086,18.0920442591625,0.506675042077324,1.01319710395485,0.541805737943563,-0.4981013636895,0.788675215329867,0.0638618176779569
3339,"HSPG2","hsa-mir-130a-3p","hsa-mir-497-5p",0.3235,0.6145,0.007,FALSE,"NA"," tarbase "," tarbase ",16.7575461969502,15.0761264049499,0.951414196840403,0.0229481688594441,0.673062980095733,-0.182873834095652,0.43267588547447,-0.192153678797945
3339,"HSPG2","hsa-mir-195-5p","hsa-mir-130a-3p",0.4835,0.232,0.0095,FALSE,"NA"," tarbase "," tarbase ",16.7575461969502,14.9834109213528,0.802263159596797,-0.103260719790816,0.951414196840403,0.0229481688594441,0.43267588547447,-0.192153678797945
3656,"IRAK2","hsa-mir-1262","hsa-mir-3614-5p",0.012,0.5315,0.0055,FALSE,"NA","mirtarbase  ","mirtarbase  ",15.629717204822,12.1211194768836,0.93892958071515,0.0642333957375513,0.735801348928203,-0.285642119029761,0.595911513637943,-0.137119461470163
3662,"IRF4","hsa-mir-15a-5p","hsa-mir-7-5p",0.0555,0.8595,0.0015,TRUE,"NA","mirtarbase  "," tarbase ",13.85406837002,12.7991868574127,0.949587925630629,-0.0212972249625429,0.841388010355371,-0.154874986345296,0.346395059128585,-0.243976078075401
3662,"IRF4","hsa-mir-181a-2-3p","hsa-mir-7-5p",0.0145,0.862,0.004,TRUE,"NA"," tarbase "," tarbase ",13.9685294565793,12.7620803602755,0.687445859439419,-0.12800654288597,0.841388010355371,-0.154874986345296,0.346395059128585,-0.243976078075401
3662,"IRF4","hsa-mir-18a-3p","hsa-mir-181a-2-3p",0.9375,0.0135,0.0075,TRUE,"NA"," tarbase "," tarbase ",14.3267590002356,12.9984963013866,0.969092342841478,-0.027282310746912,0.687445859439419,-0.12800654288597,0.346395059128585,-0.243976078075401
3662,"IRF4","hsa-mir-20b-3p","hsa-mir-181a-2-3p",0.173,0.018,5e-04,TRUE,"NA"," tarbase "," tarbase ",14.7526103628875,12.9618902738252,0.893694638356654,0.0646295544570078,0.687445859439419,-0.12800654288597,0.346395059128585,-0.243976078075401
3662,"IRF4","hsa-mir-548d-3p","hsa-mir-181a-2-3p",0.3645,0.0225,0,TRUE,"NA"," tarbase "," tarbase ",15.1784617255395,12.6440925745494,0.601619182807743,0.473088999364903,0.687445859439419,-0.12800654288597,0.346395059128585,-0.243976078075401
3778,"KCNMA1","hsa-mir-17-5p","hsa-mir-181c-3p",0.067,0.026,0.004,FALSE,"NA","mirtarbase  "," tarbase ",14.3278055524511,12.7218264936837,0.917479117921738,-0.0333613925829875,0.927061399436572,-0.0362668071164473,0.712009696423876,0.104098724841993
3778,"KCNMA1","hsa-mir-181c-3p","hsa-mir-629-5p",0.028,0.012,0.001,FALSE,"NA"," tarbase "," tarbase ",15.065487073864,12.7457308740419,0.927061399436572,-0.0362668071164473,0.785088295159321,-0.0963525336812343,0.712009696423876,0.104098724841993
3778,"KCNMA1","hsa-mir-181c-3p","hsa-mir-766-3p",0.02,0.0145,5e-04,FALSE,"NA"," tarbase "," tarbase ",15.2351440504255,12.8742987247339,0.927061399436572,-0.0362668071164473,0.342952519313737,-0.385149460533401,0.712009696423876,0.104098724841993
3838,"KPNA2","hsa-mir-411-5p","hsa-mir-497-3p",0.2265,0.0565,0.0075,FALSE,"NA","mirtarbase  ","mirtarbase  ",20.2379568559782,18.7573152180984,0.942534882672423,0.0393469116985757,0.138447287919007,1.47840276611464,0.974021922996352,0.00757053883149851
3838,"KPNA2","hsa-mir-654-3p","hsa-mir-497-3p",0.0705,0.0705,0.002,FALSE,"NA"," tarbase ","mirtarbase  ",20.2379568559782,18.8853491101459,0.816575642095664,-0.106798525194899,0.138447287919007,1.47840276611464,0.974021922996352,0.00757053883149851
3930,"LBR","hsa-let-7b-5p","hsa-mir-520g-3p",0.0225,0.1625,0,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",19.4296038660153,18.2527375747496,0.784564546838161,-0.0733583306011839,0.167154957567133,2.00551902792671,0.849957816809332,-0.0438703151546489
3930,"LBR","hsa-let-7b-5p","hsa-mir-520h",0.0185,0.159,0,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",19.4296038660153,18.277972047953,0.784564546838161,-0.0733583306011839,0.135085598749222,2.47668886051169,0.849957816809332,-0.0438703151546489
3953,"LEPR","hsa-mir-130b-5p","hsa-mir-548j-5p",0.0715,0.137,0.0055,FALSE,"NA"," tarbase "," tarbase ",15.9774813518663,13.7269165843964,0.838572640477174,0.0907173201252465,0.974281004418408,-0.0330812526828155,0.598357103072173,-0.138151767230656
3953,"LEPR","hsa-mir-545-5p","hsa-mir-130b-5p",0.0905,0.097,0.002,FALSE,"NA"," tarbase "," tarbase ",16.7699817093876,13.9561030515082,0.997872677673813,0.00305316198630322,0.838572640477174,0.0907173201252465,0.598357103072173,-0.138151767230656
3977,"LIFR","hsa-mir-199a-3p","hsa-mir-570-3p",0.848,0.0625,0.005,FALSE,"NA"," tarbase "," tarbase ",17.6472002847834,16.0806625006607,0.177591530502981,-0.425047939515951,0.6729496797476,0.45386455442366,0.776206626173778,-0.0703273920347132
4001,"LMNB1","hsa-let-7b-5p","hsa-mir-125b-5p",0.1565,0.052,0,FALSE,"NA"," tarbase "," tarbase ",20.5510437772843,19.096709322227,0.784564546838161,-0.0733583306011839,0.898710457879206,-0.0377813040274455,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-let-7b-5p","hsa-mir-889-3p",0.119,0.103,0.008,FALSE,"NA"," tarbase ","mirtarbase  ",20.3911726954487,18.7200889245916,0.784564546838161,-0.0733583306011839,0.708808676044345,0.190465076996036,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-125b-5p","hsa-mir-182-5p",0.041,0.1005,0.0035,FALSE,"NA"," tarbase "," tarbase ",20.3320541052999,17.2653800494523,0.898710457879206,-0.0377813040274455,0.69245340215736,0.112480408649869,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-199a-5p","hsa-mir-154-5p",0.423,0.057,0.001,FALSE,"NA"," tarbase ","mirtarbase  ",20.7015747969721,19.5589786677892,0.11607741031327,-0.519957209720191,0.893919592380435,0.0765105020340317,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-199a-5p","hsa-mir-889-3p",0.423,0.095,0.001,FALSE,"NA"," tarbase ","mirtarbase  ",20.5425712380354,19.3137633264598,0.11607741031327,-0.519957209720191,0.708808676044345,0.190465076996036,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-199b-5p","hsa-let-7b-5p",0.5745,0.1025,5e-04,FALSE,"NA"," tarbase "," tarbase ",20.7015747969721,19.3154653393897,0.0466429384748827,-0.75458313083709,0.784564546838161,-0.0733583306011839,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-199b-5p","hsa-mir-125b-5p",0.51,0.057,5e-04,FALSE,"NA"," tarbase "," tarbase ",20.8167820921585,19.55383739047,0.0466429384748827,-0.75458313083709,0.898710457879206,-0.0377813040274455,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-199b-5p","hsa-mir-154-5p",0.501,0.056,0,FALSE,"NA"," tarbase ","mirtarbase  ",20.6753407198558,19.5897041532286,0.0466429384748827,-0.75458313083709,0.893919592380435,0.0765105020340317,0.927478528292602,-0.0209941676888447
4001,"LMNB1","hsa-mir-199b-5p","hsa-mir-30a-3p",0.5585,0.116,0.0015,FALSE,"NA"," tarbase ","mirtarbase tarbase ",20.4096359917041,19.0355801289951,0.0466429384748827,-0.75458313083709,0.411146973692862,-0.252816575669344,0.927478528292602,-0.0209941676888447
4043,"LRPAP1","hsa-mir-20a-5p","hsa-mir-616-5p",0.0645,0.245,0.0025,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",19.0478761825923,18.0319109618259,0.956264637395162,-0.0176731706214748,0.684794932917719,0.252086273159433,0.836266008564693,0.0493756373723727
4054,"LTBP3","hsa-mir-504-5p","hsa-mir-3157-5p",0.453,0.0155,0.0015,FALSE,"NA"," tarbase "," tarbase ",19.5071332143159,18.3378811327286,0.329808389241065,0.767188851672405,0.8011417753094,-0.249542430116066,0.846159790821565,0.0453799537546302
4064,"CD180","hsa-mir-25-5p","hsa-mir-15b-5p",0.0775,0.0765,0.0075,FALSE,"NA","mirtarbase  ","mirtarbase  ",14.3812398126389,12.8725971300346,0.842165416737629,-0.170527375845677,0.826141128703994,0.0749870131926227,0.867963077186319,-0.0449779293736488
4084,"MXD1","hsa-let-7b-5p","hsa-mir-525-5p",0.015,0.073,0.003,TRUE,"NA","mirtarbase  ","mirtarbase  ",16.6393405566282,14.9696768712465,0.784564546838161,-0.0733583306011839,0.0786771854930094,2.56558550215766,0.675172226652693,-0.103866779001883
4084,"MXD1","hsa-mir-520a-5p","hsa-mir-525-5p",0.0645,0.0535,0.008,TRUE,"NA","mirtarbase  ","mirtarbase  ",16.3783134320632,15.3568593638274,0.105465025266243,2.26854196690349,0.0786771854930094,2.56558550215766,0.675172226652693,-0.103866779001883
4176,"MCM7","hsa-mir-30c-2-3p","hsa-mir-520d-3p",0.0115,0.076,0.008,FALSE,"NA","mirtarbase  ","mirtarbase  ",21.4336580120684,18.8608399962438,0.233657169534028,-0.52207528209998,0.131572577165709,2.66382374044487,0.975220012582259,0.00700028151393479
4176,"MCM7","hsa-mir-520a-3p","hsa-mir-519a-3p",0.065,0.14,0.002,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",20.5627058473482,19.2498619056838,0.0883581724058531,2.06854596236424,0.106505897246465,2.65624600012735,0.975220012582259,0.00700028151393479
4176,"MCM7","hsa-mir-520a-3p","hsa-mir-520d-3p",0.087,0.0785,0.0045,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",21.396546793412,19.2498619056838,0.0883581724058531,2.06854596236424,0.131572577165709,2.66382374044487,0.975220012582259,0.00700028151393479
4194,"MDM4","hsa-let-7b-5p","hsa-mir-30a-3p",0.108,0.0135,0.002,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",19.1500531050944,17.3916223665974,0.784564546838161,-0.0733583306011839,0.411146973692862,-0.252816575669344,0.689837569011503,-0.093882348078106
4194,"MDM4","hsa-mir-135b-5p","hsa-mir-887-3p",0.0105,0.058,0.0015,FALSE,"NA"," tarbase ","mirtarbase  ",19.2592582384504,17.8415564693829,0.230527610762288,1.28977118818885,0.63974253203055,0.282769968745377,0.689837569011503,-0.093882348078106
4194,"MDM4","hsa-mir-508-3p","hsa-mir-3170",0.0625,0.056,0.004,FALSE,"NA","mirtarbase  ","mirtarbase  ",18.4218763030203,17.2416492422662,0.634515475740144,0.229796927942354,0.415521482720514,1.18245984353997,0.689837569011503,-0.093882348078106
