"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
60,"ACTB","hsa-mir-195-5p","hsa-mir-1295a",0.0855,0.0615,0.0025,FALSE,"NA"," tarbase ","mirtarbase  ",26.1213871422583,25.0199520345442,0.802263159596797,-0.103260719790816,0.796867016730854,0.214508426017197,0.976329779132499,0.00602936325597143
136,"ADORA2B","hsa-mir-15a-5p","hsa-mir-128-3p",0.268,0.1005,0.005,FALSE,"NA"," tarbase ","mirtarbase  ",15.1113919499234,13.8509383321801,0.949587925630629,-0.0212972249625429,0.590984413893149,-0.167027751373332,0.971930785209883,0.00950712481968071
214,"ALCAM","hsa-mir-215-5p","hsa-mir-483-5p",0.2675,0.6665,0.009,FALSE,"NA","mirtarbase tarbase ","mirtarbase  ",18.6359017475611,17.4173983709851,0.364975859301288,-0.509920411537469,0.0369778825691889,-1.46991315502269,0.674559832505655,0.104116770929975
317,"APAF1","hsa-mir-2114-5p","hsa-mir-548j-5p",0.5745,0.0305,0.008,FALSE,"NA","mirtarbase  "," tarbase ",16.1557337260292,14.632091240384,0.39430172674841,1.16404972415979,0.974281004418408,-0.0330812526828155,0.756205796510253,-0.0803856081706992
432,"ASGR1","hsa-mir-15b-5p","hsa-mir-454-5p",0.1815,0.5605,0.001,FALSE,"NA"," tarbase ","mirtarbase  ",13.6857303799137,12.4180907223424,0.826141128703994,0.0749870131926227,0.935550597724275,0.0679742030387355,0.981710156421165,0.00652405136586399
483,"ATP1B3","hsa-mir-520a-3p","hsa-mir-519d-3p",0.063,0.083,0,FALSE,"NA","mirtarbase  ","mirtarbase  ",19.5096499369458,18.4742068039363,0.0883581724058531,2.06854596236424,0.134909240297518,2.30279849563169,0.995023437672766,-0.00145048890447232
518,"ATP5MC3","hsa-mir-92b-3p","hsa-mir-653-5p",0.0195,0.081,0.0065,FALSE,"NA","mirtarbase  ","mirtarbase  ",19.9343612216947,18.8905259734439,0.851739641894512,0.0782775852530279,0.847406964972247,0.0938692878198689,0.852176122103801,0.0434036335540644
552,"AVPR1A","hsa-mir-200c-3p","hsa-mir-508-5p",0.032,0.089,5e-04,FALSE,"NA","mirtarbase  ","mirtarbase  ",15.1121886498902,12.9763756572636,0.801202141920273,0.0756943434847678,0.754564835221624,0.315768330442784,0.605005876217691,-0.138928911580001
552,"AVPR1A","hsa-mir-429","hsa-mir-508-5p",0.0205,0.098,0.004,FALSE,"NA","mirtarbase  ","mirtarbase  ",15.0043916270803,12.5116545199473,0.583066277550532,0.222134726782929,0.754564835221624,0.315768330442784,0.605005876217691,-0.138928911580001
586,"BCAT1","hsa-mir-125a-5p","hsa-mir-34c-3p",0.011,0.011,0.0085,FALSE,"NA"," tarbase "," tarbase ",15.8384965300306,14.4812442151878,0.746124833643418,-0.102278646080494,0.418759257384704,0.386705989055551,0.975018171306949,-0.00812374574271868
