"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","dbNameMirtarbaseMirna1","dbNameMirtarbaseMirna2","dbNameTarbaseMirna1","dbNameTarbaseMirna2","dbNameMirecords1","dbNameMirecords2","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
655,"BMP7","hsa-mir-326","hsa-mir-193b-5p",0.047,0.034,0.003,6.21299298317528e-10,-0.489198407553872,0.0428673385467181,-0.175952730863949,0.0531313613952141,-0.0760206201282244,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31311830'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31417861'>PubMedLink</a>","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15994952'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17004110'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17452977'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17875715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17895257'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17895257'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19193721'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22118688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24299561'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26431436'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27696331'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28407692'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30015928'>PubMedLink</a>","mirtarbase","mirtarbase",NA,NA,NA,NA,"mirtarbase  ","mirtarbase  "
2628,"GATM","hsa-mir-651-5p","hsa-mir-215-5p",0.0145,0.1385,0.002,5.75747209386502e-07,0.648492479219988,2.08672624920674e-09,-0.538462502454733,0.120766950285312,-0.0572607130734606,FALSE,"NA","NA","NA",NA,"mirtarbase","tarbase","tarbase",NA,NA," tarbase ","mirtarbase tarbase "
4604,"MYBPC1","hsa-mir-130b-5p","hsa-mir-505-3p",0.0125,0.458,0.0075,2.00341726803822e-06,0.444745767786904,0.0667767253606644,-0.129563738104277,2.25500590505942e-11,-0.359102432782922,FALSE,"NA","NA","NA","mirtarbase","mirtarbase",NA,NA,NA,NA,"mirtarbase  ","mirtarbase  "
5754,"PTK7","hsa-mir-30c-2-3p","hsa-mir-7-5p",0.012,0.023,0.0035,0.00974017800614795,-0.166517981594408,3.87892371670258e-21,1.64306528131341,0.015114035524901,0.0870217813471605,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/24409301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24654231'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31701509'>PubMedLink</a>",NA,"mirtarbase","tarbase",NA,NA,NA," tarbase ","mirtarbase  "
6532,"SLC6A4","hsa-mir-20b-5p","hsa-mir-20a-5p",0.2435,0.0105,0.009,0.00103512384525538,0.265811877144971,0.103512393593866,0.0971279363397484,0.00397963407333622,0.1278334270671,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/20122741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20180013'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20944177'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22210241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29982901'>PubMedLink</a>","mirtarbase","mirtarbase",NA,NA,NA,NA,"mirtarbase  ","mirtarbase  "
6532,"SLC6A4","hsa-mir-939-5p","hsa-mir-106a-5p",0.0305,0.8485,0.007,4.53833905573967e-05,0.648082424272815,0.00871937033046139,0.222333766318372,0.00397963407333622,0.1278334270671,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/20122741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20180013'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20944177'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22210241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29982901'>PubMedLink</a>","mirtarbase","mirtarbase",NA,NA,NA,NA,"mirtarbase  ","mirtarbase  "
6542,"SLC7A2","hsa-mir-221-5p","hsa-mir-144-3p",0.0105,0.3795,0.0055,0.729000542165174,0.0478809131782994,4.50636024376719e-14,-0.776641738479511,0.457098822636561,-0.0264493719171012,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31735511'>PubMedLink</a>",NA,"mirtarbase","tarbase",NA,NA,NA," tarbase ","mirtarbase  "
6720,"SREBF1","hsa-let-7c-5p","hsa-mir-483-3p",0.03,0.2835,0.0055,1.75986494052912e-06,-0.221934710773032,9.87225876954226e-23,-0.906238662251729,0.0449884725214105,0.0693020248647089,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/19252981'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23208501'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25880005'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29059683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29988076'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30180878'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30625181'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31073170'>PubMedLink</a>","mirtarbase","mirtarbase","tarbase",NA,NA,NA,"mirtarbase tarbase ","mirtarbase  "
6781,"STC1","hsa-mir-9-3p","hsa-mir-130a-3p",0.015,0.4175,0.001,0.00088092501489285,0.508330243536134,0.00011996586833264,-0.240723590520592,0.707357840371973,0.0134181449894934,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29746865'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/11888893'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684415'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15062564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15062564'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17634536'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21720730'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25391215'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28665755'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29593009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29721098'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31579413'>PubMedLink</a>",NA,NA,"tarbase","tarbase",NA,NA," tarbase "," tarbase "
8614,"STC2","hsa-mir-136-5p","hsa-mir-127-5p",0.216,0.068,5e-04,0.664117190600433,0.0322236001175944,0.78728019791293,0.0155795904114261,0.841792862344393,-0.00681559184072857,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11888893'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18492817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18492817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18492817'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29593009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30993707'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31845230'>PubMedLink</a>",NA,"mirtarbase","tarbase",NA,NA,NA," tarbase ","mirtarbase  "
