"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2"
1894,"ECT2","hsa-mir-155-5p","hsa-mir-664a-3p",0.934,0.1485,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.0916271903584,15.7731888601514
2035,"EPB41","hsa-mir-181d-5p","hsa-mir-9-5p",0.9405,0.9605,0.0065,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.4773173320407,16.2524692034377
2055,"CLN8","hsa-mir-7-5p","hsa-mir-18a-5p",0.402,0.145,0.004,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",16.5415148147892,15.1732171542127
2194,"FASN","hsa-mir-342-5p","hsa-mir-940",0.1135,0.44,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29483509'>PubMedLink</a>"," tarbase "," tarbase ",19.0024977480026,17.6724333802565
2200,"FBN1","hsa-mir-190a-5p","hsa-mir-1-3p",0.1035,0.2015,0.0025,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",15.5937921013756,14.2739695503075
2355,"FOSL2","hsa-mir-150-5p","hsa-mir-342-3p",0.3575,0.0135,0.002,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>"," tarbase ","mirtarbase  ",17.2161724693335,15.5010201101259
2355,"FOSL2","hsa-mir-495-3p","hsa-mir-939-5p",0.97,0.126,0.007,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/22493372'>PubMedLink</a>"," tarbase "," tarbase ",17.1363442122304,15.5167844355325
2935,"GSPT1","hsa-mir-9-3p","hsa-mir-129-5p",0.378,0.029,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase ",19.1484276039232,18.0554129370916
2956,"MSH6","hsa-mir-1-3p","hsa-mir-139-5p",0.3855,0.816,0.008,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase ",19.1089406225623,17.9210425712681
3157,"HMGCS1","hsa-mir-335-5p","hsa-mir-548s",0.031,0.189,0.009,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  ",17.7892287512725,16.2547384169984
3206,"HOXA10","hsa-mir-7-5p","hsa-mir-320b",0.7325,0.0355,0.005,TRUE,"NA","NA","NA"," tarbase "," tarbase ",15.5412805237072,8.71772933853523
3313,"HSPA9","hsa-mir-339-5p","hsa-mir-129-5p",0.027,0.128,0.0025,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",21.0747083604438,20.0623068514257
3423,"IDS","hsa-mir-491-5p","hsa-mir-331-3p",0.0865,0.0345,0.0065,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",18.518487952411,17.4476055687267
3480,"IGF1R","hsa-mir-19a-3p","hsa-mir-106a-5p",0.0185,0.5895,0.006,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/24651014'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24931256'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25885794'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>"," tarbase "," tarbase ",14.5159247603188,13.4569339402486
3638,"INSIG1","hsa-mir-301b-3p","hsa-mir-454-5p",0.4495,0.161,0.007,FALSE,"NA","NA","NA"," tarbase "," tarbase ",19.7157732811341,18.2010753960818
3658,"IREB2","hsa-mir-182-5p","hsa-mir-30b-5p",0.1655,0.437,0.0085,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",16.6858357326727,15.6525553456714
3658,"IREB2","hsa-mir-182-5p","hsa-mir-664a-3p",0.183,0.08,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.9647348696319,15.6525553456714
3658,"IREB2","hsa-mir-33a-3p","hsa-mir-181d-5p",0.0145,0.459,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.9667235901698,15.9069576755657
3658,"IREB2","hsa-mir-664a-3p","hsa-mir-320b",0.112,0.2815,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.6829153385509,15.8022002770885
4170,"MCL1","hsa-mir-1180-3p","hsa-mir-339-3p",0.073,0.079,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11389033'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11818669'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11830549'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15122313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15122313'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15718423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18156799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19676043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20023629'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20888662'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21213215'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21473291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21975296'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22705850'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23200668'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23257783'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23257783'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23393346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24276280'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24939844'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25088254'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25732831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25781640'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25789974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25882699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26134786'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26452103'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26460954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26460954'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26467384'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26467384'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26755751'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27023223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27159593'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27907212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27907212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28192408'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28272166'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28447716'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28557543'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28587170'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28866374'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29166822'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29269870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29269870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29275301'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318382'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29358277'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29434770'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29488156'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29522221'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29631569'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29740433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29740433'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29756671'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29805688'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29845223'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29849791'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30012635'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30055346'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30139826'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30322870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30396948'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30404918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405790'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30675253'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30929420'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31219428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31566022'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31692474'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31807158'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",22.0045611256669,20.732703866543
4233,"MET","hsa-mir-26b-3p","hsa-mir-194-3p",0.1795,0.2585,0.0015,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/16189274'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20423996'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23379953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23379953'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23745832'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29135973'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29135973'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29484431'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29876933'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31338678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31338678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8289471'>PubMedLink</a>"," tarbase "," tarbase ",14.2890853777195,12.1183679482447
4277,"MICB","hsa-mir-30b-3p","hsa-mir-30b-5p",0.0955,0.6885,0.009,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",18.0953125880039,17.027842278453
4613,"MYCN","hsa-mir-331-5p","hsa-mir-19a-3p",0.18,0.0325,0.0095,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31748534'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8062825'>PubMedLink</a>","mirtarbase  ","mirtarbase tarbase ",11.642451171763,10.6140684232259
4627,"MYH9","hsa-let-7c-5p","hsa-mir-758-3p",0.036,0.1975,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase ",21.7740762596684,20.639985411669
4627,"MYH9","hsa-mir-1296-5p","hsa-mir-758-3p",0.025,0.217,0.0065,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",21.866545570427,20.6709571527205
4659,"PPP1R12A","hsa-mir-30b-5p","hsa-mir-183-5p",0.5845,0.0715,0.008,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",17.4425584204052,16.0954618369417
4853,"NOTCH2","hsa-mir-125b-2-3p","hsa-let-7c-5p",0.0395,0.434,0.006,FALSE,"NA","NA","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22695918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22891276'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28941602'>PubMedLink</a>"," tarbase ","mirtarbase  ",17.022727449955,15.8341336764218
4853,"NOTCH2","hsa-mir-654-3p","hsa-mir-1271-5p",0.033,0.2505,0.007,FALSE,"NA","NA","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19445024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22695918'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22891276'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25314575'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28941602'>PubMedLink</a>"," tarbase ","mirtarbase  ",17.7665943289659,16.2629646761841
5411,"PNN","hsa-mir-150-3p","hsa-mir-320b",0.0675,0.163,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",19.9427292212142,18.7813997123209
5476,"CTSA","hsa-mir-760","hsa-mir-769-3p",0.223,0.048,0.0095,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",20.0856046538221,19.044698008369
5618,"PRLR","hsa-mir-183-5p","hsa-mir-182-5p",0.098,0.1285,0.0055,FALSE,"NA","NA","NA"," tarbase "," tarbase ",10.4200974373592,8.60856539640778
5922,"RASA2","hsa-mir-18b-5p","hsa-mir-320b",0.2905,0.234,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.2707861007716,15.4691168175253
6095,"RORA","hsa-mir-193b-5p","hsa-mir-30b-5p",0.0155,0.0615,0.0075,TRUE,"NA","NA","NA"," tarbase "," tarbase ",12.6597903272148,11.4165008167082
6241,"RRM2","hsa-mir-664a-5p","hsa-mir-582-5p",0.1185,0.5485,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",19.9005085747691,18.5418845452126
6310,"ATXN1","hsa-mir-148a-5p","hsa-mir-148a-3p",0.069,0.325,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>"," tarbase "," tarbase ",15.8966071097843,14.408941922123
6310,"ATXN1","hsa-mir-17-5p","hsa-mir-296-5p",0.0135,0.1975,0.0075,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>","mirtarbase tarbase "," tarbase ",16.3615587558062,14.3673332309216
6310,"ATXN1","hsa-mir-625-5p","hsa-mir-148a-3p",0.667,0.307,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30733641'>PubMedLink</a>"," tarbase "," tarbase ",16.3615587558062,14.3673332309216
6319,"SCD","hsa-mir-3136-5p","hsa-mir-940",0.082,0.2305,0.004,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",19.5627916216139,18.174906541597
6541,"SLC7A1","hsa-mir-505-5p","hsa-mir-181d-5p",0.5015,0.225,0.001,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",18.1505791679001,17.1159083437432
6645,"SNTB2","hsa-mir-30b-3p","hsa-mir-182-5p",0.273,0.129,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase ",15.9462500043271,14.8811188307156
6648,"SOD2","hsa-mir-181c-3p","hsa-mir-2116-3p",0.068,0.6475,0.008,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","mirtarbase  ","mirtarbase  ",20.21791191199,18.4885640163149
6648,"SOD2","hsa-mir-183-5p","hsa-mir-331-3p",0.0635,0.145,0.0065,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>"," tarbase "," tarbase ",20.9934488184446,17.8180325534306
6648,"SOD2","hsa-mir-183-5p","hsa-mir-331-5p",0.0895,0.02,0.005,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>"," tarbase ","mirtarbase  ",20.897621696826,17.5530780368263
6648,"SOD2","hsa-mir-28-3p","hsa-mir-2116-3p",0.03,0.7915,0.004,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>"," tarbase ","mirtarbase  ",20.9600472523915,17.8814192821492
6648,"SOD2","hsa-mir-342-3p","hsa-mir-150-3p",0.019,0.1745,0.004,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","mirtarbase  ","mirtarbase  ",20.0647779760506,18.0761909911401
6648,"SOD2","hsa-mir-409-5p","hsa-mir-183-5p",0.7215,0.072,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>","mirtarbase  "," tarbase ",20.9288344746087,17.454362335033
6648,"SOD2","hsa-mir-432-5p","hsa-mir-410-3p",0.1575,0.448,0.009,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12580960'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16081686'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16543247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31652453'>PubMedLink</a>"," tarbase ","mirtarbase  ",20.897621696826,19.4922101547145
7009,"TMBIM6","hsa-mir-146b-5p","hsa-mir-7-5p",0.1415,0.082,0.006,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30735101'>PubMedLink</a>"," tarbase "," tarbase ",21.8382214130724,20.7630744885603
7048,"TGFBR2","hsa-mir-940","hsa-mir-409-3p",0.4095,0.21,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/10811940'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17339425'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  ",19.2583286750561,17.7019994958058
7049,"TGFBR3","hsa-mir-17-5p","hsa-mir-130b-5p",0.1525,0.0455,0.0095,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",14.1187710685934,12.4572719941738
