"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
2932,"GSK3B","hsa-mir-99a-3p","hsa-mir-411-3p",0.1895,0.029,0.001,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30417779'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31750236'>PubMedLink</a>"," tarbase "," tarbase ",18.1570826859729,17.1214489725915,0.000184100880179644,-1.90906361567803,0.813967204405885,0.0971445903248991,0.94707580556922,-0.0131809333855346
3206,"HOXA10","hsa-mir-873-5p","hsa-mir-494-3p",0.0155,0.5745,0.004,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  ",12.8690842422043,10.2322988481262,0.00277600686250839,3.64438129616594,0.546419681944936,-0.229260705923761,0.0518601742644244,-0.42122528349816
3312,"HSPA8","hsa-mir-301b-3p","hsa-mir-32-3p",0.355,0.02,0.0085,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",22.7752841921425,21.6896635050977,0.00922284515750276,3.28020294049705,0.0340399562878437,-1.42455433435913,0.990607532587243,0.00209437599819918
3696,"ITGB8","hsa-mir-182-5p","hsa-mir-148a-3p",0.0125,0.377,0.0055,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",15.6265995841705,14.5104511879361,0.361808731279103,-0.23139035097995,0.25468892977419,-0.247099703884615,0.506557650178867,0.147382513008298
4609,"MYC","hsa-mir-7-5p","hsa-mir-138-5p",0.0625,0.2035,0.005,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/21685915'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22706201'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/2405002'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26070438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9071974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9177412'>PubMedLink</a>","mirtarbase  "," tarbase ",17.8449140116216,16.0532770061983,0.000766349857503061,1.1833336571532,0.00305635781057354,1.57230705262798,0.311770033445443,-0.194393416260303
4685,"NCAM2","hsa-mir-182-5p","hsa-mir-96-5p",0.056,0.1775,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.0247034578919,16.7724072582603,0.361808731279103,-0.23139035097995,0.151321344137644,-0.917610106783484,0.95535183730267,0.0113446598606063
4685,"NCAM2","hsa-mir-21-3p","hsa-mir-182-5p",0.058,0.0865,0,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",18.3656881887178,16.7641487730365,0.578586216813254,-0.166889728203755,0.361808731279103,-0.23139035097995,0.95535183730267,0.0113446598606063
4756,"NEO1","hsa-mir-542-3p","hsa-mir-181c-5p",0.1305,0.0515,0.003,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.5147129670341,16.2446381276709,0.0931517876213775,-0.479297901675178,0.0961705067576697,0.573415148512542,0.896999309423553,0.0263975770609301
4784,"NFIX","hsa-mir-323a-5p","hsa-mir-483-5p",0.027,0.7735,0.0085,TRUE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",18.3162826291178,16.4917528752657,0.324641205976841,0.711189661889447,0.011306338959483,0.897342440224026,0.726303740224404,-0.0699072440701174
4853,"NOTCH2","hsa-mir-873-5p","hsa-mir-9-5p",0.451,0.098,0.009,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",14.5332242411964,13.1321972309063,0.00277600686250839,3.64438129616594,0.47561984644044,0.166983841098921,0.155888824159509,-0.295902938223424
4884,"NPTX1","hsa-mir-210-3p","hsa-mir-455-3p",0.0195,0.4355,0.0025,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",16.5844915332832,14.1516461661395,0.279633000636637,0.329146913369594,0.0241532905803785,-0.702152926957944,0.286921030659241,-0.217068107561182
5074,"PAWR","hsa-mir-362-5p","hsa-mir-188-5p",0.1825,0.0875,0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gPCPG/26073258'>PubMedLink</a>","NA","NA"," tarbase "," tarbase ",14.3399154324564,13.2652319065018,0.9646035537708,-0.0187657724523841,0.820338596418814,-0.124792039378594,0.385899319512475,-0.184473049929903
5217,"PFN2","hsa-mir-1-3p","hsa-mir-138-5p",0.032,0.577,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",20.263334852017,19.2174753370886,0.410500257941461,-0.317109730281849,0.00305635781057354,1.57230705262798,0.659314033512262,0.0850942976129005
5324,"PLAG1","hsa-mir-193b-3p","hsa-mir-503-5p",0.2295,0.018,0,TRUE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",16.3834429262625,14.909687172049,9.17859257181718e-06,-1.4639642336565,0.100079659420526,-0.635059462179082,0.162875116313384,0.316676418775618
5366,"PMAIP1","hsa-mir-411-3p","hsa-mir-106a-5p",0.142,0.136,0.006,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",14.4854898130491,13.1699626157906,0.813967204405885,0.0971445903248991,0.949839369300647,-0.0339094322430871,0.474339161780231,0.164631056651461
5796,"PTPRK","hsa-mir-1179","hsa-mir-501-3p",0.686,0.8975,0,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.9440417507167,16.4449435229651,0.001545831405452,1.97288531688304,0.421040756241356,0.282217750343137,0.435100753101656,0.163457795614648
5865,"RAB3B","hsa-mir-452-3p","hsa-mir-410-3p",0.0235,0.539,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",16.1945996053358,12.7034197641738,0.826786755979679,0.176169259020258,0.176058073217224,0.393341495138207,0.562216171564534,0.127333834387929
6319,"SCD","hsa-mir-199a-3p","hsa-mir-493-5p",0.203,0.0825,0.004,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",19.3404347982193,17.9300317531437,0.232423553581931,-0.310492632775073,0.194909719851783,-0.420315166550829,0.364040753613194,-0.167633090333277
6319,"SCD","hsa-mir-204-5p","hsa-mir-199a-3p",0.781,0.233,0,FALSE,"NA","NA","NA"," tarbase "," tarbase ",19.4462193814142,17.5779133576381,0.183825571457913,-0.459925151227582,0.232423553581931,-0.310492632775073,0.364040753613194,-0.167633090333277
6660,"SOX5","hsa-mir-195-5p","hsa-mir-193b-3p",0.458,0.0195,0.0035,TRUE,"NA","NA","NA"," tarbase "," tarbase ",14.1764189305893,13.0261271303351,0.0478918772822502,-0.650927480781569,9.17859257181718e-06,-1.4639642336565,0.251663996329247,0.276030559500648
6752,"SSTR2","hsa-mir-3187-3p","hsa-mir-96-5p",0.4205,0.151,0.003,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/12920656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12920656'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28033222'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28033222'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28033222'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29163802'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30529752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30529752'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7775631'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/7775631'>PubMedLink</a>","mirtarbase  "," tarbase ",17.310247755183,15.4262658324317,0.382495703248607,1.04447516328983,0.151321344137644,-0.917610106783484,0.425405513950852,0.170599159964878
7153,"TOP2A","hsa-mir-942-5p","hsa-mir-7-5p",0.1085,0.0425,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/23533247'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23533247'>PubMedLink</a>"," tarbase ","mirtarbase  ",15.2036369303275,13.738714491833,0.572119025668203,-0.340441341094118,0.000766349857503061,1.1833336571532,0.370564910264621,0.205292440076675
7182,"NR2C2","hsa-mir-504-5p","hsa-mir-497-3p",0.237,0.5615,0.0045,TRUE,"NA","NA","NA","mirtarbase  "," tarbase ",17.1733076039385,15.8507620324893,0.32410154131264,0.936098107502605,0.010156287484636,-1.64036004375493,0.735908369903303,0.0698312209996824
7422,"VEGFA","hsa-mir-330-3p","hsa-mir-335-5p",0.206,0.0155,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/10646734'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11605159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11605159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12780519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12780519'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14659975'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14659975'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16954163'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18039096'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19017755'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19017755'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21422080'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22183643'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22183643'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22183643'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23106811'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23106811'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25973039'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28264974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28264974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28264974'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423608'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28423608'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase ",18.7319818451723,17.1482002843291,0.16233758257038,0.673210066256164,0.865447645355752,-0.0610869635304338,0.969868726962111,-0.00737902215304161
7903,"ST8SIA4","hsa-mir-142-5p","hsa-mir-135a-5p",0.021,0.0315,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",15.555165832018,14.406385901094,0.736899693675788,-0.149257045598614,0.105081519068679,1.24507093421912,0.715378216800145,0.0811530175296144
8851,"CDK5R1","hsa-mir-222-5p","hsa-mir-548v",0.3885,0.863,0.0085,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",17.3693790111181,15.3468957949275,0.230200426764885,-0.921824458068604,0.0276820588284597,-1.46921728347343,0.260341248039128,0.242401325385138
8879,"SGPL1","hsa-mir-149-5p","hsa-mir-199b-3p",0.0445,0.115,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",19.6286556754691,18.3914028237136,0.0668418754023813,0.639034625330219,0.232290751292452,-0.310684813670005,0.453598160140571,0.148840938729501
8879,"SGPL1","hsa-mir-199a-3p","hsa-mir-149-5p",0.1165,0.053,0,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase ",19.6286556754691,18.3914028237136,0.232423553581931,-0.310492632775073,0.0668418754023813,0.639034625330219,0.453598160140571,0.148840938729501
9213,"XPR1","hsa-mir-296-3p","hsa-mir-365a-3p",0.0425,0.2435,0.002,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",18.0116727360509,16.854415230051,0.0999188735719172,1.50490221475658,0.00357689427752046,-0.95385225041728,0.766128285914142,0.0605112151832704
9852,"EPM2AIP1","hsa-mir-20b-5p","hsa-mir-497-5p",0.2565,0.028,0.003,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",18.3187351792623,17.0454563044346,0.725236412416148,0.159935985698164,0.0361580563479676,-0.75986324847049,0.895460294276612,0.026228389076625
10140,"TOB1","hsa-mir-106a-5p","hsa-mir-497-5p",0.0155,0.1245,0.001,FALSE,"NA","NA","NA"," tarbase "," tarbase ",19.8609003454357,18.8064313600687,0.949839369300647,-0.0339094322430871,0.0361580563479676,-0.75986324847049,0.404334119687584,-0.151814134225364
10140,"TOB1","hsa-mir-497-5p","hsa-mir-20b-5p",0.112,0.237,0.0045,FALSE,"NA","NA","NA"," tarbase "," tarbase ",19.8883748472839,18.7619450904613,0.0361580563479676,-0.75986324847049,0.725236412416148,0.159935985698164,0.404334119687584,-0.151814134225364
11215,"AKAP11","hsa-mir-148a-3p","hsa-mir-182-5p",0.2265,0.365,0.008,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.6592662063673,17.4457114511711,0.25468892977419,-0.247099703884615,0.361808731279103,-0.23139035097995,0.769170959336029,0.0583722481301458
11215,"AKAP11","hsa-mir-148a-5p","hsa-mir-182-5p",0.157,0.383,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.6314976722913,17.4457114511711,0.0043388972597158,-1.06637354064383,0.361808731279103,-0.23139035097995,0.769170959336029,0.0583722481301458
22943,"DKK1","hsa-mir-335-5p","hsa-mir-493-3p",0.4585,0.417,0.008,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase tarbase ",13.4301088095382,11.9729392992236,0.865447645355752,-0.0610869635304338,0.214998682758979,-0.440814728755126,0.841017790847467,-0.0514514704804882
23089,"PEG10","hsa-mir-34c-5p","hsa-mir-196b-5p",0.974,0.0905,0.003,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",18.9481867475669,17.6548789078689,0.0393363355097751,2.1727886835291,0.712332022701228,-0.143221204107451,0.150115768034679,-0.261765511242813
23094,"SIPA1L3","hsa-mir-149-5p","hsa-mir-143-3p",0.073,0.693,0.003,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",16.3856733318135,15.2193461598332,0.0668418754023813,0.639034625330219,0.85077336655025,0.0391879742371202,0.966156384631688,0.00901320337829579
23286,"WWC1","hsa-mir-33a-5p","hsa-mir-106a-5p",0.167,0.989,0.0045,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",13.5306888341889,12.0193194801334,0.674845464235832,-0.148887829679754,0.949839369300647,-0.0339094322430871,0.866114271566436,-0.0390724275513515
26011,"TENM4","hsa-mir-193b-3p","hsa-mir-143-3p",0.48,0.071,0.0035,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",14.2029878475509,12.6480326948853,9.17859257181718e-06,-1.4639642336565,0.85077336655025,0.0391879742371202,0.804004806586576,-0.0542111354241218
26224,"FBXL3","hsa-mir-1179","hsa-mir-493-5p",0.2625,0.9645,0.002,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",17.5970530021702,16.074322322978,0.001545831405452,1.97288531688304,0.194909719851783,-0.420315166550829,0.906048991033128,-0.0236163208063423
29968,"PSAT1","hsa-mir-3200-3p","hsa-mir-224-5p",0.0215,0.035,0.001,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",19.2503862854484,18.2234987805262,0.374908812099069,0.364870001149765,0.60905406181031,-0.219653549781102,0.606724466749493,-0.0973391977079314
54443,"ANLN","hsa-mir-204-5p","hsa-mir-195-5p",0.611,0.425,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase ",14.1502470259997,12.5357960771942,0.183825571457913,-0.459925151227582,0.0478918772822502,-0.650927480781569,0.359585130474829,0.216072821071872
55603,"TENT5A","hsa-mir-200b-3p","hsa-mir-708-5p",0.883,0.0315,0.008,FALSE,"NA","NA","NA"," tarbase "," tarbase ",19.6515319154642,18.0349777868711,0.627039105914662,-0.378027211890285,0.183068490649196,-0.504360518459726,0.707323904161641,0.0734506579136973
55824,"PAG1","hsa-mir-183-5p","hsa-mir-548b-3p",0.682,0.715,5e-04,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.405652463031,16.310800470921,0.521610686684864,-0.179511509640339,0.87253804865406,0.152435003538217,0.185140751552207,0.28534914765797
