"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
2317,"FLNB","hsa-mir-107","hsa-mir-1-3p",0.8065,0.5485,0.006,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
2355,"FOSL2","hsa-mir-155-5p","hsa-mir-625-5p",0.593,0.4595,0.0095,TRUE,"NA","NA","NA"," tarbase "," tarbase "
2495,"FTH1","hsa-mir-491-5p","hsa-mir-218-5p",0.984,0.0175,0.0055,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2619,"GAS1","hsa-mir-204-5p","hsa-mir-493-5p",0.161,0.263,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2627,"GATA6","hsa-mir-106a-5p","hsa-mir-363-3p",0.011,0.059,0.008,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15666845'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15767045'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
2649,"NR6A1","hsa-mir-497-5p","hsa-mir-98-5p",0.787,0.856,0.0025,TRUE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
2908,"NR3C1","hsa-mir-329-3p","hsa-mir-301a-3p",0.1775,0.2715,0.009,TRUE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/17102092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17102092'>PubMedLink</a>","mirtarbase  "," tarbase "
3177,"SLC29A2","hsa-mir-195-5p","hsa-mir-3065-3p",0.398,0.5325,0.003,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
3178,"HNRNPA1","hsa-mir-1291","hsa-mir-194-5p",0.208,0.75,0.0015,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
3209,"HOXA13","hsa-mir-363-3p","hsa-mir-222-3p",0.6675,0.364,5e-04,TRUE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
3480,"IGF1R","hsa-mir-218-5p","hsa-mir-376a-3p",0.3855,0.0285,0.0045,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15241731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16595699'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21045685'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22019903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22407999'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25110710'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26131713'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26312764'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27185872'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31185266'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  "
