"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
667,"DST","hsa-mir-192-5p","hsa-mir-23b-5p",0.031,0.2175,0.005,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase ",15.892912257389,14.6529853153983,0.974794279543224,0.00295627386572401,0.00952610003845367,-0.59316603646754,0.00703239694184515,-0.165210029532324
894,"CCND2","hsa-mir-1226-3p","hsa-mir-491-5p",0.0405,0.6175,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.1866152882023,15.8951758461689,9.82861232980003e-08,1.52655471209211,0.0903253163091159,0.34873444707122,0.000113636468449529,-0.225968403039584
894,"CCND2","hsa-mir-135b-5p","hsa-mir-7-1-3p",0.0335,0.0705,0.003,FALSE,"NA","NA","NA"," tarbase "," tarbase ",17.1737459146718,15.8873285626255,1.33908243662928e-09,0.82222244597762,0.0598598476142965,0.252132543368633,0.000113636468449529,-0.225968403039584
894,"CCND2","hsa-mir-149-5p","hsa-mir-491-5p",0.197,0.574,0.001,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.8731805209316,15.6162412946912,0.80851522692851,0.0291269059510407,0.0903253163091159,0.34873444707122,0.000113636468449529,-0.225968403039584
894,"CCND2","hsa-mir-34b-5p","hsa-mir-192-3p",0.334,0.0765,0.001,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",17.1459334872808,16.1401285686755,0.0658864400363834,-0.457623880338718,0.00128010224438463,0.752026099675921,0.000113636468449529,-0.225968403039584
894,"CCND2","hsa-mir-577","hsa-mir-149-5p",0.7625,0.121,5e-04,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.4361720584505,15.1819541037511,1.00043089015289e-06,0.859864475456867,0.80851522692851,0.0291269059510407,0.000113636468449529,-0.225968403039584
894,"CCND2","hsa-mir-940","hsa-mir-491-5p",0.0165,0.5805,0.003,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.9671803588681,15.7240031455141,2.61286390728431e-11,1.49640350943536,0.0903253163091159,0.34873444707122,0.000113636468449529,-0.225968403039584
894,"CCND2","hsa-mir-942-5p","hsa-mir-18a-5p",0.2925,0.0215,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase ",16.9916763075713,15.7426359638852,3.36807545552291e-06,0.883529167469817,1.28207404723354e-08,0.935098772931371,0.000113636468449529,-0.225968403039584
1021,"CDK6","hsa-mir-203a-3p","hsa-mir-378c",0.0925,0.214,0.001,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>","mirtarbase  "," tarbase ",15.7887027674847,14.2496108213712,0.272559648343949,0.092878576693725,0.000534565741358418,-0.536115941782328,0.177279960331598,-0.0858971937920892
1021,"CDK6","hsa-mir-491-5p","hsa-mir-320b",0.475,0.037,0.009,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>","mirtarbase  "," tarbase ",15.5620130899303,14.3699556660675,0.0903253163091159,0.34873444707122,0.465122383063445,0.11137156802332,0.177279960331598,-0.0858971937920892
1021,"CDK6","hsa-mir-628-5p","hsa-mir-624-5p",0.0985,0.113,0.0055,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18497076'>PubMedLink</a>"," tarbase ","mirtarbase  ",15.1508642756613,13.8988286096032,0.175501253411092,0.196255536342799,0.0537224339319983,0.482751740781216,0.177279960331598,-0.0858971937920892
1191,"CLU","hsa-mir-17-3p","hsa-mir-20a-5p",0.078,0.066,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18514801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18514801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18514801'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22211095'>PubMedLink</a>"," tarbase "," tarbase ",22.1930806713914,20.5766848248259,0.178426953569894,-0.130387990187662,0.69187386477649,-0.0396625294436684,0.0337486377623952,-0.112636591457323
1278,"COL1A2","hsa-mir-939-5p","hsa-mir-192-5p",0.1635,0.166,0.0055,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",20.9997983475817,19.7544141680413,0.000190893054083412,1.16871160238019,0.974794279543224,0.00295627386572401,0.380753799325407,-0.0479088030347814
1290,"COL5A2","hsa-mir-30a-3p","hsa-mir-185-3p",0.3575,0.132,0.0035,FALSE,"NA","NA","NA"," tarbase "," tarbase ",18.692335191695,17.0906161643832,0.000143978240265992,-0.291106152044656,7.20570071568661e-08,1.16761435521403,0.702058189267446,-0.0226940929422444
1490,"CCN2","hsa-mir-183-3p","hsa-mir-19a-3p",0.062,0.157,0.0025,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31306107'>PubMedLink</a>"," tarbase "," tarbase ",20.8507391169019,19.7232536364564,6.78709086615721e-17,3.31667718933607,0.076198992242857,0.233934519467139,0.00994085031238789,-0.139187119919355
1490,"CCN2","hsa-mir-183-3p","hsa-mir-616-3p",0.0615,0.126,0.0015,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31306107'>PubMedLink</a>"," tarbase "," tarbase ",20.8872379122425,19.6028081000638,6.78709086615721e-17,3.31667718933607,5.11039254192379e-06,1.41716883143373,0.00994085031238789,-0.139187119919355
1490,"CCN2","hsa-mir-193a-3p","hsa-mir-19a-3p",0.0155,0.156,0,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31306107'>PubMedLink</a>"," tarbase "," tarbase ",20.6799028891927,19.4900140449152,0.284973653742988,-0.158446441480845,0.076198992242857,0.233934519467139,0.00994085031238789,-0.139187119919355
2043,"EPHA4","hsa-mir-34a-5p","hsa-mir-301b-3p",0.0125,0.1235,5e-04,FALSE,"NA","NA","NA"," tarbase "," tarbase ",15.2076564765321,14.1689775660157,0.209591926562605,-0.130780897994726,1.60043760117356e-10,1.99493279097935,0.0727987147893296,-0.113295306169126
2152,"F3","hsa-mir-106a-5p","hsa-mir-18a-3p",0.098,0.052,0.0055,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  ",18.2357030446778,16.8063601306092,1.05152189196023e-06,0.756317725310223,1.31334455981801e-11,1.9142057249321,0.426383466655267,-0.046486739880898
2182,"ACSL4","hsa-mir-339-5p","hsa-mir-19a-3p",0.097,0.2465,0.002,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",17.7653845100678,16.6464429478941,0.10850653037824,0.207948947487103,0.076198992242857,0.233934519467139,0.894706948525815,-0.00786692446056776
2182,"ACSL4","hsa-mir-33b-5p","hsa-mir-26a-1-3p",0.1215,0.1755,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  ",17.7734380290304,16.6464429478941,0.000163301129706448,0.771607650790299,0.420770339005403,0.214551256627069,0.894706948525815,-0.00786692446056776
