"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
2232,"FDXR","hsa-mir-149-5p","hsa-mir-2355-5p",0.4525,0.0325,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2649,"NR6A1","hsa-mir-10a-5p","hsa-mir-188-3p",0.544,0.745,0.003,TRUE,"NA","NA","NA"," tarbase "," tarbase "
3178,"HNRNPA1","hsa-mir-636","hsa-mir-9-3p",0.1115,0.021,5e-04,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
3554,"IL1R1","hsa-mir-192-5p","hsa-mir-19b-3p",0.022,0.949,0.009,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
3656,"IRAK2","hsa-mir-34b-3p","hsa-mir-508-5p",0.2905,0.166,0.0075,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
3658,"IREB2","hsa-mir-320c","hsa-mir-194-5p",0.114,0.21,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase "
3673,"ITGA2","hsa-mir-181c-5p","hsa-mir-106a-5p",0.223,0.0655,0,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
3720,"JARID2","hsa-mir-33a-5p","hsa-mir-19a-3p",0.0585,0.1515,5e-04,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
3752,"KCND3","hsa-mir-20b-5p","hsa-mir-1304-5p",0.02,0.0185,0.009,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
3796,"KIF2A","hsa-mir-34b-3p","hsa-mir-222-5p",0.2195,0.843,0.002,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4012,"LNPEP","hsa-mir-221-3p","hsa-mir-636",0.216,0.024,0.0045,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
4179,"CD46","hsa-mir-328-3p","hsa-mir-30a-3p",0.42,0.793,0.002,FALSE,"NA","NA","NA"," tarbase "," tarbase "
4193,"MDM2","hsa-mir-590-3p","hsa-mir-20b-5p",0.586,0.0615,0.006,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/12365913'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase "
4211,"MEIS1","hsa-mir-424-5p","hsa-mir-15a-5p",0.5945,0.0125,0.0045,TRUE,"NA","NA","NA"," tarbase "," tarbase "
4293,"MAP3K9","hsa-mir-15a-5p","hsa-mir-301a-3p",0.1735,0.1605,0.0015,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
4293,"MAP3K9","hsa-mir-301a-3p","hsa-mir-20a-5p",0.1,0.2585,0.0015,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
4673,"NAP1L1","hsa-mir-145-5p","hsa-mir-196b-5p",0.0205,0.1595,0.006,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
4853,"NOTCH2","hsa-mir-939-5p","hsa-mir-497-5p",0.5945,0.3895,0.0085,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
4884,"NPTX1","hsa-mir-421","hsa-mir-129-5p",0.0385,0.924,0.003,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase tarbase "
4939,"OAS2","hsa-mir-1270","hsa-mir-219a-1-3p",0.0275,0.074,0.004,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
5087,"PBX1","hsa-mir-142-3p","hsa-mir-21-5p",0.508,0.2945,0.0095,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>","NA","NA"," tarbase ","mirtarbase tarbase "
5101,"PCDH9","hsa-mir-19a-3p","hsa-mir-15a-5p",0.2775,0.818,0.0035,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5139,"PDE3A","hsa-mir-421","hsa-mir-3680-3p",0.311,0.0865,0.0045,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
5241,"PGR","hsa-mir-19b-3p","hsa-mir-181b-5p",0.1535,0.0295,0.009,TRUE,"NA","NA","NA"," tarbase "," tarbase "
5292,"PIM1","hsa-mir-486-5p","hsa-mir-195-5p",0.054,0.0995,0.004,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
5351,"PLOD1","hsa-mir-106a-5p","hsa-mir-142-3p",0.6455,0.1055,0.001,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/31213897'>PubMedLink</a>","NA"," tarbase "," tarbase "
5396,"PRRX1","hsa-mir-30a-3p","hsa-mir-30a-5p",0.1105,0.0245,0.0095,TRUE,"NA","NA","NA"," tarbase "," tarbase "
5452,"POU2F2","hsa-mir-133a-3p","hsa-mir-20a-3p",0.253,0.0765,0.007,TRUE,"NA","NA","NA","mirtarbase  "," tarbase "
5516,"PPP2CB","hsa-mir-142-5p","hsa-mir-188-3p",0.033,0.403,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5562,"PRKAA1","hsa-mir-30a-3p","hsa-mir-328-3p",0.3575,0.134,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5563,"PRKAA2","hsa-mir-590-3p","hsa-mir-21-5p",0.885,0.302,0.0085,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5618,"PRLR","hsa-mir-20b-5p","hsa-mir-30e-5p",0.0365,0.0565,0.0035,FALSE,"NA","NA","NA"," tarbase "," tarbase "
5655,"KLK10","hsa-mir-939-5p","hsa-mir-143-3p",0.0575,0.0715,0.0045,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
6018,"RLF","hsa-mir-203a-3p","hsa-let-7b-5p",0.5035,0.246,0.0075,TRUE,"NA","NA","NA"," tarbase "," tarbase "
6096,"RORB","hsa-mir-19b-3p","hsa-mir-590-3p",0.648,0.422,0.001,TRUE,"NA","NA","NA"," tarbase "," tarbase "
6229,"RPS24","hsa-mir-22-5p","hsa-mir-10b-3p",0.388,0.669,0.004,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  "
6297,"SALL2","hsa-mir-140-5p","hsa-mir-424-5p",0.0125,0.211,0.0015,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gUVM/29808799'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gUVM/30291212'>PubMedLink</a>","NA","NA"," tarbase "," tarbase "
6310,"ATXN1","hsa-mir-19b-3p","hsa-mir-30a-3p",0.8275,0.185,0.0045,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6383,"SDC2","hsa-mir-20b-5p","hsa-mir-590-3p",0.029,0.5325,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
6446,"SGK1","hsa-mir-19b-3p","hsa-mir-222-5p",0.105,0.4035,0.006,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
6446,"SGK1","hsa-mir-30a-3p","hsa-mir-29c-3p",0.021,0.1795,0.0025,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
6515,"SLC2A3","hsa-mir-106a-5p","hsa-mir-424-5p",0.313,0.5155,0,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
6535,"SLC6A8","hsa-mir-145-3p","hsa-mir-424-5p",0.0415,0.078,0.0075,FALSE,"NA","NA","NA"," tarbase "," tarbase "
6648,"SOD2","hsa-mir-30a-3p","hsa-mir-548e-3p",0.2165,0.3225,0.008,FALSE,"NA","NA","NA"," tarbase "," tarbase "
7037,"TFRC","hsa-mir-197-3p","hsa-mir-506-3p",0.194,0.0205,5e-04,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/30080301'>PubMedLink</a>","NA"," tarbase "," tarbase "
7057,"THBS1","hsa-mir-22-5p","hsa-mir-34a-3p",0.501,0.028,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
7431,"VIM","hsa-mir-21-5p","hsa-mir-34a-3p",0.1345,0.343,0.0045,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/9484713'>PubMedLink</a>"," tarbase "," tarbase "
7465,"WEE1","hsa-mir-130a-5p","hsa-mir-29c-3p",0.7835,0.8865,0.0085,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
7552,"ZNF711","hsa-mir-760","hsa-mir-511-5p",0.4275,0.5055,0.003,TRUE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
7705,"ZNF146","hsa-mir-582-5p","hsa-let-7b-5p",0.7235,0.31,0.006,TRUE,"NA","NA","NA"," tarbase "," tarbase "
7832,"BTG2","hsa-mir-491-5p","hsa-mir-125b-2-3p",0.3585,0.675,0.001,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
7832,"BTG2","hsa-mir-491-5p","hsa-mir-219a-1-3p",0.345,0.5375,0.0055,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
8038,"ADAM12","hsa-mir-181b-5p","hsa-mir-135b-5p",0.012,0.032,0.0095,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
8204,"NRIP1","hsa-mir-145-5p","hsa-mir-432-5p",0.106,0.76,0.004,FALSE,"NA","NA","NA"," tarbase "," tarbase "
8471,"IRS4","hsa-mir-326","hsa-mir-330-5p",0.093,0.0115,0.007,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
8503,"PIK3R3","hsa-mir-29c-3p","hsa-mir-181c-5p",0.012,0.038,0.003,FALSE,"NA","NA","NA"," tarbase "," tarbase "
8744,"TNFSF9","hsa-mir-424-5p","hsa-mir-374a-5p",0.0135,0.1,0.006,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase  "
8904,"CPNE1","hsa-mir-3065-3p","hsa-mir-424-5p",0.129,0.0375,5e-04,FALSE,"NA","NA","NA"," tarbase "," tarbase "
8914,"TIMELESS","hsa-mir-508-5p","hsa-mir-19a-3p",0.0115,0.056,0.001,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
9134,"CCNE2","hsa-mir-548b-3p","hsa-mir-30a-5p",0.233,0.4905,0.006,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
9194,"SLC16A7","hsa-mir-301a-3p","hsa-mir-140-5p",0.107,0.0145,0.0085,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/29808799'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gUVM/30291212'>PubMedLink</a>","NA"," tarbase "," tarbase "
9388,"LIPG","hsa-mir-197-3p","hsa-mir-34b-3p",0.03,0.158,0.0025,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/21730846'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
9444,"QKI","hsa-mir-143-3p","hsa-mir-542-3p",0.4475,0.947,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase "
9455,"HOMER2","hsa-mir-188-3p","hsa-mir-653-5p",0.183,0.1335,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
9473,"THEMIS2","hsa-mir-197-3p","hsa-mir-335-5p",0.0225,0.0625,0.004,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase tarbase "
9510,"ADAMTS1","hsa-mir-212-3p","hsa-mir-139-3p",0.0665,0.7115,0.0095,FALSE,"NA","NA","NA"," tarbase "," tarbase "
9590,"AKAP12","hsa-mir-221-5p","hsa-mir-513c-5p",0.0855,0.029,0.0085,FALSE,"NA","NA","NA"," tarbase "," tarbase "
9782,"MATR3","hsa-mir-1229-3p","hsa-mir-421",0.5525,0.23,0.006,FALSE,"NA","NA","NA"," tarbase "," tarbase "
9805,"SCRN1","hsa-mir-15a-5p","hsa-mir-126-5p",0.059,0.5295,0.005,FALSE,"NA","NA","NA"," tarbase "," tarbase "
9957,"HS3ST1","hsa-mir-150-5p","hsa-mir-30a-3p",0.0225,0.042,0.0075,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
10018,"BCL2L11","hsa-mir-378c","hsa-mir-140-5p",0.0415,0.1175,0.006,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gUVM/29808799'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gUVM/30291212'>PubMedLink</a>","NA"," tarbase ","mirtarbase tarbase "
10114,"HIPK3","hsa-mir-2116-3p","hsa-mir-187-3p",0.178,0.4125,0.0075,FALSE,"NA","NA","NA","mirtarbase  ","mirtarbase  "
10130,"PDIA6","hsa-mir-320b","hsa-mir-15a-5p",0.125,0.5145,0.0025,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase "
10207,"PATJ","hsa-mir-378a-5p","hsa-mir-211-5p",0.7515,0.1315,0.001,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  "
10435,"CDC42EP2","hsa-mir-424-5p","hsa-mir-32-5p",0.5935,0.013,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase "
10451,"VAV3","hsa-mir-125b-2-3p","hsa-let-7c-5p",0.0535,0.0855,0.005,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
10489,"LRRC41","hsa-mir-34c-5p","hsa-mir-195-5p",0.1685,0.0295,0.0015,FALSE,"NA","NA","NA"," tarbase "," tarbase "
10489,"LRRC41","hsa-mir-503-5p","hsa-mir-195-5p",0.073,0.027,0.009,FALSE,"NA","NA","NA"," tarbase "," tarbase "
10489,"LRRC41","hsa-mir-542-3p","hsa-mir-34c-5p",0.0625,0.249,0.007,FALSE,"NA","NA","NA"," tarbase "," tarbase "
10628,"TXNIP","hsa-mir-497-5p","hsa-mir-335-5p",0.015,0.1065,5e-04,FALSE,"NA","NA","NA","mirtarbase tarbase ","mirtarbase tarbase "
10725,"NFAT5","hsa-mir-211-5p","hsa-mir-130a-5p",0.219,0.303,0.008,TRUE,"NA","NA","NA","mirtarbase tarbase "," tarbase "
11245,"GPR176","hsa-mir-424-5p","hsa-mir-106a-5p",0.1975,0.333,5e-04,FALSE,"NA","NA","NA"," tarbase "," tarbase "
22807,"IKZF2","hsa-mir-301a-3p","hsa-mir-125b-5p",0.406,0.371,0.006,TRUE,"NA","NA","NA"," tarbase ","mirtarbase  "
